"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0051607","defense response to virus","44/245","334/18860",0.131736526946108,10.1410240743004,19.3369559739132,1.7251174533638e-31,5.08392113506311e-28,4.52343955403076e-28,"4939/4599/6772/3433/3434/23586/9636/51251/64135/4938/83666/3669/4940/3437/6773/25939/5371/55601/5610/10379/2633/5359/11277/8638/684/24138/10410/103/91351/151636/3665/6737/834/2635/10475/197259/57169/10581/7098/64108/10346/81622/64343/79132",44,"Up_res_DEq_MS_BM1_vs_D"
"GO:0009615","response to virus","47/245","445/18860",0.10561797752809,8.13042880073378,17.4630719657682,2.97630444760356e-29,4.38558460354385e-26,3.90209177841077e-26,"4939/4599/6772/3433/3434/23586/9636/51251/64135/4938/83666/3669/4940/3437/6773/25939/5371/55601/5610/10379/2633/5359/11277/8638/684/24138/10410/103/91351/151636/3665/6737/834/2635/10475/197259/57169/10581/7098/64108/10346/10561/81622/3965/2332/64343/79132",47,"Up_res_DEq_MS_BM1_vs_D"
"GO:0050792","regulation of viral process","27/245","141/18860",0.191489361702128,14.7407729049066,18.7884195010342,5.11729398748908e-24,5.02688846037678e-21,4.47269449924046e-21,"4939/4599/6772/3434/9636/64135/4938/3669/4940/5610/5359/8638/684/24138/10410/6672/103/6737/10475/57169/10581/3965/972/2332/9830/6733/7113",27,"Up_res_DEq_MS_BM1_vs_D"
"GO:0048525","negative regulation of viral process","21/245","76/18860",0.276315789473684,21.2706766917293,20.3138319530798,1.57909714204149e-22,1.16339981939907e-19,1.03513973179615e-19,"4939/4599/6772/3434/9636/64135/4938/3669/4940/5610/5359/8638/684/24138/10410/6672/6737/57169/10581/9830/6733",21,"Up_res_DEq_MS_BM1_vs_D"
"GO:1903900","regulation of viral life cycle","24/245","115/18860",0.208695652173913,16.065306122449,18.5906686705987,2.09793267352128e-22,1.23652151777344e-19,1.10020006099821e-19,"4939/4599/3434/9636/64135/4938/3669/4940/5610/5359/8638/684/24138/10410/103/6737/10475/57169/10581/3965/972/2332/6733/7113",24,"Up_res_DEq_MS_BM1_vs_D"
"GO:0045071","negative regulation of viral genome replication","17/245","50/18860",0.34,26.1730612244898,20.4473715495537,3.28570813713373e-20,1.61383031335552e-17,1.43591209992985e-17,"4939/4599/3434/9636/64135/4938/3669/4940/5610/5359/8638/684/24138/10410/57169/10581/6733",17,"Up_res_DEq_MS_BM1_vs_D"
"GO:0045069","regulation of viral genome replication","19/245","80/18860",0.2375,18.2826530612245,17.7712699320619,4.09325674752414e-19,1.72326109070766e-16,1.5332785801628e-16,"4939/4599/3434/9636/64135/4938/3669/4940/5610/5359/8638/684/24138/10410/103/10475/57169/10581/6733",19,"Up_res_DEq_MS_BM1_vs_D"
"GO:0019079","viral genome replication","20/245","117/18860",0.170940170940171,13.158904587476,15.1348695116528,4.76246276831946e-17,1.75437222227968e-14,1.5609598363005e-14,"4939/4599/3434/9636/64135/4938/3669/4940/5610/5359/8638/684/24138/10410/103/10475/57169/10581/2332/6733",20,"Up_res_DEq_MS_BM1_vs_D"
"GO:0016032","viral process","32/245","396/18860",0.0808080808080808,6.22057307771593,12.0451920488575,1.31286200325064e-16,4.29889369286628e-14,3.82495818724837e-14,"4939/4599/6772/3434/9636/64135/4938/83666/3669/4940/5610/5359/84875/8638/684/24138/10410/6672/103/3665/6737/3678/10475/57169/10581/3965/972/2332/9830/6733/7113/905",32,"Up_res_DEq_MS_BM1_vs_D"
"GO:0034340","response to type I interferon","18/245","99/18860",0.181818181818182,13.9962894248609,14.8737278975572,5.85074686347366e-16,1.72421510066569e-13,1.53412741441188e-13,"4939/4599/6772/3434/9636/64135/4938/4940/6773/25939/11277/8638/10410/6672/103/3665/10581/64343",18,"Up_res_DEq_MS_BM1_vs_D"
"GO:0071357","cellular response to type I interferon","17/245","93/18860",0.182795698924731,14.0715382927364,14.4971154981771,3.50970349553872e-15,9.40281472850236e-13,8.36619273434157e-13,"4939/6772/3434/9636/64135/4938/4940/6773/25939/11277/8638/10410/6672/103/3665/10581/64343",17,"Up_res_DEq_MS_BM1_vs_D"
"GO:0140888","interferon-mediated signaling pathway","18/245","121/18860",0.148760330578512,11.4515095294316,13.2315082704392,2.30671313571767e-14,5.66490300913331e-12,5.04037054480063e-12,"4939/6772/9636/64135/4938/83666/4940/54625/6773/25939/11277/8638/10410/6672/103/3665/10581/64343",18,"Up_res_DEq_MS_BM1_vs_D"
"GO:0060337","type I interferon-mediated signaling pathway","16/245","92/18860",0.173913043478261,13.3877551020408,13.6643311832416,5.27612098230641e-14,1.19605604114284e-11,1.06419573821257e-11,"4939/6772/9636/64135/4938/4940/6773/25939/11277/8638/10410/6672/103/3665/10581/64343",16,"Up_res_DEq_MS_BM1_vs_D"
"GO:0019058","viral life cycle","25/245","298/18860",0.0838926174496644,6.45801944939049,10.8953623671685,1.46876488846848e-13,3.09175009022614e-11,2.75089724599622e-11,"4939/4599/3434/9636/64135/4938/3669/4940/5610/5359/8638/684/24138/10410/103/6737/3678/10475/57169/10581/3965/972/2332/6733/7113",25,"Up_res_DEq_MS_BM1_vs_D"
"GO:0045824","negative regulation of innate immune response","16/245","104/18860",0.153846153846154,11.8430141287284,12.7205952265583,3.86793340178786e-13,7.59919982337921e-11,6.76141902024811e-11,"9636/4938/4940/54625/6773/25939/3106/3105/11277/3134/103/634/6737/3965/10906/79132",16,"Up_res_DEq_MS_BM1_vs_D"
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","11/245","38/18860",0.289473684210526,22.2835660580022,15.066561949273,1.25444339431592e-12,2.31052792690563e-10,2.05580164160589e-10,"3106/6891/6890/3105/3136/3134/3107/6892/567/10437/4012",11,"Up_res_DEq_MS_BM1_vs_D"
"GO:0140374","antiviral innate immune response","14/245","79/18860",0.177215189873418,13.6419529837251,12.917522071875,1.57983620213783e-12,2.73869252217658e-10,2.4367628356194e-10,"4939/4599/3433/3434/23586/64135/4938/4940/3437/5610/8638/6737/10346/79132",14,"Up_res_DEq_MS_BM1_vs_D"
"GO:0019883","antigen processing and presentation of endogenous antigen","10/245","32/18860",0.3125,24.0561224489796,14.9751098374415,5.71813077756863e-12,9.0898640284272e-10,8.08774357323671e-10,"3106/6891/6890/3105/3136/3134/3107/6892/567/972",10,"Up_res_DEq_MS_BM1_vs_D"
"GO:0002832","negative regulation of response to biotic stimulus","17/245","144/18860",0.118055555555556,9.08786848072562,11.1768561229223,5.86044847438469e-12,9.0898640284272e-10,8.08774357323671e-10,"9636/4938/4940/54625/6773/25939/3106/3105/11277/3134/103/634/6737/10475/3965/10906/79132",17,"Up_res_DEq_MS_BM1_vs_D"
"GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","9/245","23/18860",0.391304347826087,30.1224489795918,16.0323355678988,6.34367705539549e-12,9.34740814112525e-10,8.31689449736325e-10,"3106/6891/6890/3105/3136/3134/3107/6892/567",9,"Up_res_DEq_MS_BM1_vs_D"
"GO:0048002","antigen processing and presentation of peptide antigen","13/245","72/18860",0.180555555555556,13.8990929705215,12.5804448312595,7.84250577610798e-12,1.10056497724715e-09,9.79232174851377e-10,"3106/6891/6890/3105/3136/3134/3107/6892/567/81622/10437/972/4012",13,"Up_res_DEq_MS_BM1_vs_D"
