"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0006956","GO:0006956","complement activation","5/24","65/18860",0.0769230769230769,60.448717948718,17.137545337497,1.67958646118132e-08,1.25465108650244e-05,7.88521643880913e-06,"713/731/4153/3080/10878",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:0006959","GO:0006959","humoral immune response","6/24","307/18860",0.0195439739413681,15.3583061889251,9.05390505808426,1.862630334599e-06,0.000695692429972725,0.000437227962753238,"713/283/731/4153/3080/10878",6,"Upres_DEq_MS_CM_vs_BM2"
"GO:0006958","GO:0006958","complement activation, classical pathway","3/24","39/18860",0.0769230769230769,60.448717948718,13.2655133068018,1.60562287799624e-05,0.00399800096621065,0.00251265895995202,"713/731/4153",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0006953","GO:0006953","acute-phase response","3/24","47/18860",0.0638297872340425,50.1595744680851,12.0447731891403,2.82982956997322e-05,0.00528470672192499,0.00332132628475805,"1401/4153/9332",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","3/24","52/18860",0.0576923076923077,45.3365384615385,11.4278033101106,3.84080539502261e-05,0.00573816326016378,0.00360631411827386,"713/731/4153",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0045912","GO:0045912","negative regulation of carbohydrate metabolic process","3/24","61/18860",0.0491803278688525,38.6475409836066,10.5124699781466,6.20795077953892e-05,0.00772889872052596,0.00485744920644624,"863/2645/2646",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0006109","GO:0006109","regulation of carbohydrate metabolic process","4/24","186/18860",0.021505376344086,16.8996415770609,7.77849790903798,8.33963611788873e-05,0.00889958311437554,0.00559319956177199,"648791/863/2645/2646",4,"Upres_DEq_MS_CM_vs_BM2"
"GO:0043380","GO:0043380","regulation of memory T cell differentiation","2/24","12/18860",0.166666666666667,130.972222222222,16.0760423320208,0.000101635290816779,0.00949019528001674,0.00596438680319519,"3122/5105",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0043379","GO:0043379","memory T cell differentiation","2/24","13/18860",0.153846153846154,120.897435897436,15.435868374051,0.000120021070386431,0.0099617488420738,0.0062607482330232,"3122/5105",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0090715","GO:0090715","immunological memory formation process","2/24","14/18860",0.142857142857143,112.261904761905,14.8652263085594,0.000139915748165315,0.010451706387949,0.00656867617702425,"3122/5105",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","5/24","434/18860",0.0115207373271889,9.05337941628264,6.05868121170232,0.000186701723538835,0.0126787443166827,0.00796832236347563,"4504/648791/863/4514/2645",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:0045725","GO:0045725","positive regulation of glycogen biosynthetic process","2/24","17/18860",0.117647058823529,92.4509803921569,13.4650637065361,0.000208617710120318,0.0129864524549898,0.00816171041347909,"648791/2645",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0044320","GO:0044320","cellular response to leptin stimulus","2/24","18/18860",0.111111111111111,87.3148148148148,13.077619770022,0.00023451254979999,0.0134754519000456,0.00846903621140043,"4504/2645",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0006112","GO:0006112","energy reserve metabolic process","3/24","102/18860",0.0294117647058824,23.1127450980392,7.99318914680291,0.000286203259261985,0.0139429718624276,0.00876286260923372,"4504/648791/2645",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0070875","GO:0070875","positive regulation of glycogen metabolic process","2/24","21/18860",0.0952380952380952,74.8412698412698,12.0851067547575,0.000321130271675993,0.0139429718624276,0.00876286260923372,"648791/2645",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0090713","GO:0090713","immunological memory process","2/24","21/18860",0.0952380952380952,74.8412698412698,12.0851067547575,0.000321130271675993,0.0139429718624276,0.00876286260923372,"3122/5105",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","5/24","494/18860",0.0101214574898785,7.95377867746289,5.59046147084112,0.000339989453723054,0.0139429718624276,0.00876286260923372,"4504/648791/863/4514/2645",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:0044321","GO:0044321","response to leptin","2/24","22/18860",0.0909090909090909,71.4393939393939,11.7999499436654,0.000352968868301981,0.0139429718624276,0.00876286260923372,"4504/2645",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0002526","GO:0002526","acute inflammatory response","3/24","112/18860",0.0267857142857143,21.0491071428571,7.59621390756698,0.00037675861229258,0.0139429718624276,0.00876286260923372,"1401/4153/9332",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0001906","GO:0001906","cell killing","4/24","281/18860",0.0142348754448399,11.1862396204033,6.14082174738453,0.00040515624212918,0.0139429718624276,0.00876286260923372,"3122/731/4153/3080",4,"Upres_DEq_MS_CM_vs_BM2"
"GO:0042593","GO:0042593","glucose homeostasis","4/24","281/18860",0.0142348754448399,11.1862396204033,6.14082174738453,0.00040515624212918,0.0139429718624276,0.00876286260923372,"648791/2645/5105/2646",4,"Upres_DEq_MS_CM_vs_BM2"
"GO:0033500","GO:0033500","carbohydrate homeostasis","4/24","282/18860",0.0141843971631206,11.1465721040189,6.1279474312374,0.000410636386845258,0.0139429718624276,0.00876286260923372,"648791/2645/5105/2646",4,"Upres_DEq_MS_CM_vs_BM2"
"GO:0008228","GO:0008228","opsonization","2/24","25/18860",0.08,62.8666666666667,11.0487849186399,0.000457333702375089,0.0142345114864246,0.00894608909031972,"1401/4153",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0042744","GO:0042744","hydrogen peroxide catabolic process","2/24","25/18860",0.08,62.8666666666667,11.0487849186399,0.000457333702375089,0.0142345114864246,0.00894608909031972,"4504/3043",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0006090","GO:0006090","pyruvate metabolic process","3/24","132/18860",0.0227272727272727,17.8598484848485,6.93849920551997,0.000609077705784976,0.0173480350597841,0.0109028727353818,"863/2645/5105",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0050830","GO:0050830","defense response to Gram-positive bacterium","3/24","132/18860",0.0227272727272727,17.8598484848485,6.93849920551997,0.000609077705784976,0.0173480350597841,0.0109028727353818,"1401/283/4153",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0031640","GO:0031640","killing of cells of another organism","3/24","135/18860",0.0222222222222222,17.462962962963,6.85227181917938,0.000650261019643849,0.0173480350597841,0.0109028727353818,"731/4153/3080",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0141061","GO:0141061","disruption of cell in another organism","3/24","135/18860",0.0222222222222222,17.462962962963,6.85227181917938,0.000650261019643849,0.0173480350597841,0.0109028727353818,"731/4153/3080",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0141060","GO:0141060","disruption of anatomical structure in another organism","3/24","139/18860",0.0215827338129496,16.9604316546763,6.74152456745901,0.000707885851222349,0.0175550677935434,0.0110329884251678,"731/4153/3080",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0043467","GO:0043467","regulation of generation of precursor metabolites and energy","3/24","141/18860",0.0212765957446809,16.7198581560284,6.68786452965463,0.000737881112632237,0.0175550677935434,0.0110329884251678,"648791/863/2645",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0005979","GO:0005979","regulation of glycogen biosynthetic process","2/24","32/18860",0.0625,49.1145833333333,9.72344660731662,0.000752024323150453,0.0175550677935434,0.0110329884251678,"648791/2645",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0010962","GO:0010962","regulation of glucan biosynthetic process","2/24","32/18860",0.0625,49.1145833333333,9.72344660731662,0.000752024323150453,0.0175550677935434,0.0110329884251678,"648791/2645",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0051873","GO:0051873","killing by host of symbiont cells","2/24","36/18860",0.0555555555555556,43.6574074074074,9.14450833907538,0.000952229491961498,0.0215550130453103,0.0135468693274267,"4153/3080",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0006910","GO:0006910","phagocytosis, recognition","2/24","37/18860",0.0540540540540541,42.4774774774775,9.01445317824769,0.00100586124200555,0.0218836542506006,0.0137534133668257,"1401/4153",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","4/24","360/18860",0.0111111111111111,8.73148148148148,5.28687103268183,0.00102533855257165,0.0218836542506006,0.0137534133668257,"648791/863/2645/5105",4,"Upres_DEq_MS_CM_vs_BM2"
"GO:0032885","GO:0032885","regulation of polysaccharide biosynthetic process","2/24","40/18860",0.05,39.2916666666667,8.65356511662568,0.00117529493789781,0.0242697870720122,0.0152530473249031,"648791/2645",2,"Upres_DEq_MS_CM_vs_BM2"
