"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","17/42","496/19944",0.0342741935483871,16.2753456221198,15.8258097166409,5.82951730408818e-17,3.55691801824739e-15,2.31628024381855e-15,"2267/7057/7060/3959/3912/713/3915/301/4969/4958/83872/4148/3911/3339/1755/1311/2331",17,"Down_B1_vs_DM"
"GO:0030312","external encapsulating structure","17/42","497/19944",0.03420523138833,16.2425984478298,15.8082001095523,6.02867460719896e-17,3.55691801824739e-15,2.31628024381855e-15,"2267/7057/7060/3959/3912/713/3915/301/4969/4958/83872/4148/3911/3339/1755/1311/2331",17,"Down_B1_vs_DM"
"GO:0005604","basement membrane","6/42","100/19944",0.06,28.4914285714286,12.6605982519806,6.18911667777265e-08,2.43438589325724e-06,1.58528251746457e-06,"7060/3912/3915/83872/3911/3339",6,"Down_B1_vs_DM"
"GO:0043256","laminin complex","3/42","10/19944",0.3,142.457142857143,20.5541340173099,1.03143336393595e-06,3.04272842361105e-05,1.98143777808748e-05,"3912/3915/3911",3,"Down_B1_vs_DM"
"GO:0005775","vacuolar lumen","6/42","179/19944",0.0335195530726257,15.9169992019154,9.20939501762896,1.92810867654338e-06,3.93643234615372e-05,2.5634215991902e-05,"2719/4969/4958/4353/3339/2331",6,"Down_B1_vs_DM"
"GO:0043202","lysosomal lumen","5/42","99/19944",0.0505050505050505,23.982683982684,10.5308716589887,2.00157576923071e-06,3.93643234615372e-05,2.5634215991902e-05,"2719/4969/4958/3339/2331",5,"Down_B1_vs_DM"
"GO:0005796","Golgi lumen","5/42","109/19944",0.0458715596330275,21.7824377457405,9.99459415550616,3.21924353461097e-06,5.42672481548707e-05,3.53390643649024e-05,"2719/4969/4958/3339/2331",5,"Down_B1_vs_DM"
"GO:0005788","endoplasmic reticulum lumen","6/42","319/19944",0.0188087774294671,8.93148231079266,6.56018969536534,5.15930487625421e-05,0.000760997469247496,0.000495564810482312,"7057/3912/3915/116519/2719/4148",6,"Down_B1_vs_DM"
"GO:0098637","protein complex involved in cell-matrix adhesion","2/42","17/19944",0.117647058823529,55.8655462184874,10.396202647444,0.000577112210493049,0.00756658231535331,0.00492739080304007,"3912/3915",2,"Down_B1_vs_DM"
"GO:1905370","serine-type endopeptidase complex","2/42","19/19944",0.105263157894737,49.984962406015,9.81322922157659,0.00072369829614757,0.00844251981981695,0.00549780505661585,"10584/78989",2,"Down_B1_vs_DM"
"GO:0005581","collagen trimer","3/42","86/19944",0.0348837209302326,16.5647840531561,6.64501707048977,0.000787014559474461,0.00844251981981695,0.00549780505661585,"10584/713/78989",3,"Down_B1_vs_DM"
"GO:1905286","serine-type peptidase complex","2/42","21/19944",0.0952380952380952,45.2244897959184,9.31465212813533,0.000886382399747781,0.00871609359751985,0.00567595747206912,"10584/78989",2,"Down_B1_vs_DM"
"GO:0071682","endocytic vesicle lumen","2/42","23/19944",0.0869565217391304,41.2919254658385,8.88173683746067,0.00106503295167344,0.00966722217672814,0.00629533647547863,"4353/4057",2,"Down_B1_vs_DM"
"GO:0044217","other organism part","2/42","36/19944",0.0555555555555556,26.3809523809524,7.00191569628412,0.00260648387321275,0.0219689355027932,0.0143062648680098,"713/727",2,"Down_B1_vs_DM"
"GO:0045335","phagocytic vesicle","3/42","148/19944",0.0202702702702703,9.62548262548263,4.83834762965228,0.00371933342039266,0.0292587562404223,0.0190534273465729,"4353/4057/1755",3,"Down_B1_vs_DM"
"GO:0034774","secretory granule lumen","4/42","327/19944",0.0122324159021407,5.8086500655308,4.02765518726286,0.00486258600717944,0.0339833911901908,0.0221301298562349,"7057/3959/4353/4057",4,"Down_B1_vs_DM"
"GO:0060205","cytoplasmic vesicle lumen","4/42","332/19944",0.0120481927710843,5.72117039586919,3.98500897322165,0.00512938847035727,0.0339833911901908,0.0221301298562349,"7057/3959/4353/4057",4,"Down_B1_vs_DM"
"GO:0031983","vesicle lumen","4/42","333/19944",0.012012012012012,5.7039897039897,3.97658379401582,0.00518390713070707,0.0339833911901908,0.0221301298562349,"7057/3959/4353/4057",4,"Down_B1_vs_DM"
"GO:0098636","protein complex involved in cell adhesion","2/42","57/19944",0.0350877192982456,16.6616541353383,5.43953717069723,0.00642117033696229,0.0398788473558711,0.0259692761550275,"3912/3915",2,"Down_B1_vs_DM"
"GO:0005912","adherens junction","3/42","198/19944",0.0151515151515152,7.19480519480519,4.02431726196823,0.00832493320495066,0.0491171059092089,0.0319852696821788,"301/83872/79633",3,"Down_B1_vs_DM"
