"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","83/1063","496/19944",0.167338709677419,3.13960792644069,11.4495111460147,7.75245242277189e-21,2.57841766478256e-18,1.86683304789709e-18,"7057/2266/301/2335/2243/2267/2244/3959/3491/43/375790/4969/27329/1293/3965/3339/3958/3915/3911/7060/5054/23767/4237/4240/348/2331/653145/1292/7045/1291/6277/1311/3912/51129/11093/5118/3371/5649/3698/977/1755/4148/9518/7078/2162/4958/10417/1280/80144/2192/7059/4811/7148/54507/59277/51162/4324/12/4147/9423/4684/7040/1306/3549/89797/4192/10631/633/64856/57188/1303/11117/22795/4052/7041/1893/4318/79875/3914/1690/3909/1490/6590",83,"Down_BD_vs_CM"
"GO:0030312","external encapsulating structure","83/1063","497/19944",0.167002012072435,3.13329080787642,11.4275026341686,8.84534361846503e-21,2.57841766478256e-18,1.86683304789709e-18,"7057/2266/301/2335/2243/2267/2244/3959/3491/43/375790/4969/27329/1293/3965/3339/3958/3915/3911/7060/5054/23767/4237/4240/348/2331/653145/1292/7045/1291/6277/1311/3912/51129/11093/5118/3371/5649/3698/977/1755/4148/9518/7078/2162/4958/10417/1280/80144/2192/7059/4811/7148/54507/59277/51162/4324/12/4147/9423/4684/7040/1306/3549/89797/4192/10631/633/64856/57188/1303/11117/22795/4052/7041/1893/4318/79875/3914/1690/3909/1490/6590",83,"Down_BD_vs_CM"
"GO:0005765","lysosomal membrane","73/1063","462/19944",0.158008658008658,2.96455754969396,10.1372079286371,4.87192336207107e-17,7.10082830021859e-15,5.14116123208027e-15,"3134/2028/1889/684/6520/7098/4012/972/2040/27074/950/290/2629/215/10410/23385/567/64121/1291/151636/5025/4067/8876/83547/64837/10581/2896/10312/3136/968/23503/57707/8673/55361/83667/967/4758/10548/10670/51296/255738/221955/527/91056/537/1186/11342/64114/84888/90809/54664/5663/56674/11145/23545/9842/28962/23207/11182/83930/59345/8140/79888/245972/7030/29965/126321/566/64747/51374/81618/1088/84925",73,"Down_BD_vs_CM"
"GO:0098852","lytic vacuole membrane","73/1063","462/19944",0.158008658008658,2.96455754969396,10.1372079286371,4.87192336207107e-17,7.10082830021859e-15,5.14116123208027e-15,"3134/2028/1889/684/6520/7098/4012/972/2040/27074/950/290/2629/215/10410/23385/567/64121/1291/151636/5025/4067/8876/83547/64837/10581/2896/10312/3136/968/23503/57707/8673/55361/83667/967/4758/10548/10670/51296/255738/221955/527/91056/537/1186/11342/64114/84888/90809/54664/5663/56674/11145/23545/9842/28962/23207/11182/83930/59345/8140/79888/245972/7030/29965/126321/566/64747/51374/81618/1088/84925",73,"Down_BD_vs_CM"
"GO:0030055","cell-substrate junction","62/1063","433/19944",0.143187066974596,2.68647494237191,8.41847559681327,1.10088493261734e-12,1.28363183143182e-10,9.29378648378009e-11,"301/7431/3655/3675/102/2037/3678/8826/4311/3339/51056/950/3716/30845/23767/3673/6237/23385/567/2318/9260/5754/10672/11078/6522/2934/960/5819/3371/83706/29780/7106/6386/977/1969/28964/8754/9902/6714/391/11135/54751/6868/9019/527/8829/390/23545/10544/89870/858/8936/23092/23396/6143/10298/8394/7041/867/9181/3717/3909",62,"Down_BD_vs_CM"
"GO:0045335","phagocytic vesicle","33/1063","148/19944",0.222972972972973,4.18341766036968,9.22327456341751,1.60630864563324e-12,1.5607965673403e-10,1.1300522226297e-10,"6890/3134/3105/7431/6891/306/3107/3106/6892/4353/567/4057/2934/6813/83547/10312/3136/23673/3133/1755/8673/81622/9830/527/90809/26056/51762/23545/55647/25921/10228/7097/245972",33,"Down_BD_vs_CM"
"GO:0030667","secretory granule membrane","51/1063","325/19944",0.156923076923077,2.94418988349374,8.38477294473774,3.67179229860606e-12,2.81013384460763e-10,2.03460083359693e-10,"102/3710/684/3107/8826/3106/4311/2040/634/27074/3958/290/4240/23385/960/8876/6813/140885/10312/961/6809/3136/968/54495/1755/8673/1604/6793/391/967/9522/6844/527/965/22875/81619/64114/5663/8560/5874/51365/84418/858/7097/79888/94103/566/683/3684/23218/1088",51,"Down_BD_vs_CM"
"GO:0005925","focal adhesion","60/1063","423/19944",0.141843971631206,2.66127579512019,8.19427002564616,3.85610133050789e-12,2.81013384460763e-10,2.03460083359693e-10,"301/7431/3655/3675/102/2037/3678/8826/4311/3339/51056/950/3716/30845/23767/3673/6237/23385/567/2318/9260/5754/10672/11078/6522/2934/960/5819/3371/29780/7106/6386/977/1969/28964/8754/9902/6714/391/11135/54751/6868/9019/527/8829/390/23545/10544/89870/858/8936/23092/23396/6143/10298/8394/7041/867/9181/3717",60,"Down_BD_vs_CM"
"GO:0005604","basement membrane","25/1063","100/19944",0.25,4.69049858889934,8.77848992819021,5.80509461474656e-11,3.76041128933027e-09,2.72262332223786e-09,"2335/43/375790/3339/3915/3911/7060/7045/1291/3912/3371/977/7078/1280/80144/2192/4811/59277/4147/9423/1306/64856/22795/3914/3909",25,"Down_BD_vs_CM"
"GO:0005770","late endosome","48/1063","326/19944",0.147239263803681,2.76250223640697,7.61308173461424,1.54735177781483e-10,9.02106086466044e-09,6.53145329372364e-09,"684/8878/972/27074/950/10410/348/567/653145/26509/284996/83547/10581/56829/2896/10312/5641/968/23503/8673/10791/6714/967/255738/91056/11342/84888/90809/9907/23555/54664/57498/89853/6505/85377/5874/54887/79720/9842/83930/54602/29965/126321/7319/79589/4851/3140/9711",48,"Down_BD_vs_CM"
