"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0042611","MHC protein complex","8/333","25/19944",0.32,19.1654054054054,11.8426481040911,4.69117574474658e-09,1.67944091661927e-06,1.49130007885628e-06,"3106/3107/3105/972/567/3134/3133/3136",8,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0098553","lumenal side of endoplasmic reticulum membrane","8/333","35/19944",0.228571428571429,13.6895752895753,9.79092845896096,8.82588992253698e-08,1.03922972386497e-05,9.22809104990357e-06,"3106/3107/3105/6892/972/3134/3133/3136",8,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0012507","ER to Golgi transport vesicle membrane","10/333","64/19944",0.15625,9.35810810810811,8.72684520750334,1.00261286604027e-07,1.03922972386497e-05,9.22809104990357e-06,"3106/3107/3105/972/567/3134/89866/3133/3136/27141",10,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0030670","phagocytic vesicle membrane","11/333","82/19944",0.134146341463415,8.03427818061964,8.31730194508677,1.16115052945807e-07,1.03922972386497e-05,9.22809104990357e-06,"6891/3106/3107/6890/3105/6892/567/3134/83547/3133/3136",11,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0045335","phagocytic vesicle","14/333","148/19944",0.0945945945945946,5.6654492330168,7.42340396775914,1.95818247084291e-07,1.40205864912353e-05,1.24499180251486e-05,"6891/3106/3107/6890/3105/6892/9830/1520/567/3134/83547/3133/3136/81622",14,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0098576","lumenal side of membrane","8/333","46/19944",0.173913043478261,10.4159811985899,8.33119456034891,8.33977229215004e-07,4.97606413431619e-05,4.41861619689353e-05,"3106/3107/3105/6892/972/3134/3133/3136",8,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0030134","COPII-coated ER to Golgi transport vesicle","10/333","95/19944",0.105263157894737,6.30440967283073,6.75300446168052,4.23425071501418e-06,0.000216551679425011,0.000192292288110418,"3106/3107/3105/972/567/3134/89866/3133/3136/27141",10,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0030666","endocytic vesicle membrane","14/333","208/19944",0.0673076923076923,4.03118503118503,5.72640471171646,1.12786721504709e-05,0.000460346278238422,0.000408775583734206,"6891/3106/3107/6890/3105/6892/972/567/3134/83547/3133/3136/409/85439",14,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0030139","endocytic vesicle","19/333","361/19944",0.0526315789473684,3.15220483641536,5.3773101165807,1.15729511288989e-05,0.000460346278238422,0.000408775583734206,"6891/3106/3107/6890/3105/6892/972/30844/9830/1520/567/3134/100506658/83547/3133/3136/81622/409/85439",19,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0005765","lysosomal membrane","21/333","462/19944",0.0454545454545455,2.72235872235872,4.88084839941597,3.61995828612974e-05,0.00117813187857677,0.00104615062431692,"2028/1889/684/215/972/10410/7098/567/3134/100506658/7436/151636/83547/4012/3136/10581/79156/51510/83667/968/91056",21,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0098852","lytic vacuole membrane","21/333","462/19944",0.0454545454545455,2.72235872235872,4.88084839941597,3.61995828612974e-05,0.00117813187857677,0.00104615062431692,"2028/1889/684/215/972/10410/7098/567/3134/100506658/7436/151636/83547/4012/3136/10581/79156/51510/83667/968/91056",21,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0016605","PML body","9/333","109/19944",0.0825688073394495,4.94520208281676,5.38187853499408,8.92593135056472e-05,0.00245806417192475,0.00218269738289113,"3669/5371/6672/9683/7290/6612/23515/23411/5598",9,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0055038","recycling endosome membrane","9/333","109/19944",0.0825688073394495,4.94520208281676,5.38187853499408,8.92593135056472e-05,0.00245806417192475,0.00218269738289113,"3106/3107/3105/30844/567/3134/3133/3136/8216",9,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0030662","coated vesicle membrane","12/333","207/19944",0.0579710144927536,3.4719937328633,4.65864330146749,0.000197135347065993,0.00495698053765476,0.00440167045684134,"3106/3107/3105/972/567/3134/89866/3133/3136/10945/27141/85439",12,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0005769","early endosome","19/333","448/19944",0.0424107142857143,2.54005791505792,4.29606450438164,0.000207694715264864,0.00495698053765476,0.00440167045684134,"3106/5371/3107/1889/3105/30844/10410/7098/567/3134/151636/3133/4012/3136/79156/9388/148022/26750/5664",19,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0005770","late endosome","15/333","326/19944",0.0460122699386503,2.75576189686619,4.16499559388339,0.000412006139491691,0.00921863737112659,0.00818591145569018,"684/972/10410/56829/5641/1520/567/83547/284996/10581/51510/10791/968/91056/4851",15,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0036464","cytoplasmic ribonucleoprotein granule","13/333","267/19944",0.048689138576779,2.91608462394979,4.10731834768556,0.000584887687883822,0.0123170466036711,0.0109372186836479,"3669/85441/64761/57169/23424/6737/85363/55337/2332/60489/79752/55643/80149",13,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0019774","proteasome core complex, beta-subunit complex","3/333","11/19944",0.272727272727273,16.3341523341523,6.62883599325316,0.000689054026288632,0.0137045189672961,0.0121692582420565,"5696/5698/5699",3,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0031901","early endosome membrane","11/333","209/19944",0.0526315789473684,3.15220483641536,4.07573249754602,0.000810309130008555,0.0152679299233191,0.0135575267181487,"3106/5371/3107/3105/30844/10410/567/3134/151636/3133/3136",11,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0000932","P-body","7/333","100/19944",0.07,4.19243243243243,4.17037008445073,0.00144260486975891,0.0258226271686845,0.0229298247719574,"3669/6737/85363/55337/60489/55643/80149",7,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0036019","endolysosome","4/333","31/19944",0.129032258064516,7.7279860505667,4.88500569016433,0.00168230955856343,0.0286793724745575,0.0254665406860229,"7098/5641/1520/5580",4,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0009897","external side of plasma membrane","15/333","393/19944",0.0381679389312977,2.28595007220961,3.35508390825936,0.0026547551058888,0.0432001058140086,0.0383605761712161,"2028/3106/3107/1889/3105/972/4907/958/567/10384/3134/3133/3136/11118/2207",15,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0044217","other organism part","4/333","36/19944",0.111111111111111,6.65465465465465,4.42497694617318,0.00295006627622205,0.0459184229081519,0.0407743714150599,"3434/2633/716/715",4,"Down_BD_vs_res_DEq_MS_BDM"
"GO:0030135","coated vesicle","13/333","323/19944",0.0402476780185759,2.41050958078822,3.33030664734053,0.00320191404306613,0.0477618844757365,0.0424113175879813,"3106/3107/1889/3105/972/567/3134/89866/3133/3136/10945/27141/85439",13,"Down_BD_vs_res_DEq_MS_BDM"
