"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0042627","chylomicron","3/58","13/19944",0.230769230769231,79.3527851458886,15.2614955385342,6.53877352530087e-06,0.00052126526049716,0.000364301001727955,"336/345/344",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:0030687","preribosome, large subunit precursor","3/58","16/19944",0.1875,64.4741379310345,13.7170420247656,1.27239887869125e-05,0.00052126526049716,0.000364301001727955,"10412/117246/56342",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:0030684","preribosome","5/58","104/19944",0.0480769230769231,16.5318302387268,8.57637959190972,1.28757493545052e-05,0.00052126526049716,0.000364301001727955,"10412/117246/9790/56342/65095",5,"Down_BT_vs_res_DEq_MS_B2"
"GO:0015934","large ribosomal subunit","5/58","114/19944",0.043859649122807,15.0816696914701,8.14293082531484,2.01043086224198e-05,0.00052126526049716,0.000364301001727955,"6137/6129/6143/6141/55052",5,"Down_BT_vs_res_DEq_MS_B2"
"GO:0022625","cytosolic large ribosomal subunit","4/58","58/19944",0.0689655172413793,23.7146254458977,9.35580977435513,2.42985808142639e-05,0.00052126526049716,0.000364301001727955,"6137/6129/6143/6141",4,"Down_BT_vs_res_DEq_MS_B2"
"GO:0034361","very-low-density lipoprotein particle","3/58","21/19944",0.142857142857143,49.1231527093596,11.9157635149945,2.9908662487542e-05,0.00052126526049716,0.000364301001727955,"336/345/344",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:0034385","triglyceride-rich plasma lipoprotein particle","3/58","21/19944",0.142857142857143,49.1231527093596,11.9157635149945,2.9908662487542e-05,0.00052126526049716,0.000364301001727955,"336/345/344",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:0034364","high-density lipoprotein particle","3/58","27/19944",0.111111111111111,38.2068965517241,10.447897206039,6.49660259578168e-05,0.000990731895856706,0.000692401066129363,"336/345/344",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:0034358","plasma lipoprotein particle","3/58","37/19944",0.0810810810810811,27.8807082945014,8.83841084942399,0.000169049465867869,0.002062403483588,0.0014413691300313,"336/345/344",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:1990777","lipoprotein particle","3/58","37/19944",0.0810810810810811,27.8807082945014,8.83841084942399,0.000169049465867869,0.002062403483588,0.0014413691300313,"336/345/344",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:0044391","ribosomal subunit","5/58","185/19944",0.027027027027027,9.29356943150047,6.12040825527886,0.000200177516257979,0.00217189981827354,0.00151789374702465,"6137/6129/6143/6141/55052",5,"Down_BT_vs_res_DEq_MS_B2"
"GO:0032994","protein-lipid complex","3/58","40/19944",0.075,25.7896551724138,8.47550967050249,0.000213629490321988,0.00217189981827354,0.00151789374702465,"336/345/344",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:0034774","secretory granule lumen","6/58","327/19944",0.018348623853211,6.30939576083518,5.22803158738039,0.000366595637827188,0.00307858566034314,0.00215155684631401,"7276/6317/6279/6280/4282/6278",6,"Down_BT_vs_res_DEq_MS_B2"
"GO:0022626","cytosolic ribosome","4/58","118/19944",0.0338983050847458,11.656341320865,6.26999362164764,0.000386080513809965,0.00307858566034314,0.00215155684631401,"6137/6129/6143/6141",4,"Down_BT_vs_res_DEq_MS_B2"
"GO:0060205","cytoplasmic vesicle lumen","6/58","332/19944",0.0180722891566265,6.21437474034067,5.17423158548591,0.000397360334145462,0.00307858566034314,0.00215155684631401,"7276/6317/6279/6280/4282/6278",6,"Down_BT_vs_res_DEq_MS_B2"
"GO:0031983","vesicle lumen","6/58","333/19944",0.018018018018018,6.19571295433364,5.16360390459609,0.000403748939061395,0.00307858566034314,0.00215155684631401,"7276/6317/6279/6280/4282/6278",6,"Down_BT_vs_res_DEq_MS_B2"
"GO:0005840","ribosome","5/58","243/19944",0.0205761316872428,7.07535121328225,5.14595417560134,0.000697753967725857,0.00500741082720909,0.00349957098364052,"6137/6129/6143/6141/55052",5,"Down_BT_vs_res_DEq_MS_B2"
"GO:0005766","primary lysosome","4/58","155/19944",0.0258064516129032,8.87385984427141,5.31468010042093,0.00107456542024495,0.00689984111946758,0.00482214953129314,"5660/7276/6317/6278",4,"Down_BT_vs_res_DEq_MS_B2"
"GO:0042582","azurophil granule","4/58","155/19944",0.0258064516129032,8.87385984427141,5.31468010042093,0.00107456542024495,0.00689984111946758,0.00482214953129314,"5660/7276/6317/6278",4,"Down_BT_vs_res_DEq_MS_B2"
"GO:0005775","vacuolar lumen","4/58","179/19944",0.0223463687150838,7.68406858023502,4.85125973488045,0.001824715351253,0.0111307636426433,0.00777904965534176,"5660/7276/6317/6278",4,"Down_BT_vs_res_DEq_MS_B2"
"GO:0005758","mitochondrial intermembrane space","3/58","89/19944",0.0337078651685393,11.5908562572646,5.40787513198181,0.0022199853609751,0.0128970578113792,0.00901347439794403,"9377/1678/51499",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:0035578","azurophil granule lumen","3/58","91/19944",0.032967032967033,11.3361121636984,5.33703882585694,0.0023650990335319,0.0131155491859497,0.00916617328785092,"7276/6317/6278",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:0031970","organelle envelope lumen","3/58","100/19944",0.03,10.3158620689655,5.04363865347788,0.00309043072162448,0.0163927194799212,0.0114565166339397,"9377/1678/51499",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:0005721","pericentric heterochromatin","2/58","30/19944",0.0666666666666667,22.9241379310345,6.48992122752612,0.00343134060116049,0.0174426480558992,0.012190288977807,"9555/9031",2,"Down_BT_vs_res_DEq_MS_B2"
"GO:0098803","respiratory chain complex","3/58","115/19944",0.0260869565217391,8.97031484257871,4.62923805751534,0.0045760777136709,0.022331259242714,0.0156068334655723,"9377/4706/4509",3,"Down_BT_vs_res_DEq_MS_B2"
"GO:0005925","focal adhesion","5/58","423/19944",0.0118203309692671,4.06456346294938,3.44051373746793,0.00764290404041508,0.0358628574204092,0.0250637743835474,"6129/6143/5754/6141/6278",5,"Down_BT_vs_res_DEq_MS_B2"
"GO:0030055","cell-substrate junction","5/58","433/19944",0.0115473441108545,3.97069363701521,3.3751849324025,0.00840860080519716,0.0379944184531131,0.0265534762269384,"6129/6143/5754/6141/6278",5,"Down_BT_vs_res_DEq_MS_B2"
