"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0022625","cytosolic large ribosomal subunit","10/102","58/19944",0.172413793103448,33.7119675456389,17.8874961697908,3.31778612697959e-13,6.96735086665714e-11,5.51800219013448e-11,"6143/6137/6132/6130/6124/6129/6141/6128/6155/11224",10,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0022626","cytosolic ribosome","12/102","118/19944",0.101694915254237,19.8843469591226,14.7512231083072,8.97898294030282e-13,9.42793208731796e-11,7.46673318193603e-11,"6143/6137/6132/6130/6124/6129/6141/6194/6128/6155/6187/11224",12,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0044391","ribosomal subunit","13/102","185/19944",0.0702702702702703,13.7399046104928,12.4816548111659,1.1217845807755e-11,7.85249206542853e-10,6.21901627236946e-10,"6143/6137/55052/6132/6130/6124/6129/6141/6194/6128/6155/6187/11224",13,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0015934","large ribosomal subunit","11/102","114/19944",0.0964912280701754,18.8668730650155,13.7164659080876,1.49964367322789e-11,7.87312928444645e-10,6.23536053605283e-10,"6143/6137/55052/6132/6130/6124/6129/6141/6128/6155/11224",11,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0005840","ribosome","13/102","243/19944",0.0534979423868313,10.4604212055192,10.6382962958653,3.38771610976964e-10,1.42284076610325e-08,1.12686135861811e-08,"6143/6137/55052/6132/6130/6124/6129/6141/6194/6128/6155/6187/11224",13,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0005791","rough endoplasmic reticulum","5/102","59/19944",0.0847457627118644,16.5702891326022,8.58741582937198,1.27463647943852e-05,0.00044612276780348,0.000353320287282957,"6124/6141/6128/6155/6734",5,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0030684","preribosome","6/102","104/19944",0.0576923076923077,11.2805429864253,7.53640964936146,1.56125349701832e-05,0.000468376049105496,0.000370944439893075,"6194/117246/8602/9790/56342/10412",6,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0005925","focal adhesion","10/102","423/19944",0.0236406619385343,4.62244472256988,5.39912680858787,6.20700419230023e-05,0.00158257101060634,0.00125336450965314,"6143/6132/6130/6124/6129/6141/6128/6155/6187/2768",10,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0030687","preribosome, large subunit precursor","3/102","16/19944",0.1875,36.6617647058824,10.2313648568708,6.92952246506595e-05,0.00158257101060634,0.00125336450965314,"117246/56342/10412",3,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0030055","cell-substrate junction","10/102","433/19944",0.023094688221709,4.51569080288004,5.3029491712981,7.53605243145874e-05,0.00158257101060634,0.00125336450965314,"6143/6132/6130/6124/6129/6141/6128/6155/6187/2768",10,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0000805","X chromosome","2/102","11/19944",0.181818181818182,35.5508021390374,8.21808732159529,0.00138233379041764,0.026390008726155,0.0209003577881328,"9555/55506",2,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0030688","preribosome, small subunit precursor","2/102","14/19944",0.142857142857143,27.9327731092437,7.22759899468235,0.00226436016694133,0.0396263029214732,0.0313832374014675,"117246/8602",2,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0098803","respiratory chain complex","4/102","115/19944",0.0347826086956522,6.80102301790281,4.47307016242335,0.00288778190728738,0.0466487846561807,0.0369449021337171,"1337/4706/9377/4509",4,"Down_BT_vs_res_DEq_MS_BM1"
