"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0072562","blood microparticle","18/410","145/19944",0.124137931034483,6.03855340622372,8.82185308211454,1.13704210399469e-09,3.97964736398143e-07,3.6983790540459e-07,"2638/3043/3273/3827/10878/7018/1/5005/1356/3240/731/5004/197/735/3697/3493/3310/713",18,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0106068","SUMO ligase complex","6/410","13/19944",0.461538461538462,22.4510318949343,11.208484652733,1.10535487069947e-07,1.93437102372407e-05,1.79765607919018e-05,"56160/286053/23137/197370/54780/79677",6,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0034774","secretory granule lumen","22/410","327/19944",0.0672782874617737,3.27267845155516,6.00326003884173,1.27063148274159e-06,0.000107827418735356,0.000100206533501429,"230/178/5211/210/383/3273/5836/3827/7018/2990/2821/6694/1/5005/56954/3240/5004/1476/4282/6036/197/3310",22,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0060205","cytoplasmic vesicle lumen","22/410","332/19944",0.0662650602409639,3.22339112547752,5.9185531050016,1.63303288899634e-06,0.000107827418735356,0.000100206533501429,"230/178/5211/210/383/3273/5836/3827/7018/2990/2821/6694/1/5005/56954/3240/5004/1476/4282/6036/197/3310",22,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0031983","vesicle lumen","22/410","333/19944",0.0660660660660661,3.21371127224786,5.90180430312297,1.71597269052843e-06,0.000107827418735356,0.000100206533501429,"230/178/5211/210/383/3273/5836/3827/7018/2990/2821/6694/1/5005/56954/3240/5004/1476/4282/6036/197/3310",22,"Down_CM_vs_res_DEq_MS_BDM"
"GO:1904813","ficolin-1-rich granule lumen","13/410","125/19944",0.104,5.05896585365854,6.59509592604217,1.84847003546325e-06,0.000107827418735356,0.000100206533501429,"230/3043/178/5211/210/5836/2990/2821/1/5236/1476/4282/3310",13,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0044217","other organism part","7/410","36/19944",0.194444444444444,9.45853658536585,7.35909226123358,7.35364208066524e-06,0.000324497655074722,0.000301563234340118,"2633/4153/3434/731/729/735/713",7,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0101002","ficolin-1-rich granule","15/410","186/19944",0.0806451612903226,3.92289535798584,5.80216173265404,7.4170892588508e-06,0.000324497655074722,0.000301563234340118,"230/3043/178/5211/210/5836/2990/2821/1/5236/2548/1476/2207/4282/3310",15,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0032994","protein-lipid complex","7/410","40/19944",0.175,8.51268292682927,6.8904320655348,1.53006238173335e-05,0.00059502425956297,0.000552969913398369,"7436/116519/344/1622/345/341/4018",7,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0034361","very-low-density lipoprotein particle","5/410","21/19944",0.238095238095238,11.581881533101,7.02889015496214,5.55613497398174e-05,0.0017678611280851,0.00164291455211518,"7436/116519/344/345/341",5,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0034385","triglyceride-rich plasma lipoprotein particle","5/410","21/19944",0.238095238095238,11.581881533101,7.02889015496214,5.55613497398174e-05,0.0017678611280851,0.00164291455211518,"7436/116519/344/345/341",5,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0034358","plasma lipoprotein particle","6/410","37/19944",0.162162162162162,7.88820039551747,6.07568582734847,9.86048295885109e-05,0.00265474541199837,0.00246711678889473,"7436/116519/344/345/341/4018",6,"Down_CM_vs_res_DEq_MS_BDM"
"GO:1990777","lipoprotein particle","6/410","37/19944",0.162162162162162,7.88820039551747,6.07568582734847,9.86048295885109e-05,0.00265474541199837,0.00246711678889473,"7436/116519/344/345/341/4018",6,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0042627","chylomicron","4/410","13/19944",0.307692307692308,14.9673545966229,7.29815145501215,0.000108624316799747,0.00271560791999367,0.00252367773617457,"116519/344/345/341",4,"Down_CM_vs_res_DEq_MS_BDM"
"GO:1904724","tertiary granule lumen","7/410","55/19944",0.127272727272727,6.1910421286031,5.58497207059364,0.000127789130658515,0.00298174638203201,0.00277100641217411,"230/3043/5236/56954/3240/5004/1476",7,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0016324","apical plasma membrane","20/410","425/19944",0.0470588235294118,2.28912482065997,3.89181542130948,0.00054869329155602,0.011659786707212,0.0108357115564767,"5244/10327/10991/55107/7018/6580/64241/11309/10864/66002/91703/9123/8647/1579/9154/5348/8529/6712/64240/491",20,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0005782","peroxisomal matrix","6/410","51/19944",0.117647058823529,5.72281205164993,4.89245895467601,0.000599646173513759,0.011659786707212,0.0108357115564767,"570/6342/2168/2053/1428/5264",6,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0031907","microbody lumen","6/410","51/19944",0.117647058823529,5.72281205164993,4.89245895467601,0.000599646173513759,0.011659786707212,0.0108357115564767,"570/6342/2168/2053/1428/5264",6,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0034364","high-density lipoprotein particle","4/410","27/19944",0.148148148148148,7.20650406504065,4.67528990633999,0.00212367287189818,0.0375183969539045,0.034866720778215,"116519/344/345/341",4,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0070820","tertiary granule","10/410","164/19944",0.0609756097560976,2.96609161213563,3.6627233075272,0.00214390839736597,0.0375183969539045,0.034866720778215,"230/3043/5236/56954/3240/2548/5004/1476/2207/1536",10,"Down_CM_vs_res_DEq_MS_BDM"
"GO:0031093","platelet alpha granule lumen","6/410","67/19944",0.0895522388059701,4.35617036767383,3.98655318456132,0.0025239392953636,0.0420656549227266,0.039092593597361,"3273/3827/1/5005/5004/197",6,"Down_CM_vs_res_DEq_MS_BDM"
