"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005938","cell cortex","2/4","324/19944",0.00617283950617284,30.7777777777778,7.65381483733193,0.0015449044407118,0.0214913461312415,0.00323178137311903,"3880/83872",2,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0031464","Cul4A-RING E3 ubiquitin ligase complex","1/4","14/19944",0.0714285714285714,356.142857142857,18.8267829646421,0.0028051176247661,0.0214913461312415,0.00323178137311903,"1643",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0043034","costamere","1/4","16/19944",0.0625,311.625,17.6046422255195,0.00320536642609459,0.0214913461312415,0.00323178137311903,"3880",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0016010","dystrophin-associated glycoprotein complex","1/4","18/19944",0.0555555555555556,277,16.5919692791822,0.00360549472802341,0.0214913461312415,0.00323178137311903,"3880",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0016327","apicolateral plasma membrane","1/4","23/19944",0.0434782608695652,216.782608695652,14.6651818534511,0.00460528845669461,0.0214913461312415,0.00323178137311903,"3880",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0090665","glycoprotein complex","1/4","23/19944",0.0434782608695652,216.782608695652,14.6651818534511,0.00460528845669461,0.0214913461312415,0.00323178137311903,"3880",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0080008","Cul4-RING E3 ubiquitin ligase complex","1/4","38/19944",0.0263157894736842,131.210526315789,11.3791168225337,0.00760015560036975,0.030400622401479,0.00457152216563594,"1643",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0032154","cleavage furrow","1/4","55/19944",0.0181818181818182,90.6545454545455,9.42995992739013,0.0109861630340102,0.0384515706190358,0.0057821910705317,"83872",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0032153","cell division site","1/4","68/19944",0.0147058823529412,73.3235294117647,8.46120538872645,0.0135696106772348,0.0422165665513973,0.00634835587239057,"83872",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0030864","cortical actin cytoskeleton","1/4","80/19944",0.0125,62.325,7.78416190563342,0.0159498362533781,0.0446595415094587,0.00671572052773814,"3880",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0005604","basement membrane","1/4","100/19944",0.01,49.86,6.93747636827386,0.0199073033227346,0.0482825332160616,0.00726053131068596,"83872",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0030863","cortical cytoskeleton","1/4","111/19944",0.00900900900900901,44.9189189189189,6.57175838603495,0.0220788155959426,0.0482825332160616,0.00726053131068596,"3880",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0045095","keratin filament","1/4","114/19944",0.0087719298245614,43.7368421052632,6.4812109960748,0.0226704194432155,0.0482825332160616,0.00726053131068596,"3880",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0030018","Z disc","1/4","134/19944",0.00746268656716418,37.2089552238806,5.95646807660233,0.0266075882808541,0.0482825332160616,0.00726053131068596,"3880",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0090734","site of DNA damage","1/4","135/19944",0.00740740740740741,36.9333333333333,5.93329275862941,0.0268041339470265,0.0482825332160616,0.00726053131068596,"1643",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0042383","sarcolemma","1/4","139/19944",0.00719424460431655,35.8705035971223,5.84306691008572,0.0275900189806066,0.0482825332160616,0.00726053131068596,"3880",1,"Down_res_DEq_MS_B1_vs_BM2"
"GO:0031674","I band","1/4","150/19944",0.00666666666666667,33.24,5.61353639872665,0.0297487486884367,0.0489979390162487,0.00736811113026296,"3880",1,"Down_res_DEq_MS_B1_vs_BM2"
