"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","41/149","496/19944",0.0826612903225806,11.0644078804936,19.6925619438622,2.37459971646881e-31,3.333464818467e-29,2.64184368868549e-29,"7057/2267/3915/4969/375790/7060/3339/3959/2331/3491/5118/6277/1311/1291/1293/11093/5054/3912/3698/5649/23767/977/3911/1292/2243/4148/2266/2335/3371/2244/1755/64856/7148/7059/4958/653145/3909/80144/11117/4811/7042",41,"Down_res_DEq_MS_B2_vs_CM"
"GO:0030312","external encapsulating structure","41/149","497/19944",0.0824949698189135,11.042145490392,19.6693053380983,2.57410410692432e-31,3.333464818467e-29,2.64184368868549e-29,"7057/2267/3915/4969/375790/7060/3339/3959/2331/3491/5118/6277/1311/1291/1293/11093/5054/3912/3698/5649/23767/977/3911/1292/2243/4148/2266/2335/3371/2244/1755/64856/7148/7059/4958/653145/3909/80144/11117/4811/7042",41,"Down_res_DEq_MS_B2_vs_CM"
"GO:0005788","endoplasmic reticulum lumen","23/149","319/19944",0.0721003134796238,9.65079632240012,13.5131694147586,2.2462480581749e-16,1.93926082355766e-14,1.53690656611967e-14,"7057/3915/2719/64374/3491/1291/1293/11093/11098/3912/4241/3698/1292/2243/4148/2266/338/11167/2335/3371/5768/81619/64856",23,"Down_res_DEq_MS_B2_vs_CM"
"GO:0005604","basement membrane","14/149","100/19944",0.14,18.7393288590604,15.4288373776031,2.3111050329003e-14,1.49644050880295e-12,1.18596179319884e-12,"3915/375790/7060/3339/1291/3912/977/3911/2335/3371/64856/3909/80144/4811",14,"Down_res_DEq_MS_B2_vs_CM"
"GO:0098636","protein complex involved in cell adhesion","9/149","57/19944",0.157894736842105,21.1345814199929,13.2070560874829,3.76809873152842e-10,1.95187514293172e-08,1.54690368978535e-08,"3915/3673/3912/3679/3371/3675/7148/11117/4811",9,"Down_res_DEq_MS_B2_vs_CM"
"GO:0030055","cell-substrate junction","19/149","433/19944",0.0438799076212471,5.87342870871243,8.89507116171641,6.11675624697334e-10,2.64039977994349e-08,2.09257450554351e-08,"2318/3339/5754/3673/960/23767/1969/977/29780/6386/7106/3371/3675/4082/9902/3909/1601/8829/858",19,"Down_res_DEq_MS_B2_vs_CM"
"GO:0031093","platelet alpha granule lumen","9/149","67/19944",0.134328358208955,17.9801662826806,12.0785429277729,1.68096185378834e-09,5.88362680484812e-08,4.66290277157238e-08,"7057/5054/2243/2266/2335/2244/1675/5768/7042",9,"Down_res_DEq_MS_B2_vs_CM"
"GO:0098637","protein complex involved in cell-matrix adhesion","6/149","17/19944",0.352941176470588,47.242005527043,16.5482010005113,1.81733646481795e-09,5.88362680484812e-08,4.66290277157238e-08,"3915/3912/3371/7148/11117/4811",6,"Down_res_DEq_MS_B2_vs_CM"
"GO:0005925","focal adhesion","18/149","423/19944",0.0425531914893617,5.69584463801228,8.46922164138378,2.90219060678662e-09,8.35185963508593e-08,6.61903120846071e-08,"2318/3339/5754/3673/960/23767/1969/977/29780/6386/7106/3371/3675/4082/9902/1601/8829/858",18,"Down_res_DEq_MS_B2_vs_CM"
"GO:0031091","platelet alpha granule","9/149","91/19944",0.0989010989010989,13.2381444059296,10.1515842688428,2.64691813512656e-08,6.8555179699778e-07,5.43314775104926e-07,"7057/5054/2243/2266/2335/2244/1675/5768/7042",9,"Down_res_DEq_MS_B2_vs_CM"
