"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","63/387","496/19944",0.127016129032258,6.54576144036009,17.5939826096961,3.30983888999468e-33,7.84804447977692e-31,5.53356305362443e-31,"7057/301/7060/2244/2243/2267/3959/4240/348/2266/3915/27329/375790/1755/2335/5054/3912/4059/4811/2162/4958/10216/3339/3698/1292/4969/3491/23767/4148/83872/4324/10417/3909/3911/6277/7078/5118/1291/1311/43/11093/2331/653145/59277/1293/5649/7148/1306/977/1893/7059/4192/7042/10631/9518/1511/4317/4318/3918/5270/7040/64856/22795",63,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0030312","external encapsulating structure","63/387","497/19944",0.126760563380282,6.53259089420242,17.5703354942271,3.72828716378951e-33,7.84804447977692e-31,5.53356305362443e-31,"7057/301/7060/2244/2243/2267/3959/4240/348/2266/3915/27329/375790/1755/2335/5054/3912/4059/4811/2162/4958/10216/3339/3698/1292/4969/3491/23767/4148/83872/4324/10417/3909/3911/6277/7078/5118/1291/1311/43/11093/2331/653145/59277/1293/5649/7148/1306/977/1893/7059/4192/7042/10631/9518/1511/4317/4318/3918/5270/7040/64856/22795",63,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0005788","endoplasmic reticulum lumen","37/387","319/19944",0.115987460815047,5.9774003061894,12.606446592288,2.12472517224857e-18,2.98169765838882e-16,2.10235964411963e-16,"7057/4241/2243/4240/348/2266/3915/11098/2335/3912/2153/102/3698/338/1292/64374/3491/4148/174/2719/11167/1291/11093/255738/3990/1293/1306/81619/54982/64222/56034/23555/720/5768/56975/64856/8720",37,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0005604","basement membrane","19/387","100/19944",0.19,9.79162790697674,12.3980761355127,5.99433736672173e-14,6.30904007847462e-12,4.44842930898823e-12,"7060/3915/375790/2335/3912/4811/3339/83872/3909/3911/7078/1291/43/59277/1306/977/3918/64856/22795",19,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0030055","cell-substrate junction","33/387","433/19944",0.0762124711316397,3.9276008378538,8.66394438335491,2.40697721259725e-11,2.02667481300689e-09,1.42898436621563e-09,"301/7431/23385/3655/2318/8754/3675/102/6386/3339/9902/1969/23767/30845/1601/83872/960/8829/3909/83706/9019/54751/527/2195/5880/3689/10544/6714/977/7106/28964/5754/29780",33,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0034774","secretory granule lumen","28/387","327/19944",0.0856269113149847,4.41277291800014,8.75315424114684,5.66155529541677e-11,3.9725246322841e-09,2.80097998825882e-09,"7057/2244/2243/3959/2266/2335/4353/5054/23406/2153/4057/6386/2162/2950/83706/7078/1675/10562/1893/3934/7042/6286/1511/566/4317/6283/5768/7040",28,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0060205","cytoplasmic vesicle lumen","28/387","332/19944",0.0843373493975904,4.34631549453628,8.64917318430859,8.073921478808e-11,4.5576672047571e-09,3.21355707398801e-09,"7057/2244/2243/3959/2266/2335/4353/5054/23406/2153/4057/6386/2162/2950/83706/7078/1675/10562/1893/3934/7042/6286/1511/566/4317/6283/5768/7040",28,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0031983","vesicle lumen","28/387","333/19944",0.0840840840840841,4.33326349605419,8.62862316031039,8.66065027032229e-11,4.5576672047571e-09,3.21355707398801e-09,"7057/2244/2243/3959/2266/2335/4353/5054/23406/2153/4057/6386/2162/2950/83706/7078/1675/10562/1893/3934/7042/6286/1511/566/4317/6283/5768/7040",28,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0031091","platelet alpha granule","15/387","91/19944",0.164835164835165,8.49476105290059,10.0801042901451,2.28221729676278e-10,1.0675705354857e-08,7.52731318932284e-09,"7057/2244/2243/2266/2335/5054/2153/2162/83706/1675/7042/948/5768/5270/7040",15,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0031093","platelet alpha granule lumen","13/387","67/19944",0.194029850746269,9.9993057965984,10.3793606159239,4.45176978823285e-10,1.87419508084603e-08,1.32147271608596e-08,"7057/2244/2243/2266/2335/5054/2153/2162/83706/1675/7042/5768/7040",13,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0005925","focal adhesion","30/387","423/19944",0.0709219858156028,3.65495629226456,7.76383215783384,1.12593016001015e-09,4.30924179422065e-08,3.0383952643336e-08,"301/7431/23385/3655/2318/8754/3675/102/6386/3339/9902/1969/23767/30845/1601/960/8829/9019/54751/527/2195/5880/3689/10544/6714/977/7106/28964/5754/29780",30,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0072562","blood microparticle","17/387","145/19944",0.117241379310345,6.0420208500401,8.57169323027934,3.37413354602451e-09,1.1837585190636e-07,8.34654087700799e-08,"2244/2243/3959/348/2266/2335/7037/6386/2162/3698/2040/6513/3512/720/3040/7040/728378",17,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0030667","secretory granule membrane","25/387","325/19944",0.0769230769230769,3.96422182468694,7.5790287880616,5.64967093071991e-09,1.82962420141006e-07,1.29004631778382e-07,"4240/8876/23385/1755/102/51365/5874/960/2040/527/10312/3689/3710/967/1604/6809/25798/81619/948/566/10257/23218/84418/5864/116843",25,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0043256","laminin complex","6/387","10/19944",0.6,30.9209302325581,13.3130472620601,1.01006301781831e-08,3.03740378929649e-07,2.14163737612604e-07,"3915/3912/3909/3911/59277/3918",6,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0042555","MCM complex","6/387","11/19944",0.545454545454545,28.1099365750529,12.6513863935982,2.1857858443365e-08,5.7513490029104e-07,4.05520794804534e-07,"4176/4174/4172/4175/4171/4173",6,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0071162","CMG complex","6/387","11/19944",0.545454545454545,28.1099365750529,12.6513863935982,2.1857858443365e-08,5.7513490029104e-07,4.05520794804534e-07,"4176/4174/4172/4175/4171/4173",6,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0005765","lysosomal membrane","29/387","462/19944",0.0627705627705628,3.2348736534783,6.8368618326296,3.27036811839493e-08,7.64902765469037e-07,5.39323865138813e-07,"8876/23385/6520/1601/1201/2040/527/1291/10312/64837/2629/255738/83930/1318/537/1186/967/58986/25798/112770/8140/566/245972/55315/84925/29965/57192/7311/6272",29,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0098852","lytic vacuole membrane","29/387","462/19944",0.0627705627705628,3.2348736534783,6.8368618326296,3.27036811839493e-08,7.64902765469037e-07,5.39323865138813e-07,"8876/23385/6520/1601/1201/2040/527/1291/10312/64837/2629/255738/83930/1318/537/1186/967/58986/25798/112770/8140/566/245972/55315/84925/29965/57192/7311/6272",29,"Down_res_DEq_MS_BDM_vs_DM"
"GO:0009897","external side of plasma membrane","26/387","393/19944",0.0661577608142494,3.40943251079946,6.78619230876793,6.08808106431115e-08,1.34899059372368e-06,9.51157263233099e-07,"7057/2244/2243/4240/2266/10584/4907/8754/7037/3675/4059/2674/78989/57493/5243/3689/255738/948/8140/1636/9429/7049/10257/154796/23308/4217",26,"Down_res_DEq_MS_BDM_vs_DM"
