"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005765","lysosomal membrane","55/631","462/19944",0.119047619047619,3.76273488793299,10.859966467802,2.22605241287003e-17,5.42043762533852e-15,4.14748712713679e-15,"2028/1889/684/215/2040/3134/567/6520/23385/10410/950/10312/972/290/3136/527/5025/4012/7098/4067/83547/55361/151636/64121/4758/10581/967/537/1291/23503/2896/83667/64837/29965/968/2629/10670/8140/11145/54664/255738/11342/51510/566/245972/91056/23545/23207/84888/59345/1088/26001/8763/81618/25798",55,"Down_res_DEq_MS_BD_vs_BM2"
"GO:0098852","lytic vacuole membrane","55/631","462/19944",0.119047619047619,3.76273488793299,10.859966467802,2.22605241287003e-17,5.42043762533852e-15,4.14748712713679e-15,"2028/1889/684/215/2040/3134/567/6520/23385/10410/950/10312/972/290/3136/527/5025/4012/7098/4067/83547/55361/151636/64121/4758/10581/967/537/1291/23503/2896/83667/64837/29965/968/2629/10670/8140/11145/54664/255738/11342/51510/566/245972/91056/23545/23207/84888/59345/1088/26001/8763/81618/25798",55,"Down_res_DEq_MS_BD_vs_BM2"
"GO:0031012","extracellular matrix","51/631","496/19944",0.102822580645161,3.24991053627115,9.17178084270726,1.27822802291377e-13,1.44297714289473e-11,1.104104417129e-11,"301/653145/7057/3959/9518/43/4240/11093/27329/4969/7060/3965/4811/1755/3491/3958/12/2331/710/6277/5649/4148/3912/1291/83872/51129/3371/1293/9423/10417/1311/1303/1292/4192/7148/7059/4958/6590/80144/8482/2162/59277/7078/5118/1490/10631/22795/1893/4317/4147/1306",51,"Down_res_DEq_MS_BD_vs_BM2"
"GO:0030312","external encapsulating structure","51/631","497/19944",0.10261569416499,3.24337148086618,9.15457392035912,1.38302587924665e-13,1.44297714289473e-11,1.104104417129e-11,"301/653145/7057/3959/9518/43/4240/11093/27329/4969/7060/3965/4811/1755/3491/3958/12/2331/710/6277/5649/4148/3912/1291/83872/51129/3371/1293/9423/10417/1311/1303/1292/4192/7148/7059/4958/6590/80144/8482/2162/59277/7078/5118/1490/10631/22795/1893/4317/4147/1306",51,"Down_res_DEq_MS_BD_vs_BM2"
"GO:0045335","phagocytic vesicle","27/631","148/19944",0.182432432432432,5.76613697691352,10.5194663512531,1.48149603993299e-13,1.44297714289473e-11,1.104104417129e-11,"6891/3107/6890/6892/3106/3105/7431/3134/567/10312/306/3136/527/2934/83547/1755/81622/9830/3133/3732/4353/11151/245972/7097/55647/23545/26056",27,"Down_res_DEq_MS_BD_vs_BM2"
"GO:0030670","phagocytic vesicle membrane","20/631","82/19944",0.24390243902439,7.70901781917978,11.0037176171881,7.44430775927564e-13,6.04229646461206e-11,4.62330692418171e-11,"6891/3107/6890/6892/3106/3105/3134/567/10312/306/3136/527/83547/1755/3133/11151/245972/7097/55647/23545",20,"Down_res_DEq_MS_BD_vs_BM2"
"GO:0030667","secretory granule membrane","33/631","325/19944",0.101538461538462,3.20932341826161,7.25851196216724,4.08073944850342e-09,2.83902873060166e-07,2.17230340566949e-07,"3107/3106/684/634/2040/4240/23385/102/961/10312/290/3136/527/1755/3958/3710/967/6809/1604/54495/968/22875/140885/9522/965/566/7097/1088/51365/683/25798/116843/3684",33,"Down_res_DEq_MS_BD_vs_BM2"
"GO:0030139","endocytic vesicle","34/631","361/19944",0.0941828254847645,2.97683402768327,6.8512411023101,1.59851140670442e-08,9.73093818831317e-07,7.4456978680706e-07,"6891/3107/6890/6892/3106/30844/3105/7431/3134/567/950/10312/10938/306/972/3136/527/2934/4067/83547/30845/1755/81622/9830/3133/3732/4353/11151/245972/7097/55647/23545/26056/4193",34,"Down_res_DEq_MS_BD_vs_BM2"
"GO:0030666","endocytic vesicle membrane","24/631","208/19944",0.115384615384615,3.64695842984274,6.93640230778051,4.89401402493915e-08,2.64820536682818e-06,2.02629352611515e-06,"6891/3107/6890/6892/3106/3105/3134/567/950/10312/306/972/3136/527/4067/83547/1755/3133/11151/245972/7097/55647/23545/4193",24,"Down_res_DEq_MS_BD_vs_BM2"
"GO:0098553","lumenal side of endoplasmic reticulum membrane","10/631","35/19944",0.285714285714286,9.03056373103917,8.5948912485283,8.40812276489536e-08,4.09475578650404e-06,3.13313206186627e-06,"3107/6892/3106/3105/3134/972/3136/3133/84888/5311",10,"Down_res_DEq_MS_BD_vs_BM2"
