"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0106068","GO:0106068","SUMO ligase complex","6/153","13/19944",0.461538461538462,60.1628959276018,18.7613310188268,3.03217189726338e-10,6.12498723247203e-08,5.39407421723696e-08,"197370/79677/56160/286053/23137/54780",6,"Downres_DEq_MS_BD_vs_D"
"GO:0042627","GO:0042627","chylomicron","4/153","13/19944",0.307692307692308,40.1085972850679,12.4018496363839,2.25618555116362e-06,0.000227874740667525,0.000200681767445606,"341/350/344/345",4,"Downres_DEq_MS_BD_vs_D"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","4/153","21/19944",0.19047619047619,24.8291316526611,9.60611070247051,1.80034716005834e-05,0.000909175315829462,0.000800680710657525,"341/350/344/345",4,"Downres_DEq_MS_BD_vs_D"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","4/153","21/19944",0.19047619047619,24.8291316526611,9.60611070247051,1.80034716005834e-05,0.000909175315829462,0.000800680710657525,"341/350/344/345",4,"Downres_DEq_MS_BD_vs_D"
"GO:0034364","GO:0034364","high-density lipoprotein particle","4/153","27/19944",0.148148148148148,19.3115468409586,8.37147613040604,5.09342907650202e-05,0.00205774534690682,0.00181218845037651,"341/350/344/345",4,"Downres_DEq_MS_BD_vs_D"
"GO:0072562","GO:0072562","blood microparticle","7/153","145/19944",0.0482758620689655,6.29290060851927,5.6242316845515,0.000129975155517743,0.00437583023576402,0.00385364934780677,"5627/116285/197/7018/2638/590/3827",7,"Downres_DEq_MS_BD_vs_D"
"GO:0034358","GO:0034358","plasma lipoprotein particle","4/153","37/19944",0.108108108108108,14.0922098569157,7.0083858241446,0.000180587197857994,0.00455982674591435,0.00401568900500013,"341/350/344/345",4,"Downres_DEq_MS_BD_vs_D"
"GO:1990777","GO:1990777","lipoprotein particle","4/153","37/19944",0.108108108108108,14.0922098569157,7.0083858241446,0.000180587197857994,0.00455982674591435,0.00401568900500013,"341/350/344/345",4,"Downres_DEq_MS_BD_vs_D"
"GO:0032994","GO:0032994","protein-lipid complex","4/153","40/19944",0.1,13.0352941176471,6.69921032343108,0.000245465839183651,0.0055093443905664,0.00485189787392247,"341/350/344/345",4,"Downres_DEq_MS_BD_vs_D"
"GO:0009925","GO:0009925","basal plasma membrane","9/153","300/19944",0.03,3.91058823529412,4.46615225892323,0.000526529708294814,0.0106359001075552,0.00936668638966564,"3248/9123/8671/7018/55244/6580/10991/486/10864",9,"Downres_DEq_MS_BD_vs_D"
"GO:0045178","GO:0045178","basal part of cell","9/153","319/19944",0.0282131661442006,3.67766918679698,4.23891316884722,0.00081533429299549,0.0148372296929847,0.013066658770789,"3248/9123/8671/7018/55244/6580/10991/486/10864",9,"Downres_DEq_MS_BD_vs_D"
"GO:0034774","GO:0034774","secretory granule lumen","9/153","327/19944",0.0275229357798165,3.5876956287102,4.1483736127753,0.000970406730886188,0.0148372296929847,0.013066658770789,"350/2821/5627/197/7018/4282/3827/230/6694",9,"Downres_DEq_MS_BD_vs_D"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","9/153","332/19944",0.0271084337349398,3.53366406803685,4.09321184837745,0.00107893211410455,0.0148372296929847,0.013066658770789,"350/2821/5627/197/7018/4282/3827/230/6694",9,"Downres_DEq_MS_BD_vs_D"
"GO:0016323","GO:0016323","basolateral plasma membrane","8/153","267/19944",0.0299625468164794,3.90570610266579,4.20276361770927,0.00108183205232325,0.0148372296929847,0.013066658770789,"3248/9123/8671/55244/6580/10991/486/10864",8,"Downres_DEq_MS_BD_vs_D"
"GO:0031983","GO:0031983","vesicle lumen","9/153","333/19944",0.027027027027027,3.52305246422894,4.08230659753433,0.00110177448215233,0.0148372296929847,0.013066658770789,"350/2821/5627/197/7018/4282/3827/230/6694",9,"Downres_DEq_MS_BD_vs_D"
"GO:0000781","GO:0000781","chromosome, telomeric region","6/153","177/19944",0.0338983050847458,4.41874376869392,4.01688959084636,0.00247176537808993,0.0312060378983854,0.027482128216921,"197370/79677/56160/286053/23137/54780",6,"Downres_DEq_MS_BD_vs_D"
"GO:0005641","GO:0005641","nuclear envelope lumen","2/153","11/19944",0.181818181818182,23.7005347593583,6.62145127965316,0.00307299387837291,0.0365143978489016,0.03215702572415,"6653/590",2,"Downres_DEq_MS_BD_vs_D"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","8/153","319/19944",0.0250783699059561,3.26903927715287,3.59202717048861,0.00327843368471178,0.0367913113506544,0.0324008943108942,"23491/140606/197/7018/590/3827/6694/2326",8,"Downres_DEq_MS_BD_vs_D"
