"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","43/342","496/19944",0.0866935483870968,5.05560271646859,12.0813892152957,1.84759156021413e-18,3.9846799674124e-16,2.88364997641687e-16,"301/27329/4240/2331/5054/23767/4969/3698/3491/1755/3915/43/7060/11093/7059/7057/1311/7042/4958/653145/977/4324/51129/3912/1303/59277/5270/4052/5352/10417/1293/1291/10631/5118/22795/7045/3909/1490/7148/4811/9518/4318/5649",43,"Up_B1_vs_res_DEq_MS_BDM"
"GO:0030312","external encapsulating structure","43/342","497/19944",0.0865191146881288,5.04543047760246,12.0635390545019,1.9923399837062e-18,3.9846799674124e-16,2.88364997641687e-16,"301/27329/4240/2331/5054/23767/4969/3698/3491/1755/3915/43/7060/11093/7059/7057/1311/7042/4958/653145/977/4324/51129/3912/1303/59277/5270/4052/5352/10417/1293/1291/10631/5118/22795/7045/3909/1490/7148/4811/9518/4318/5649",43,"Up_B1_vs_res_DEq_MS_BDM"
"GO:0005765","lysosomal membrane","33/342","462/19944",0.0714285714285714,4.16541353383459,9.09269824003197,4.8480127112922e-12,4.8480127112922e-10,3.50843025159304e-10,"1601/6520/55361/527/1201/8876/64114/8140/112770/79888/56674/54978/26503/90809/967/10312/255738/83985/537/55315/57153/1186/2629/81618/1291/64837/64747/11182/57192/6272/256471/3136/566",33,"Up_B1_vs_res_DEq_MS_BDM"
"GO:0098852","lytic vacuole membrane","33/342","462/19944",0.0714285714285714,4.16541353383459,9.09269824003197,4.8480127112922e-12,4.8480127112922e-10,3.50843025159304e-10,"1601/6520/55361/527/1201/8876/64114/8140/112770/79888/56674/54978/26503/90809/967/10312/255738/83985/537/55315/57153/1186/2629/81618/1291/64837/64747/11182/57192/6272/256471/3136/566",33,"Up_B1_vs_res_DEq_MS_BDM"
"GO:0030055","cell-substrate junction","31/342","433/19944",0.0715935334872979,4.17503342652243,8.82288443663939,2.09701776912713e-11,1.6776142153017e-09,1.21406291896834e-09,"301/1601/3675/7431/6386/23767/1969/102/3678/527/2318/9902/9019/3685/6155/54751/3673/6129/3655/8754/8829/6143/10544/6522/29780/977/960/6132/3909/83692/5754",31,"Up_B1_vs_res_DEq_MS_BDM"
"GO:0005925","focal adhesion","30/342","423/19944",0.0709219858156028,4.13587159387831,8.61064192280906,5.66008570397527e-11,3.77339046931684e-09,2.73074310279509e-09,"301/1601/3675/7431/6386/23767/1969/102/3678/527/2318/9902/9019/3685/6155/54751/3673/6129/3655/8754/8829/6143/10544/6522/29780/977/960/6132/83692/5754",30,"Up_B1_vs_res_DEq_MS_BDM"
"GO:0005788","endoplasmic reticulum lumen","23/342","319/19944",0.0721003134796238,4.20458670186438,7.6211522931637,7.80912582648443e-09,4.46235761513396e-07,3.22933774779431e-07,"4240/174/4241/3698/102/3491/338/3915/11093/5955/7057/11098/255738/3912/23555/1303/81619/11167/4052/1293/1291/336/54982",23,"Up_B1_vs_res_DEq_MS_BDM"
"GO:0098636","protein complex involved in cell adhesion","10/342","57/19944",0.175438596491228,10.2308402585411,9.21832746626734,4.07343768355061e-08,2.03671884177531e-06,1.47394126707424e-06,"3679/3675/3678/3915/3685/3673/3655/3912/7148/4811",10,"Up_B1_vs_res_DEq_MS_BDM"
"GO:0030667","secretory granule membrane","20/342","325/19944",0.0615384615384615,3.58866396761134,6.21494129576694,9.51075571666521e-07,4.22700254074009e-05,3.05901499658823e-05,"4240/102/527/1755/3710/3685/8876/64114/5874/79888/967/10312/84418/1604/960/57153/81619/23218/3136/566",20,"Up_B1_vs_res_DEq_MS_BDM"
"GO:0005604","basement membrane","11/342","100/19944",0.11,6.41473684210526,7.17002798376348,1.16701169044296e-06,4.66804676177183e-05,3.37819173549277e-05,"3915/43/7060/977/3912/59277/1291/22795/7045/3909/4811",11,"Up_B1_vs_res_DEq_MS_BDM"
