"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0034358","plasma lipoprotein particle","6/184","37/19944",0.162162162162162,17.5769682726204,9.7389861019445,1.0417079833731e-06,6.51259964738414e-05,6.16381776414473e-05,"116519/7436/345/344/4018/346",6,"Up_BDM_vs_B2"
"GO:1990777","lipoprotein particle","6/184","37/19944",0.162162162162162,17.5769682726204,9.7389861019445,1.0417079833731e-06,6.51259964738414e-05,6.16381776414473e-05,"116519/7436/345/344/4018/346",6,"Up_BDM_vs_B2"
"GO:0034361","very-low-density lipoprotein particle","5/184","21/19944",0.238095238095238,25.8074534161491,10.9755211351973,1.14256134164634e-06,6.51259964738414e-05,6.16381776414473e-05,"116519/7436/345/344/346",5,"Up_BDM_vs_B2"
"GO:0034385","triglyceride-rich plasma lipoprotein particle","5/184","21/19944",0.238095238095238,25.8074534161491,10.9755211351973,1.14256134164634e-06,6.51259964738414e-05,6.16381776414473e-05,"116519/7436/345/344/346",5,"Up_BDM_vs_B2"
"GO:0032994","protein-lipid complex","6/184","40/19944",0.15,16.2586956521739,9.321545223475,1.68089990480723e-06,7.66490356592095e-05,7.25441011548382e-05,"116519/7436/345/344/4018/346",6,"Up_BDM_vs_B2"
"GO:0034364","high-density lipoprotein particle","4/184","27/19944",0.148148148148148,16.0579710144928,7.55521909829756,0.000104229869839771,0.00396073505391129,0.00374861812581632,"116519/345/344/346",4,"Up_BDM_vs_B2"
"GO:0042627","chylomicron","3/184","13/19944",0.230769230769231,25.0133779264214,8.35739778187324,0.000206407250085341,0.00672297900277967,0.0063629302657887,"116519/345/344",3,"Up_BDM_vs_B2"
"GO:0016324","apical plasma membrane","12/184","425/19944",0.0282352941176471,3.06046035805627,4.14324516655729,0.000607006386498103,0.0172996820151959,0.0163731985831725,"7018/66002/91703/9154/10864/6580/10991/8529/9123/55107/1579/3084",12,"Up_BDM_vs_B2"
"GO:0000164","protein phosphatase type 1 complex","3/184","20/19944",0.15,16.2586956521739,6.58801877281254,0.000784534008316504,0.0198748615440181,0.0188104645268869,"648791/90673/5507",3,"Up_BDM_vs_B2"
"GO:0009925","basal plasma membrane","9/184","300/19944",0.03,3.25173913043478,3.79205323547515,0.00193033313241061,0.0440115954189619,0.0416545570678079,"3248/7018/10864/6580/10991/10861/29015/9123/10998",9,"Up_BDM_vs_B2"
