"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0072562","blood microparticle","19/420","145/19944",0.131034482758621,6.22226600985222,9.25671416734709,2.28552989491463e-10,8.02220993115036e-08,7.45804492024775e-08,"2638/3043/3827/7018/1356/3273/10878/1/3240/731/5005/735/5004/197/3697/3493/3310/713/3507",19,"Up_BDM_vs_CM"
"GO:0106068","SUMO ligase complex","6/420","13/19944",0.461538461538462,21.9164835164835,11.06448729828,1.27452560611739e-07,2.23679243873602e-05,2.07948914682312e-05,"56160/286053/23137/197370/54780/79677",6,"Up_BDM_vs_CM"
"GO:0032994","protein-lipid complex","8/420","40/19944",0.2,9.49714285714286,7.88984051219074,1.5418995214415e-06,0.000127467608379084,0.000118503399602687,"7436/116519/344/345/1622/341/4018/346",8,"Up_BDM_vs_CM"
"GO:0034774","secretory granule lumen","22/420","327/19944",0.0672782874617737,3.19475753604194,5.86920960425189,1.88777492382643e-06,0.000127467608379084,0.000118503399602687,"230/178/5211/383/210/5836/3827/2821/7018/3273/6694/2990/1/3240/56954/5005/5004/1476/4282/197/6036/3310",22,"Up_BDM_vs_CM"
"GO:1904813","ficolin-1-rich granule lumen","13/420","125/19944",0.104,4.93851428571429,6.47861322291852,2.40995226357669e-06,0.000127467608379084,0.000118503399602687,"230/178/3043/5211/210/5836/2821/5236/2990/1/1476/4282/3310",13,"Up_BDM_vs_CM"
"GO:0060205","cytoplasmic vesicle lumen","22/420","332/19944",0.0662650602409639,3.14664371772806,5.78500261615402,2.42038039941788e-06,0.000127467608379084,0.000118503399602687,"230/178/5211/383/210/5836/3827/2821/7018/3273/6694/2990/1/3240/56954/5005/5004/1476/4282/197/6036/3310",22,"Up_BDM_vs_CM"
"GO:0031983","vesicle lumen","22/420","333/19944",0.0660660660660661,3.13719433719434,5.76835196971026,2.54208905599313e-06,0.000127467608379084,0.000118503399602687,"230/178/5211/383/210/5836/3827/2821/7018/3273/6694/2990/1/3240/56954/5005/5004/1476/4282/197/6036/3310",22,"Up_BDM_vs_CM"
"GO:0034361","very-low-density lipoprotein particle","6/420","21/19944",0.285714285714286,13.5673469387755,8.45106369108764,3.49280718525116e-06,0.000136219480224795,0.000126639792681621,"7436/116519/344/345/341/346",6,"Up_BDM_vs_CM"
"GO:0034385","triglyceride-rich plasma lipoprotein particle","6/420","21/19944",0.285714285714286,13.5673469387755,8.45106369108764,3.49280718525116e-06,0.000136219480224795,0.000126639792681621,"7436/116519/344/345/341/346",6,"Up_BDM_vs_CM"
"GO:0044217","other organism part","7/420","36/19944",0.194444444444444,9.23333333333333,7.2518468410007,8.60423834694855e-06,0.000281367291544529,0.000261580028126568,"3434/2633/4153/731/729/735/713",7,"Up_BDM_vs_CM"
"GO:0101002","ficolin-1-rich granule","15/420","186/19944",0.0806451612903226,3.8294930875576,5.68629136574727,9.8795861452176e-06,0.000281367291544529,0.000261580028126568,"230/178/3043/5211/210/5836/2821/5236/2990/1/2548/1476/4282/2207/3310",15,"Up_BDM_vs_CM"
"GO:0034358","plasma lipoprotein particle","7/420","37/19944",0.189189189189189,8.98378378378379,7.12922318913266,1.04210107979455e-05,0.000281367291544529,0.000261580028126568,"7436/116519/344/345/341/4018/346",7,"Up_BDM_vs_CM"
"GO:1990777","lipoprotein particle","7/420","37/19944",0.189189189189189,8.98378378378379,7.12922318913266,1.04210107979455e-05,0.000281367291544529,0.000261580028126568,"7436/116519/344/345/341/4018/346",7,"Up_BDM_vs_CM"
"GO:0042627","chylomicron","4/420","13/19944",0.307692307692308,14.610989010989,7.19999683075005,0.000119221731131419,0.00298905911622343,0.00277885237975487,"116519/344/345/341",4,"Up_BDM_vs_CM"
"GO:1904724","tertiary granule lumen","7/420","55/19944",0.127272727272727,6.04363636363636,5.49356324145841,0.000148286187285443,0.00346989678247937,0.0032258749514728,"230/3043/5236/3240/56954/5004/1476",7,"Up_BDM_vs_CM"
"GO:0034364","high-density lipoprotein particle","5/420","27/19944",0.185185185185185,8.79365079365079,5.94355592375281,0.000222703855870195,0.00488556583815241,0.00454198653419477,"116519/344/345/341/346",5,"Up_BDM_vs_CM"
"GO:0016324","apical plasma membrane","21/420","425/19944",0.0494117647058823,2.34635294117647,4.11490768662029,0.000289836724011232,0.00598427588987897,0.00556342937730539,"5244/55107/10327/7018/9154/6580/10991/64241/11309/91703/10864/66002/8647/1579/8529/9123/6712/5348/64240/491/1535",21,"Up_BDM_vs_CM"
"GO:0005782","peroxisomal matrix","6/420","51/19944",0.117647058823529,5.58655462184874,4.81013213877047,0.000680240983776726,0.012566557121349,0.0116828091396557,"6342/2053/570/2168/1428/5264",6,"Up_BDM_vs_CM"
"GO:0031907","microbody lumen","6/420","51/19944",0.117647058823529,5.58655462184874,4.81013213877047,0.000680240983776726,0.012566557121349,0.0116828091396557,"6342/2053/570/2168/1428/5264",6,"Up_BDM_vs_CM"
"GO:0070820","tertiary granule","11/420","164/19944",0.0670731707317073,3.18501742160279,4.12096736044199,0.000730697508495568,0.0128237412740972,0.0119219067175593,"230/3043/5236/3240/56954/2548/5004/1476/2207/1536/1535",11,"Up_BDM_vs_CM"
"GO:0031093","platelet alpha granule lumen","6/420","67/19944",0.0895522388059701,4.25245202558635,3.91118512148535,0.00284405165964248,0.0475362920254529,0.0441932839342942,"3827/3273/1/5005/5004/197",6,"Up_BDM_vs_CM"
