"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0042611","MHC protein complex","7/183","25/19944",0.28,30.5154098360656,14.2102391508286,2.04074632700946e-09,4.55370756440254e-07,3.76322093272417e-07,"3105/3134/3107/3106/3136/567/972",7,"Up_BM2_vs_D"
"GO:0030670","phagocytic vesicle membrane","10/183","82/19944",0.121951219512195,13.2906837265094,10.7321766143443,3.99448031965135e-09,4.55370756440254e-07,3.76322093272417e-07,"6890/6891/3105/3134/6892/3107/3106/3136/567/7097",10,"Up_BM2_vs_D"
"GO:0045335","phagocytic vesicle","12/183","148/19944",0.0810810810810811,8.83650863978733,9.20833439999487,1.22321844550287e-08,9.29646018582178e-07,7.68267023666712e-07,"6890/6891/3105/3134/6892/3107/3106/9830/81622/3136/567/7097",12,"Up_BM2_vs_D"
"GO:0098553","lumenal side of endoplasmic reticulum membrane","7/183","35/19944",0.2,21.7967213114754,11.8500586913358,2.64217346653021e-08,1.50603887592222e-06,1.24460276449713e-06,"3105/3134/6892/3107/3106/3136/972",7,"Up_BM2_vs_D"
"GO:0005765","lysosomal membrane","19/183","462/19944",0.0411255411255411,4.4820097934852,7.28702965578705,5.43182338241182e-08,2.06409288531649e-06,1.70578313237143e-06,"151636/3134/2028/684/1889/215/7098/10410/3136/5025/4012/567/972/27074/51296/968/10581/8140/25798",19,"Up_BM2_vs_D"
"GO:0098852","lytic vacuole membrane","19/183","462/19944",0.0411255411255411,4.4820097934852,7.28702965578705,5.43182338241182e-08,2.06409288531649e-06,1.70578313237143e-06,"151636/3134/2028/684/1889/215/7098/10410/3136/5025/4012/567/972/27074/51296/968/10581/8140/25798",19,"Up_BM2_vs_D"
"GO:0098576","lumenal side of membrane","7/183","46/19944",0.152173913043478,16.5844618674269,10.1831547498628,1.93157111497624e-07,6.29140306020833e-06,5.1992666102368e-06,"3105/3134/6892/3107/3106/3136/972",7,"Up_BM2_vs_D"
"GO:0009897","external side of plasma membrane","16/183","393/19944",0.0407124681933842,4.43699161556751,6.62226552934282,7.35304922286113e-07,2.09561902851542e-05,1.73183659327913e-05,"3105/3134/2028/3627/1889/4907/3107/3106/3678/3136/3675/10384/567/972/8140/7048",16,"Up_BM2_vs_D"
"GO:0012507","ER to Golgi transport vesicle membrane","7/183","64/19944",0.109375,11.9200819672131,8.42023137894292,1.95084724603516e-06,4.94214635662241e-05,4.08422990690402e-05,"3105/3134/3107/3106/3136/567/972",7,"Up_BM2_vs_D"
"GO:0030666","endocytic vesicle membrane","11/183","208/19944",0.0528846153846154,5.76355611601513,6.64583745989253,3.62557735138317e-06,8.26631636115363e-05,6.83135100944829e-05,"6890/6891/3105/3134/6892/3107/3106/3136/567/972/7097",11,"Up_BM2_vs_D"
