"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0000313","organellar ribosome","6/25","86/19944",0.0697674418604651,55.6576744186046,17.9955077496782,8.92944484507061e-10,2.9467167988733e-08,1.83288604714607e-08,"84545/65008/118487/65003/51650/54460",6,"Up_BT_vs_res_DEq_MS_B1"
"GO:0005761","mitochondrial ribosome","6/25","86/19944",0.0697674418604651,55.6576744186046,17.9955077496782,8.92944484507061e-10,2.9467167988733e-08,1.83288604714607e-08,"84545/65008/118487/65003/51650/54460",6,"Up_BT_vs_res_DEq_MS_B1"
"GO:0044391","ribosomal subunit","7/25","185/19944",0.0378378378378378,30.1855135135135,14.1287000682564,2.20137984256541e-09,4.8430356536439e-08,3.01241452140529e-08,"6224/84545/65008/118487/65003/51650/54460",7,"Up_BT_vs_res_DEq_MS_B1"
"GO:0005840","ribosome","7/25","243/19944",0.0288065843621399,22.9807407407407,12.2132939069769,1.45785263851212e-08,2.40545685354499e-07,1.49621718163086e-07,"6224/84545/65008/118487/65003/51650/54460",7,"Up_BT_vs_res_DEq_MS_B1"
"GO:0098798","mitochondrial protein-containing complex","6/25","176/19944",0.0340909090909091,27.1963636363636,12.3665187751028,6.68152722599039e-08,8.81961593830732e-07,5.4858855118658e-07,"84545/65008/118487/65003/51650/54460",6,"Up_BT_vs_res_DEq_MS_B1"
"GO:0015935","small ribosomal subunit","4/25","74/19944",0.0540540540540541,43.1221621621622,12.8605358748349,2.08203355802414e-06,2.29023691382655e-05,1.42454927654283e-05,"6224/118487/51650/54460",4,"Up_BT_vs_res_DEq_MS_B1"
"GO:0000314","organellar small ribosomal subunit","3/25","32/19944",0.09375,74.79,14.7994828874057,8.4249236250033e-06,6.95056199062772e-05,4.32331607072537e-05,"118487/51650/54460",3,"Up_BT_vs_res_DEq_MS_B1"
"GO:0005763","mitochondrial small ribosomal subunit","3/25","32/19944",0.09375,74.79,14.7994828874057,8.4249236250033e-06,6.95056199062772e-05,4.32331607072537e-05,"118487/51650/54460",3,"Up_BT_vs_res_DEq_MS_B1"
"GO:0000315","organellar large ribosomal subunit","3/25","54/19944",0.0555555555555556,44.32,11.2927423466221,4.13715516158748e-05,0.000273052240664774,0.000169841106633591,"84545/65008/65003",3,"Up_BT_vs_res_DEq_MS_B1"
"GO:0005762","mitochondrial large ribosomal subunit","3/25","54/19944",0.0555555555555556,44.32,11.2927423466221,4.13715516158748e-05,0.000273052240664774,0.000169841106633591,"84545/65008/65003",3,"Up_BT_vs_res_DEq_MS_B1"
"GO:0015934","large ribosomal subunit","3/25","114/19944",0.0263157894736842,20.9936842105263,7.58429784749498,0.000381669607702402,0.00229001764621441,0.00142441288998983,"84545/65008/65003",3,"Up_BT_vs_res_DEq_MS_B1"
"GO:0005811","lipid droplet","2/25","107/19944",0.0186915887850467,14.9114018691589,5.11159306119446,0.00789298002071751,0.0434113901139463,0.0270023000708757,"123/6683",2,"Up_BT_vs_res_DEq_MS_B1"
