"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","41/194","496/19944",0.0826612903225806,8.49792151646159,16.7593362744058,1.97216304783834e-26,3.1568733975645e-24,2.68311785923867e-24,"7057/2335/2243/2266/2267/2244/3339/4969/7060/375790/1293/2331/3959/3915/1311/1291/3698/3912/5118/3911/11093/5649/6277/4148/1755/7148/2162/1292/57188/80144/4811/7040/11117/64856/4324/7059/4237/633/9423/1306/3909",41,"Up_CM_vs_BT"
"GO:0030312","external encapsulating structure","41/194","497/19944",0.0824949698189135,8.48082308282686,16.7383957173195,2.13302256592196e-26,3.1568733975645e-24,2.68311785923867e-24,"7057/2335/2243/2266/2267/2244/3339/4969/7060/375790/1293/2331/3959/3915/1311/1291/3698/3912/5118/3911/11093/5649/6277/4148/1755/7148/2162/1292/57188/80144/4811/7040/11117/64856/4324/7059/4237/633/9423/1306/3909",41,"Up_CM_vs_BT"
"GO:0005604","basement membrane","14/194","100/19944",0.14,14.3925773195876,13.3064471318735,8.99993291182985e-13,8.87993380633879e-11,7.54731216114854e-11,"2335/3339/7060/375790/3915/1291/3912/3911/80144/4811/64856/9423/1306/3909",14,"Up_CM_vs_BT"
"GO:0005788","endoplasmic reticulum lumen","21/194","319/19944",0.0658307210031348,6.76766958601299,10.2920868252713,5.77910924028698e-12,4.27654083781236e-10,3.63475554849628e-10,"7057/2335/2243/2266/2719/1293/3915/1291/3698/3912/11093/5768/11098/102/4148/1292/5959/80341/64856/56034/1306",21,"Up_CM_vs_BT"
"GO:0031093","platelet alpha granule lumen","9/194","67/19944",0.134328358208955,13.8095091552547,10.4089525920539,1.7017520582528e-08,9.2036463483203e-07,7.82244479818119e-07,"7057/2335/2243/2266/2244/5768/2162/7040/1675",9,"Up_CM_vs_BT"
"GO:0072562","blood microparticle","12/194","145/19944",0.0827586206896552,8.50792747955919,8.99280139027495,1.86560398952438e-08,9.2036463483203e-07,7.82244479818119e-07,"2335/2243/2266/2244/3959/2040/3698/6386/2162/7040/3040/3512",12,"Up_CM_vs_BT"
"GO:0034774","secretory granule lumen","16/194","327/19944",0.0489296636085627,5.03017119076894,7.28272035562746,1.38573493269291e-07,5.83378902236038e-06,4.95830574802323e-06,"7057/2335/2243/2266/2244/4353/3959/23406/4057/5768/6386/2162/10562/3934/7040/1675",16,"Up_CM_vs_BT"
"GO:0060205","cytoplasmic vesicle lumen","16/194","332/19944",0.0481927710843374,4.95441560054652,7.20116844821812,1.70293394226071e-07,5.83378902236038e-06,4.95830574802323e-06,"7057/2335/2243/2266/2244/4353/3959/23406/4057/5768/6386/2162/10562/3934/7040/1675",16,"Up_CM_vs_BT"
"GO:0031983","vesicle lumen","16/194","333/19944",0.048048048048048,4.93953747561995,7.18505410258325,1.77378720274471e-07,5.83378902236038e-06,4.95830574802323e-06,"7057/2335/2243/2266/2244/4353/3959/23406/4057/5768/6386/2162/10562/3934/7040/1675",16,"Up_CM_vs_BT"
"GO:0031091","platelet alpha granule","9/194","91/19944",0.0989010989010989,10.1674408066161,8.68696954425808,2.55221382677704e-07,7.55455292726005e-06,6.42083267999698e-06,"7057/2335/2243/2266/2244/5768/2162/7040/1675",9,"Up_CM_vs_BT"
"GO:0098637","protein complex involved in cell-matrix adhesion","5/194","17/19944",0.294117647058824,30.2365069739236,11.952026407668,4.6544308631473e-07,1.25246503226509e-05,1.06450619740881e-05,"3915/3912/7148/4811/11117",5,"Up_CM_vs_BT"
"GO:0030055","cell-substrate junction","17/194","433/19944",0.0392609699769053,4.03618961453299,6.33061108285736,1.22688846558205e-06,2.9503406842091e-05,2.50757974226876e-05,"3339/2195/2318/5754/102/1969/9902/6386/960/3675/7106/29780/8829/6143/6129/6132/3909",17,"Up_CM_vs_BT"
"GO:0098636","protein complex involved in cell adhesion","7/194","57/19944",0.12280701754386,12.6250678241997,8.71085623105808,1.29575773292967e-06,2.9503406842091e-05,2.50757974226876e-05,"3915/3912/3679/3675/7148/4811/11117",7,"Up_CM_vs_BT"
"GO:0043256","laminin complex","4/194","10/19944",0.4,41.1216494845361,12.5774938057626,1.74128149043558e-06,3.68156657977808e-05,3.1290697459707e-05,"3915/3912/3911/3909",4,"Up_CM_vs_BT"
"GO:0005925","focal adhesion","16/194","423/19944",0.0378250591016548,3.88857205527528,5.95134213531989,4.11243346159336e-06,8.11520203087756e-05,6.8973445426022e-05,"3339/2195/2318/5754/102/1969/9902/6386/960/3675/7106/29780/8829/6143/6129/6132",16,"Up_CM_vs_BT"
"GO:0005581","collagen trimer","7/194","86/19944",0.0813953488372093,8.36777751138816,6.78626062812155,2.07660546721142e-05,0.000384172011434113,0.000326518885962848,"1293/1291/114899/1292/10584/11117/1306",7,"Up_CM_vs_BT"
"GO:0043202","lysosomal lumen","7/194","99/19944",0.0707070707070707,7.26897844423618,6.19728375745307,5.17349663013185e-05,0.000900797060305311,0.000765613433189791,"3339/2719/4969/375790/2331/5660/633",7,"Up_CM_vs_BT"
"GO:0005775","vacuolar lumen","9/194","179/19944",0.0502793296089385,5.16892242124057,5.55283129788676,6.62652713256056e-05,0.00108969557290996,0.000926163733732148,"3339/2719/4969/375790/4353/2331/5660/6386/633",9,"Up_CM_vs_BT"
"GO:0005796","Golgi lumen","7/194","109/19944",0.0642201834862385,6.60209968788423,5.81246751753106,9.54319295985315e-05,0.00148672900848238,0.00126361391545978,"3339/2719/4969/375790/2331/7040/633",7,"Up_CM_vs_BT"
"GO:0031902","late endosome membrane","8/194","182/19944",0.043956043956044,4.51886258071825,4.72645049175808,0.000419567868307079,0.00620960445094477,0.00527772213291536,"26509/89853/11342/29965/90809/79720/9842/3140",8,"Up_CM_vs_BT"
"GO:0005770","late endosome","10/194","326/19944",0.0306748466257669,3.15350072734172,3.88542935781622,0.00138186729091646,0.0187077540873819,0.0159002604085501,"5660/26509/89853/11342/29965/90809/79720/9842/84079/3140",10,"Up_CM_vs_BT"
"GO:0071682","endocytic vesicle lumen","3/194","23/19944",0.130434782608696,13.4092335275661,5.90154696258216,0.00139044118217028,0.0187077540873819,0.0159002604085501,"4353/4057/3040",3,"Up_CM_vs_BT"
"GO:0042383","sarcolemma","6/194","139/19944",0.0431654676258993,4.4375880738708,4.03075471184236,0.00241666558139337,0.0301453796989622,0.0256214286915077,"3880/2318/1293/1291/1292/633",6,"Up_CM_vs_BT"
"GO:0022625","cytosolic large ribosomal subunit","4/194","58/19944",0.0689655172413793,7.08993956629932,4.60326335461037,0.00244421997559153,0.0301453796989622,0.0256214286915077,"6143/6129/285855/6132",4,"Up_CM_vs_BT"
