"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","78/776","496/19944",0.157258064516129,4.04169437978051,13.8024647142121,1.9794492321684e-26,6.03626756096231e-24,4.23200352353435e-24,"7057/2267/2244/5054/2335/301/375790/3339/2266/2243/3915/3959/4240/27329/23767/7045/3491/3698/3911/7060/2331/4148/9518/348/653145/10417/1311/1755/11093/4323/51129/5649/977/6277/5118/1303/4811/7078/3371/4059/2162/4969/7148/4324/7042/7059/3958/1490/4318/3918/3909/3908/1292/43/4958/10631/4237/4239/4317/1291/22795/7040/9423/1290/4684/4052/3912/1293/59277/5270/4192/11117/3549/7041/1306/1511/4147/80144",78,"Up_C_vs_BDM"
"GO:0030312","external encapsulating structure","78/776","497/19944",0.156941649899396,4.03356219792985,13.7797867285418,2.26501597034233e-26,6.03626756096231e-24,4.23200352353435e-24,"7057/2267/2244/5054/2335/301/375790/3339/2266/2243/3915/3959/4240/27329/23767/7045/3491/3698/3911/7060/2331/4148/9518/348/653145/10417/1311/1755/11093/4323/51129/5649/977/6277/5118/1303/4811/7078/3371/4059/2162/4969/7148/4324/7042/7059/3958/1490/4318/3918/3909/3908/1292/43/4958/10631/4237/4239/4317/1291/22795/7040/9423/1290/4684/4052/3912/1293/59277/5270/4192/11117/3549/7041/1306/1511/4147/80144",78,"Up_C_vs_BDM"
"GO:0030055","cell-substrate junction","67/776","433/19944",0.15473441108545,3.9768338849075,12.6007527263567,2.08542357837057e-22,3.70510255757172e-20,2.59763287832124e-20,"7431/3673/301/3339/2195/3655/3685/23767/2318/1969/2037/8754/3675/4162/1601/54751/10672/3688/6386/30845/9019/2934/102/83706/23385/3716/3693/6237/9448/960/9260/3678/22800/8829/4323/9902/5754/4082/977/3371/10544/29780/6714/6143/928/6128/7106/23396/3909/6124/6522/6129/6125/527/966/83692/11135/23545/6132/28964/23122/6155/2768/6193/7041/157285/23092",67,"Up_C_vs_BDM"
"GO:0005925","focal adhesion","65/776","423/19944",0.153664302600473,3.94933099363896,12.33617076654,1.34068537557276e-21,1.78646326295071e-19,1.25248239033771e-19,"7431/3673/301/3339/2195/3655/3685/23767/2318/1969/2037/8754/3675/4162/1601/54751/10672/3688/6386/30845/9019/2934/102/23385/3716/3693/6237/9448/960/9260/3678/22800/8829/4323/9902/5754/4082/977/3371/10544/29780/6714/6143/928/6128/7106/23396/6124/6522/6129/6125/527/966/83692/11135/23545/6132/28964/23122/6155/2768/6193/7041/157285/23092",65,"Up_C_vs_BDM"
"GO:0005765","lysosomal membrane","61/776","462/19944",0.132034632034632,3.3934261614674,10.4727794332276,4.96319238168376e-17,4.40896923239574e-15,3.09111104473287e-15,"8876/6520/290/2040/1601/55361/6560/2629/23385/79888/23250/1186/10312/11342/727957/967/8673/2896/221955/83930/55315/537/90809/64837/10159/83667/54978/83985/11182/527/1201/57665/51652/1291/64114/566/57231/28962/23545/84888/55317/57192/6272/64747/81618/8140/153129/58986/255738/57153/29988/84255/29965/26001/245972/10581/56996/112770/1534/9842/84925",61,"Up_C_vs_BDM"
"GO:0098852","lytic vacuole membrane","61/776","462/19944",0.132034632034632,3.3934261614674,10.4727794332276,4.96319238168376e-17,4.40896923239574e-15,3.09111104473287e-15,"8876/6520/290/2040/1601/55361/6560/2629/23385/79888/23250/1186/10312/11342/727957/967/8673/2896/221955/83930/55315/537/90809/64837/10159/83667/54978/83985/11182/527/1201/57665/51652/1291/64114/566/57231/28962/23545/84888/55317/57192/6272/64747/81618/8140/153129/58986/255738/57153/29988/84255/29965/26001/245972/10581/56996/112770/1534/9842/84925",61,"Up_C_vs_BDM"
"GO:0030667","secretory granule membrane","44/776","325/19944",0.135384615384615,3.47952418715305,9.06795384372794,5.36121530810985e-13,4.08218251317507e-11,2.8620021569609e-11,"8876/4240/3685/290/2040/102/23385/79888/960/1755/23250/334/22875/5874/10312/51365/634/6809/81619/967/1604/8673/928/3958/10159/140885/527/51706/966/64114/566/965/84418/3106/5066/3710/683/23218/948/57153/116843/3708/6515/1534",44,"Up_C_vs_BDM"
"GO:0005604","basement membrane","23/776","100/19944",0.23,5.91123711340206,9.90635752906433,3.94896518975952e-12,2.63099805767728e-10,1.84458242416399e-10,"2335/375790/3339/3915/7045/3911/7060/977/4811/7078/3371/3918/3909/3908/43/1291/22795/9423/3912/59277/1306/4147/80144",23,"Up_C_vs_BDM"
"GO:0005788","endoplasmic reticulum lumen","42/776","319/19944",0.13166144200627,3.3838347930065,8.63583563595738,4.63468423339266e-12,2.7447629959981e-10,1.92434257643789e-10,"7057/4241/338/2335/11098/2266/2243/3915/4240/2153/3491/3698/64374/4148/11167/51280/102/348/11093/334/1303/3371/2719/174/81619/351/1292/64222/5768/1291/7466/54982/1290/4052/3912/1293/255738/8720/23555/1306/147111/55757",42,"Up_C_vs_BDM"
"GO:0031091","platelet alpha granule","21/776","91/19944",0.230769230769231,5.93100713719271,9.48595283353312,3.18126497831668e-11,1.69561423344279e-09,1.18878849189729e-09,"7057/2244/5054/2335/2266/2243/2153/83706/334/2162/10916/7042/928/351/5768/51706/7040/3481/5270/948/1675",21,"Up_C_vs_BDM"
"GO:0098636","protein complex involved in cell adhesion","15/776","57/19944",0.263157894736842,6.76342919153554,8.76741285282877,2.97840111947748e-09,1.44317072425591e-07,1.01180133723876e-07,"3673/3915/3655/3685/3675/3688/3679/3693/3678/4811/3371/7148/3908/3912/11117",15,"Up_C_vs_BDM"
"GO:0031093","platelet alpha granule lumen","16/776","67/19944",0.238805970149254,6.13755962455762,8.47532893513915,4.15638252831433e-09,1.84612657299295e-07,1.29431210311543e-07,"7057/2244/5054/2335/2266/2243/2153/83706/2162/10916/7042/351/5768/7040/3481/1675",16,"Up_C_vs_BDM"
"GO:0045335","phagocytic vesicle","23/776","148/19944",0.155405405405405,3.99407913067707,7.35602360481487,1.42671771528762e-08,5.84954263267926e-07,4.10109140831665e-07,"7431/306/3685/2934/4353/3105/3693/1755/4057/23673/6891/10312/8673/90809/25921/527/26056/23545/3106/57192/948/10228/245972",23,"Up_C_vs_BDM"
"GO:0070820","tertiary granule","24/776","164/19944",0.146341463414634,3.76112647724415,7.14385754684696,2.31806748817172e-08,8.82521407996805e-07,6.18732299474406e-07,"2040/102/4057/2495/23250/22875/10312/634/81619/1604/8673/3958/4318/10159/5768/140885/4317/527/966/965/84418/10562/23218/6515",24,"Up_C_vs_BDM"
