"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","40/191","496/19944",0.0806451612903226,8.42087485222091,16.4571212659616,1.18861840768462e-25,1.80246216377624e-23,1.46519681415787e-23,"2335/2267/7057/2244/2266/2243/3339/375790/3959/3698/7060/2331/4148/3915/3911/1311/5649/11093/1755/4969/6277/7148/4059/4811/2162/5118/4317/4318/9518/1490/7059/1291/7040/11117/9423/1511/1292/3912/4192/3918",40,"Up_C_vs_BT"
"GO:0030312","external encapsulating structure","40/191","497/19944",0.0804828973843058,8.40393144205547,16.4365124232504,1.28289121976957e-25,1.80246216377624e-23,1.46519681415787e-23,"2335/2267/7057/2244/2266/2243/3339/375790/3959/3698/7060/2331/4148/3915/3911/1311/5649/11093/1755/4969/6277/7148/4059/4811/2162/5118/4317/4318/9518/1490/7059/1291/7040/11117/9423/1511/1292/3912/4192/3918",40,"Up_C_vs_BT"
"GO:0034774","secretory granule lumen","19/191","327/19944",0.0581039755351682,6.06715019933714,9.08482894225316,3.97137972947766e-10,3.02930751190072e-08,2.46248260004666e-08,"2335/7057/2244/2266/2243/3959/4353/4057/23406/10916/5768/2162/4317/83706/728358/7040/3934/10562/1511",19,"Up_C_vs_BT"
"GO:0060205","cytoplasmic vesicle lumen","19/191","332/19944",0.0572289156626506,5.97577745537122,8.99009837327876,5.12502338282487e-10,3.02930751190072e-08,2.46248260004666e-08,"2335/7057/2244/2266/2243/3959/4353/4057/23406/10916/5768/2162/4317/83706/728358/7040/3934/10562/1511",19,"Up_C_vs_BT"
"GO:0031983","vesicle lumen","19/191","333/19944",0.0570570570570571,5.95783217772747,8.97138439373536,5.39022688950306e-10,3.02930751190072e-08,2.46248260004666e-08,"2335/7057/2244/2266/2243/3959/4353/4057/23406/10916/5768/2162/4317/83706/728358/7040/3934/10562/1511",19,"Up_C_vs_BT"
"GO:0031093","platelet alpha granule lumen","10/191","67/19944",0.149253731343284,15.584902711573,11.7587434572621,7.91646713022029e-10,3.70754543931984e-08,3.01381292501369e-08,"2335/7057/2244/2266/2243/10916/5768/2162/83706/7040",10,"Up_C_vs_BT"
"GO:0005604","basement membrane","11/191","100/19944",0.11,11.4860732984293,10.3369800080755,3.14259527195633e-09,1.26152753059961e-07,1.0254784571647e-07,"2335/3339/375790/7060/3915/3911/4811/1291/9423/3912/3918",11,"Up_C_vs_BT"
"GO:0072562","blood microparticle","12/191","145/19944",0.0827586206896552,8.64155984834808,9.08112781898008,1.56762022779236e-08,5.25192622459808e-07,4.26921892016401e-07,"2335/2244/2266/2243/3959/2040/3698/3040/2162/6513/7040/3512",12,"Up_C_vs_BT"
"GO:0031091","platelet alpha granule","10/191","91/19944",0.10989010989011,11.4745986997296,9.84782709131539,1.68211160218444e-08,5.25192622459808e-07,4.26921892016401e-07,"2335/7057/2244/2266/2243/10916/5768/2162/83706/7040",10,"Up_C_vs_BT"
"GO:0098637","protein complex involved in cell-matrix adhesion","5/191","17/19944",0.294117647058824,30.7114259316292,12.0509807284335,4.30848580278405e-07,1.19850906854174e-05,9.7425161218789e-06,"3915/7148/4811/11117/3912",5,"Up_C_vs_BT"
