"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","37/122","496/19944",0.0745967741935484,12.1947382337388,19.807001402344,4.19679757971435e-30,5.71161335584543e-28,4.25370830329242e-28,"7057/2267/3915/3959/375790/3339/7060/5054/3698/2331/4148/5649/6277/1311/11093/2243/2266/3911/3371/2244/2335/4969/1755/653145/9518/7148/7059/1490/4958/5118/1292/4318/4811/11117/1291/43/3918",37,"Up_C_vs_res_DEq_MS_B2"
"GO:0030312","external encapsulating structure","37/122","497/19944",0.0744466800804829,12.1702015370914,19.7840098794765,4.51510937220983e-30,5.71161335584543e-28,4.25370830329242e-28,"7057/2267/3915/3959/375790/3339/7060/5054/3698/2331/4148/5649/6277/1311/11093/2243/2266/3911/3371/2244/2335/4969/1755/653145/9518/7148/7059/1490/4958/5118/1292/4318/4811/11117/1291/43/3918",37,"Up_C_vs_res_DEq_MS_B2"
"GO:0005604","basement membrane","11/122","100/19944",0.11,17.9822950819672,13.3562087352007,2.53993910271733e-11,2.14201530995828e-09,1.59525999784703e-09,"3915/375790/3339/7060/3911/3371/2335/4811/1291/43/3918",11,"Up_C_vs_res_DEq_MS_B2"
"GO:0005788","endoplasmic reticulum lumen","16/122","319/19944",0.0501567398119122,8.19939359679326,10.1692248566227,1.12586709755402e-10,7.12110939202916e-09,5.30342659110971e-09,"7057/3915/3698/64374/4148/338/2719/11093/2243/2266/3371/2335/81619/1292/5768/1291",16,"Up_C_vs_res_DEq_MS_B2"
"GO:0031093","platelet alpha granule lumen","8/122","67/19944",0.119402985074627,19.5194519207242,11.9121879269232,7.50093599651326e-09,3.79547361423571e-07,2.82666851237026e-07,"7057/5054/2243/2266/2244/2335/83706/5768",8,"Up_C_vs_res_DEq_MS_B2"
"GO:0034774","secretory granule lumen","14/122","327/19944",0.0428134556574924,6.99894721010678,8.58092378405894,1.33673711961567e-08,5.31572399131436e-07,3.95887079028613e-07,"7057/3959/5054/6386/4353/2243/2266/4057/2244/2335/6283/23406/83706/5768",14,"Up_C_vs_res_DEq_MS_B2"
"GO:0060205","cytoplasmic vesicle lumen","14/122","332/19944",0.0421686746987952,6.89354137862927,8.49543968140652,1.61843676897056e-08,5.31572399131436e-07,3.95887079028613e-07,"7057/3959/5054/6386/4353/2243/2266/4057/2244/2335/6283/23406/83706/5768",14,"Up_C_vs_res_DEq_MS_B2"
"GO:0031983","vesicle lumen","14/122","333/19944",0.042042042042042,6.87284005316792,8.4785550430268,1.68086134112707e-08,5.31572399131436e-07,3.95887079028613e-07,"7057/3959/5054/6386/4353/2243/2266/4057/2244/2335/6283/23406/83706/5768",14,"Up_C_vs_res_DEq_MS_B2"
"GO:0072562","blood microparticle","10/122","145/19944",0.0689655172413793,11.2741661955907,9.74115343311149,2.07857665583766e-08,5.84310993252143e-07,4.3516400163151e-07,"3959/2040/3698/6386/2243/2266/2244/2335/6513/3040",10,"Up_C_vs_res_DEq_MS_B2"
"GO:0098637","protein complex involved in cell-matrix adhesion","5/122","17/19944",0.294117647058824,48.0810028929605,15.2352866460041,4.60181871785773e-08,1.16426013561801e-06,8.67079526838457e-07,"3915/3371/7148/4811/11117",5,"Up_C_vs_res_DEq_MS_B2"
