"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","33/110","496/19944",0.0665322580645161,12.0629032258064,18.5805648078607,8.54952843980765e-27,8.89440638235009e-25,6.62579260871424e-25,"2243/2335/7057/2266/2267/2244/7060/348/3959/3912/3339/4811/4148/4969/1755/4059/2162/2331/1311/3911/1291/1893/4192/5649/301/11093/1511/5118/1292/7148/1293/1306/4317",33,"Up_DM_vs_BT"
"GO:0030312","external encapsulating structure","33/110","497/19944",0.0663983903420523,12.0386317907445,18.5589570669665,9.12246808446163e-27,8.89440638235009e-25,6.62579260871424e-25,"2243/2335/7057/2266/2267/2244/7060/348/3959/3912/3339/4811/4148/4969/1755/4059/2162/2331/1311/3911/1291/1893/4192/5649/301/11093/1511/5118/1292/7148/1293/1306/4317",33,"Up_DM_vs_BT"
"GO:0005788","endoplasmic reticulum lumen","18/110","319/19944",0.0564263322884013,10.2306070105443,12.3767666538833,1.53629625238952e-13,9.98592564053191e-12,7.43890816946506e-12,"2243/2335/7057/2266/348/3912/116519/4148/2719/1291/56034/11093/1292/1293/1306/80341/56975/5768",18,"Up_DM_vs_BT"
"GO:0034774","secretory granule lumen","18/110","327/19944",0.055045871559633,9.98031693077565,12.1937048026713,2.34421683167018e-13,1.03816633115278e-11,7.73370870170494e-12,"2243/2335/7057/2266/2244/4353/3959/4057/3310/2162/6286/1893/10562/1511/3934/83706/4317/5768",18,"Up_DM_vs_BT"
"GO:0060205","cytoplasmic vesicle lumen","18/110","332/19944",0.0542168674698795,9.83001095290252,12.0824713665602,3.03511085571715e-13,1.03816633115278e-11,7.73370870170494e-12,"2243/2335/7057/2266/2244/4353/3959/4057/3310/2162/6286/1893/10562/1511/3934/83706/4317/5768",18,"Up_DM_vs_BT"
"GO:0031983","vesicle lumen","18/110","333/19944",0.0540540540540541,9.8004914004914,12.0605080411021,3.19435794200856e-13,1.03816633115278e-11,7.73370870170494e-12,"2243/2335/7057/2266/2244/4353/3959/4057/3310/2162/6286/1893/10562/1511/3934/83706/4317/5768",18,"Up_DM_vs_BT"
"GO:0072562","blood microparticle","13/110","145/19944",0.0896551724137931,16.2552978056426,13.7299670874196,1.33270136675084e-12,3.71252523594877e-11,2.7656058437837e-11,"2243/2335/2266/2244/348/3959/2040/3310/2162/3043/3512/728378/3040",13,"Up_DM_vs_BT"
"GO:0031093","platelet alpha granule lumen","8/110","67/19944",0.119402985074627,21.6488466757123,12.6079423623655,3.29423864868793e-09,8.02970670617682e-08,5.98164386209124e-08,"2243/2335/7057/2266/2244/2162/83706/5768",8,"Up_DM_vs_BT"
"GO:0031091","platelet alpha granule","8/110","91/19944",0.0879120879120879,15.9392607392607,10.6370981075601,3.84802224428687e-08,8.33738152928822e-07,6.21084292060337e-07,"2243/2335/7057/2266/2244/2162/83706/5768",8,"Up_DM_vs_BT"
"GO:0005604","basement membrane","8/110","100/19944",0.08,14.5047272727273,10.0822541696459,8.08740610604769e-08,1.5770441906793e-06,1.17480215014166e-06,"2335/7060/3912/3339/4811/3911/1291/1306",8,"Up_DM_vs_BT"
"GO:0071682","endocytic vesicle lumen","5/110","23/19944",0.217391304347826,39.4150197628458,13.7276388135734,1.44778772766566e-07,2.56653278995276e-06,1.91191106619963e-06,"348/4353/4057/3043/3040",5,"Up_DM_vs_BT"
"GO:1904724","tertiary granule lumen","5/110","55/19944",0.0909090909090909,16.4826446280992,8.56261562856102,1.30080168738646e-05,0.000209108093148408,0.000155772830523511,"4057/10562/3043/4317/5768",5,"Up_DM_vs_BT"
"GO:0034364","high-density lipoprotein particle","4/110","27/19944",0.148148148148148,26.8606060606061,10.0137109649619,1.39405395432272e-05,0.000209108093148408,0.000155772830523511,"348/55937/116519/3931",4,"Up_DM_vs_BT"
"GO:0035580","specific granule lumen","5/110","62/19944",0.0806451612903226,14.6217008797654,7.99988201863695,2.34665474486464e-05,0.000326855482320432,0.000243487484805504,"4057/10562/3934/4317/5768",5,"Up_DM_vs_BT"
"GO:0042581","specific granule","7/110","160/19944",0.04375,7.93227272727273,6.55639352419958,2.98680873691501e-05,0.000382920614956032,0.000285252603853886,"4057/2040/3689/10562/3934/4317/5768",7,"Up_DM_vs_BT"
"GO:0030139","endocytic vesicle","10/110","361/19944",0.0277008310249307,5.02241249055653,5.74363755309156,3.14191273810078e-05,0.000382920614956032,0.000285252603853886,"348/4353/4057/1755/4193/154796/3043/11151/57214/3040",10,"Up_DM_vs_BT"
"GO:0070820","tertiary granule","7/110","164/19944",0.0426829268292683,7.73880266075388,6.45324200197897,3.49842680548069e-05,0.000401290133569843,0.000298936779663365,"4057/2040/3689/10562/3043/4317/5768",7,"Up_DM_vs_BT"
"GO:0034358","plasma lipoprotein particle","4/110","37/19944",0.108108108108108,19.6009828009828,8.4337413505291,5.028105256662e-05,0.000516042381604785,0.000384420235689394,"348/55937/116519/3931",4,"Up_DM_vs_BT"
"GO:1990777","lipoprotein particle","4/110","37/19944",0.108108108108108,19.6009828009828,8.4337413505291,5.028105256662e-05,0.000516042381604785,0.000384420235689394,"348/55937/116519/3931",4,"Up_DM_vs_BT"
"GO:0032994","protein-lipid complex","4/110","40/19944",0.1,18.1309090909091,8.07656434370536,6.86968494563167e-05,0.000669794282199088,0.000498956064472195,"348/55937/116519/3931",4,"Up_DM_vs_BT"
"GO:0098637","protein complex involved in cell-matrix adhesion","3/110","17/19944",0.176470588235294,31.9957219251337,9.52120002455269,0.000104929872769772,0.000974348818576456,0.000725830698858574,"3912/4811/7148",3,"Up_DM_vs_BT"
"GO:0005581","collagen trimer","5/110","86/19944",0.0581395348837209,10.5412262156448,6.60346830963597,0.00011371557681535,0.00100793352177242,0.000750849263182692,"10584/1291/1292/1293/1306",5,"Up_DM_vs_BT"
"GO:0034361","very-low-density lipoprotein particle","3/110","21/19944",0.142857142857143,25.9012987012987,8.50238390295645,0.000201958390005299,0.00164091191879306,0.00122237972897944,"348/55937/116519",3,"Up_DM_vs_BT"
"GO:0034385","triglyceride-rich plasma lipoprotein particle","3/110","21/19944",0.142857142857143,25.9012987012987,8.50238390295645,0.000201958390005299,0.00164091191879306,0.00122237972897944,"348/55937/116519",3,"Up_DM_vs_BT"
"GO:0098636","protein complex involved in cell adhesion","4/110","57/19944",0.0701754385964912,12.7234449760766,6.60076806771429,0.000276296980838507,0.00215511645054036,0.00160543087813533,"3912/4811/3689/7148",4,"Up_DM_vs_BT"
"GO:0005775","vacuolar lumen","6/110","179/19944",0.0335195530726257,6.07739969527679,5.08166336162216,0.000475909089372242,0.00356931817029181,0.00265892527665463,"4353/3339/2719/4969/2331/1511",6,"Up_DM_vs_BT"
"GO:0044217","other organism part","3/110","36/19944",0.0833333333333333,15.1090909090909,6.30990613589083,0.00102092166788292,0.00725848440884532,0.00540713008594145,"727/5648/732",3,"Up_DM_vs_BT"
"GO:0042383","sarcolemma","5/110","139/19944",0.0359712230215827,6.52190974493133,4.86514415908942,0.00104224391511625,0.00725848440884532,0.00540713008594145,"3880/1291/301/1292/1293",5,"Up_DM_vs_BT"
"GO:0043256","laminin complex","2/110","10/19944",0.2,36.2618181818182,8.30603788344108,0.00131789412886267,0.00886170190097312,0.00660142975619051,"3912/3911",2,"Up_DM_vs_BT"
"GO:0009897","external side of plasma membrane","8/110","393/19944",0.0203562340966921,3.69077029840389,4.01212860286985,0.00151096634914691,0.00982128126945493,0.00731625811165873,"2243/7057/2266/2244/10584/4059/3689/154796",8,"Up_DM_vs_BT"
"GO:0031838","haptoglobin-hemoglobin complex","2/110","11/19944",0.181818181818182,32.9652892561983,7.89723534716532,0.00160496328382182,0.0100957367853308,0.00752071080364725,"3043/3040",2,"Up_DM_vs_BT"
"GO:0005833","hemoglobin complex","2/110","12/19944",0.166666666666667,30.2181818181818,7.53971281047597,0.00191902843190649,0.0116940795069302,0.00871137906589131,"3043/3040",2,"Up_DM_vs_BT"
"GO:0043202","lysosomal lumen","4/110","99/19944",0.0404040404040404,7.32561983471074,4.69874163978989,0.00220570057150971,0.0129605517826769,0.00965482400005079,"3339/2719/4969/2331",4,"Up_DM_vs_BT"
"GO:0042627","chylomicron","2/110","13/19944",0.153846153846154,27.8937062937063,7.22344253164068,0.00225978851595392,0.0129605517826769,0.00965482400005079,"348/116519",2,"Up_DM_vs_BT"
"GO:0031089","platelet dense granule lumen","2/110","14/19944",0.142857142857143,25.9012987012987,6.94094813312539,0.00262694492598075,0.0146358360161785,0.0109028090161006,"3959/1893",2,"Up_DM_vs_BT"
"GO:0034362","low-density lipoprotein particle","2/110","15/19944",0.133333333333333,24.1745454545455,6.68652593364871,0.00302020148174796,0.0163594246928014,0.0121867779088075,"348/55937",2,"Up_DM_vs_BT"
"GO:0005796","Golgi lumen","4/110","109/19944",0.036697247706422,6.6535446205171,4.40762262302652,0.00312566992157273,0.0164731252623427,0.0122714779282229,"3339/2719/4969/2331",4,"Up_DM_vs_BT"
"GO:0005884","actin filament","4/110","120/19944",0.0333333333333333,6.04363636363636,4.12691171671395,0.00440727396267734,0.02261627428216,0.0168477508822569,"154796/301/11151/728378",4,"Up_DM_vs_BT"
"GO:0042827","platelet dense granule","2/110","21/19944",0.0952380952380952,17.2675324675325,5.55444147118141,0.0059115595906128,0.029557797953064,0.0220187644670598,"3959/1893",2,"Up_DM_vs_BT"
"GO:0043083","synaptic cleft","2/110","25/19944",0.08,14.5047272727273,5.03162758438152,0.00832481833636101,0.0405834893897599,0.0302322350109953,"348/3911",2,"Up_DM_vs_BT"
"GO:0046930","pore complex","2/110","26/19944",0.0769230769230769,13.9468531468531,4.91942636849685,0.00898630639603389,0.0412258063986077,0.030710722175481,"727/732",2,"Up_DM_vs_BT"
"GO:0045335","phagocytic vesicle","4/110","148/19944",0.027027027027027,4.9002457002457,3.54666798466054,0.00915911475804464,0.0412258063986077,0.030710722175481,"4353/4057/1755/11151",4,"Up_DM_vs_BT"
"GO:0016529","sarcoplasmic reticulum","3/110","78/19944",0.0384615384615385,6.97342657342657,3.93642560582085,0.00920288363426835,0.0412258063986077,0.030710722175481,"7057/7060/1291",3,"Up_DM_vs_BT"
"GO:0030667","secretory granule membrane","6/110","325/19944",0.0184615384615385,3.34724475524476,3.17722562805283,0.0093022332386602,0.0412258063986077,0.030710722175481,"51365/2040/1755/3689/25798/157680",6,"Up_DM_vs_BT"
"GO:0005766","primary lysosome","4/110","155/19944",0.0258064516129032,4.67894428152493,3.4242350472049,0.0107219380276087,0.0454516938126891,0.0338587516661328,"4353/2040/25798/1511",4,"Up_DM_vs_BT"
"GO:0042582","azurophil granule","4/110","155/19944",0.0258064516129032,4.67894428152493,3.4242350472049,0.0107219380276087,0.0454516938126891,0.0338587516661328,"4353/2040/25798/1511",4,"Up_DM_vs_BT"
"GO:0001891","phagocytic cup","2/110","30/19944",0.0666666666666667,12.0872727272727,4.52577062481578,0.0118569014344539,0.0491460080245739,0.0366107914029214,"301/11151",2,"Up_DM_vs_BT"
"GO:0005769","early endosome","7/110","448/19944",0.015625,2.83295454545455,2.92216259243213,0.0120974788983566,0.0491460080245739,0.0366107914029214,"348/4057/116519/301/11151/8829/157680",7,"Up_DM_vs_BT"
