"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","14/34","496/19944",0.0282258064516129,16.5569259962049,14.4986052053991,2.54903788761203e-14,1.53294266503604e-12,9.240410126623e-13,"2267/7057/3959/7060/713/3912/1755/3915/4958/301/4969/83872/4148/3339",14,"Up_DM_vs_res_DEq_MS_B1"
"GO:0030312","external encapsulating structure","14/34","497/19944",0.028169014084507,16.5236122618061,14.4825070003177,2.62041481202742e-14,1.53294266503604e-12,9.240410126623e-13,"2267/7057/3959/7060/713/3912/1755/3915/4958/301/4969/83872/4148/3339",14,"Up_DM_vs_res_DEq_MS_B1"
"GO:0005604","basement membrane","5/34","100/19944",0.05,29.3294117647059,11.7360518842297,7.10313970283884e-07,2.77022448410715e-05,1.6698609125972e-05,"7060/3912/3915/83872/3339",5,"Up_DM_vs_res_DEq_MS_B1"
"GO:0005775","vacuolar lumen","5/34","179/19944",0.0279329608938547,16.3851462372659,8.54434563149491,1.24077369683839e-05,0.000344650569485368,0.000207751580346556,"4958/2719/4353/4969/3339",5,"Up_DM_vs_res_DEq_MS_B1"
"GO:0005788","endoplasmic reticulum lumen","6/34","319/19944",0.0188087774294671,11.0330075603909,7.46484374520413,1.4728656815614e-05,0.000344650569485368,0.000207751580346556,"7057/3912/3915/2719/116519/4148",6,"Up_DM_vs_res_DEq_MS_B1"
"GO:0043202","lysosomal lumen","4/34","99/19944",0.0404040404040404,23.7005347593583,9.35679698909388,2.36271774091799e-05,0.000460729959479008,0.000277722962528957,"4958/2719/4969/3339",4,"Up_DM_vs_res_DEq_MS_B1"
"GO:0005796","Golgi lumen","4/34","109/19944",0.036697247706422,21.5261737722612,8.87982119712063,3.4500234876381e-05,0.000576646782933797,0.000347596351386095,"4958/2719/4969/3339",4,"Up_DM_vs_res_DEq_MS_B1"
"GO:0043256","laminin complex","2/34","10/19944",0.2,117.317647058824,15.2036356947633,0.00012585924533352,0.00184069146300273,0.00110954861017709,"3912/3915",2,"Up_DM_vs_res_DEq_MS_B1"
"GO:0098637","protein complex involved in cell-matrix adhesion","2/34","17/19944",0.117647058823529,69.0103806228374,11.5925179976883,0.00037753834766121,0.00490799851959573,0.0029584876366434,"3912/3915",2,"Up_DM_vs_res_DEq_MS_B1"
"GO:0005581","collagen trimer","3/34","86/19944",0.0348837209302326,20.4623803009576,7.47440282749381,0.00042056281865309,0.00492058497824115,0.0029660746157639,"10584/713/78989",3,"Up_DM_vs_res_DEq_MS_B1"
"GO:1905370","serine-type endopeptidase complex","2/34","19/19944",0.105263157894737,61.7461300309598,10.9470051909001,0.000473685378279788,0.00503828993261229,0.0030370258703106,"10584/78989",2,"Up_DM_vs_res_DEq_MS_B1"
"GO:1905286","serine-type peptidase complex","2/34","21/19944",0.0952380952380952,55.8655462184874,10.395157174399,0.000580477045277352,0.00565965119145418,0.00341157561698093,"10584/78989",2,"Up_DM_vs_res_DEq_MS_B1"
"GO:0071682","endocytic vesicle lumen","2/34","23/19944",0.0869565217391304,51.0076726342711,9.91617234502072,0.000697843993176747,0.00628059593859072,0.00378587429496697,"4353/4057",2,"Up_DM_vs_res_DEq_MS_B1"
"GO:0044217","other organism part","2/34","36/19944",0.0555555555555556,32.5882352941176,7.83902179276751,0.00171376485420672,0.0143221777101561,0.00863325152119174,"713/727",2,"Up_DM_vs_res_DEq_MS_B1"
"GO:0045335","phagocytic vesicle","3/34","148/19944",0.0202702702702703,11.8903020667727,5.49517002398576,0.00202439245464426,0.0154965785701932,0.00934116746921225,"1755/4353/4057",3,"Up_DM_vs_res_DEq_MS_B1"
"GO:0034774","secretory granule lumen","4/34","327/19944",0.0122324159021407,7.1753912574204,4.65287228648489,0.00223212257807954,0.0154965785701932,0.00934116746921225,"7057/3959/4353/4057",4,"Up_DM_vs_res_DEq_MS_B1"
"GO:0060205","cytoplasmic vesicle lumen","4/34","332/19944",0.0120481927710843,7.06732813607371,4.60685619733839,0.0023582786922404,0.0154965785701932,0.00934116746921225,"7057/3959/4353/4057",4,"Up_DM_vs_res_DEq_MS_B1"
"GO:0031983","vesicle lumen","4/34","333/19944",0.012012012012012,7.04610492845787,4.59776743578723,0.00238408901079895,0.0154965785701932,0.00934116746921225,"7057/3959/4353/4057",4,"Up_DM_vs_res_DEq_MS_B1"
"GO:0098636","protein complex involved in cell adhesion","2/34","57/19944",0.0350877192982456,20.5820433436533,6.11800562037944,0.00424544969264376,0.0261430323178589,0.015758732931143,"3912/3915",2,"Up_DM_vs_res_DEq_MS_B1"
"GO:0030055","cell-substrate junction","4/34","433/19944",0.0092378752886836,5.41882896345605,3.84158501636459,0.00607098205886117,0.0355152450443378,0.0214081998917736,"301/83872/9902/3339",4,"Up_DM_vs_res_DEq_MS_B1"
"GO:0016529","sarcoplasmic reticulum","2/34","78/19944",0.0256410256410256,15.0407239819005,5.13429313920368,0.00781171824725582,0.043522430234711,0.026234843236398,"7057/7060",2,"Up_DM_vs_res_DEq_MS_B1"
