"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","extracellular matrix","35/127","496/19944",0.0705645161290323,11.0814071628143,18.2013110221495,6.12101780384537e-27,6.58729281234608e-25,4.72615404708779e-25,"2267/7057/348/7060/3273/3698/3339/3912/3915/1291/4969/4148/4059/11093/7148/5118/2266/5046/2243/4958/1311/2244/2335/5649/1755/3911/80144/64856/4811/2331/3909/11117/2162/1292/1293",35,"Up_D_vs_res_DEq_MS_B2"
"GO:0030312","external encapsulating structure","35/127","497/19944",0.0704225352112676,11.0591105689254,18.1798217023447,6.55452021128963e-27,6.58729281234608e-25,4.72615404708779e-25,"2267/7057/348/7060/3273/3698/3339/3912/3915/1291/4969/4148/4059/11093/7148/5118/2266/5046/2243/4958/1311/2244/2335/5649/1755/3911/80144/64856/4811/2331/3909/11117/2162/1292/1293",35,"Up_D_vs_res_DEq_MS_B2"
"GO:0005788","endoplasmic reticulum lumen","21/127","319/19944",0.0658307210031348,10.3380149581616,13.4593232775488,1.10818744501694e-15,7.4248558816135e-14,5.32707649008143e-14,"7057/348/116519/718/3698/3912/3915/2719/1291/4148/11167/11093/2266/2243/3990/2335/6694/5768/64856/1292/1293",21,"Up_D_vs_res_DEq_MS_B2"
"GO:0034774","secretory granule lumen","18/127","327/19944",0.055045871559633,8.64436899516001,11.1577691831801,2.97830044233679e-12,1.35291752363485e-10,9.70671383807148e-11,"7057/3273/4057/718/10562/2266/728358/4353/2243/83706/2244/2335/6694/5768/6283/1675/2162/56729",18,"Up_D_vs_res_DEq_MS_B2"
"GO:0060205","cytoplasmic vesicle lumen","18/127","332/19944",0.0542168674698795,8.51418271511242,11.0526903008954,3.84036176787665e-12,1.35291752363485e-10,9.70671383807148e-11,"7057/3273/4057/718/10562/2266/728358/4353/2243/83706/2244/2335/6694/5768/6283/1675/2162/56729",18,"Up_D_vs_res_DEq_MS_B2"
"GO:0031983","vesicle lumen","18/127","333/19944",0.0540540540540541,8.48861459885082,11.0319396543106,4.03855977204434e-12,1.35291752363485e-10,9.70671383807148e-11,"7057/3273/4057/718/10562/2266/728358/4353/2243/83706/2244/2335/6694/5768/6283/1675/2162/56729",18,"Up_D_vs_res_DEq_MS_B2"
"GO:0031093","platelet alpha granule lumen","10/127","67/19944",0.149253731343284,23.4387119520508,14.727806053511,1.39644678640195e-11,4.00979720095417e-10,2.87689037198597e-10,"7057/3273/2266/2243/83706/2244/2335/5768/1675/2162",10,"Up_D_vs_res_DEq_MS_B2"
"GO:0005604","basement membrane","11/127","100/19944",0.11,17.2743307086614,13.0607067442379,3.94416253766234e-11,9.90970837587664e-10,7.10987194289133e-10,"7060/3339/3912/3915/1291/2335/3911/80144/64856/4811/3909",11,"Up_D_vs_res_DEq_MS_B2"
"GO:0031091","platelet alpha granule","10/127","91/19944",0.10989010989011,17.2570736350264,12.4430872999664,3.18287673438831e-10,7.10842470680057e-09,5.10004810071578e-09,"7057/3273/2266/2243/83706/2244/2335/5768/1675/2162",10,"Up_D_vs_res_DEq_MS_B2"
"GO:0072562","blood microparticle","11/127","145/19944",0.0758620689655172,11.9133315232148,10.5583941899152,2.21421340200301e-09,4.45056893802605e-08,3.19312880078329e-08,"348/3273/718/3698/3040/3043/2266/2243/2244/2335/2162",11,"Up_D_vs_res_DEq_MS_B2"
"GO:0005796","Golgi lumen","9/127","109/19944",0.0825688073394495,12.96655349274,10.0286940781123,3.22592312594109e-08,5.89464134831053e-07,4.22920065314765e-07,"3339/2719/4969/10082/5046/728358/4958/2331/1672",9,"Up_D_vs_res_DEq_MS_B2"
"GO:0098637","protein complex involved in cell-matrix adhesion","5/127","17/19944",0.294117647058824,46.1880500231589,14.9212515349793,5.6297891223901e-08,9.42989678000342e-07,6.76562376988986e-07,"3912/3915/7148/4811/11117",5,"Up_D_vs_res_DEq_MS_B2"
"GO:0034358","plasma lipoprotein particle","6/127","37/19944",0.162162162162162,25.4658437965525,11.9243936021742,1.17074092399542e-07,1.68084946945057e-06,1.20595117734867e-06,"348/116519/3990/55937/3931/4023",6,"Up_D_vs_res_DEq_MS_B2"
"GO:1990777","lipoprotein particle","6/127","37/19944",0.162162162162162,25.4658437965525,11.9243936021742,1.17074092399542e-07,1.68084946945057e-06,1.20595117734867e-06,"348/116519/3990/55937/3931/4023",6,"Up_D_vs_res_DEq_MS_B2"
"GO:0032994","protein-lipid complex","6/127","40/19944",0.15,23.555905511811,11.4313686677357,1.90303030309251e-07,2.55006060614397e-06,1.82958001069245e-06,"348/116519/3990/55937/3931/4023",6,"Up_D_vs_res_DEq_MS_B2"
"GO:0005775","vacuolar lumen","10/127","179/19944",0.0558659217877095,8.77314916641006,8.36282980605644,2.22838483825743e-07,2.7994084530609e-06,2.00847843974519e-06,"718/3339/2719/4969/10082/728358/4353/4958/2331/56729",10,"Up_D_vs_res_DEq_MS_B2"
"GO:0071682","endocytic vesicle lumen","5/127","23/19944",0.217391304347826,34.1389934953783,12.7299241067887,2.9690244072873e-07,3.51043474038087e-06,2.51861513187839e-06,"348/4057/3040/3043/4353",5,"Up_D_vs_res_DEq_MS_B2"
"GO:0043256","laminin complex","4/127","10/19944",0.4,62.8157480314961,15.6523680896805,3.19684378113279e-07,3.56980888893162e-06,2.56121402348066e-06,"3912/3915/3911/3909",4,"Up_D_vs_res_DEq_MS_B2"
"GO:0034364","high-density lipoprotein particle","5/127","27/19944",0.185185185185185,29.0813648293963,11.6887018947587,6.97934207688964e-07,7.3834092497622e-06,5.29733996971679e-06,"348/116519/3990/55937/3931",5,"Up_D_vs_res_DEq_MS_B2"
"GO:0034361","very-low-density lipoprotein particle","4/127","21/19944",0.19047619047619,29.9122609673791,10.6118837937014,8.62931884002344e-06,8.25949088973673e-05,5.92589815079304e-05,"348/116519/55937/4023",4,"Up_D_vs_res_DEq_MS_B2"
"GO:0034385","triglyceride-rich plasma lipoprotein particle","4/127","21/19944",0.19047619047619,29.9122609673791,10.6118837937014,8.62931884002344e-06,8.25949088973673e-05,5.92589815079304e-05,"348/116519/55937/4023",4,"Up_D_vs_res_DEq_MS_B2"
"GO:0005581","collagen trimer","6/127","86/19944",0.0697674418604651,10.9562351217726,7.40721186941877,1.83549962352653e-05,0.00016769792014947,0.000120317439436907,"1291/10584/78989/11117/1292/1293",6,"Up_D_vs_res_DEq_MS_B2"
"GO:0098636","protein complex involved in cell adhesion","5/127","57/19944",0.087719298245614,13.7753833402404,7.7322321006657,3.10707360180047e-05,0.000271531214766041,0.000194814225833713,"3912/3915/7148/4811/11117",5,"Up_D_vs_res_DEq_MS_B2"
"GO:0043202","lysosomal lumen","6/127","99/19944",0.0606060606060606,9.51753758052971,6.8011797724316,4.08950239635697e-05,0.000342495825694896,0.0002457288720618,"3339/2719/4969/10082/4958/2331",6,"Up_D_vs_res_DEq_MS_B2"
"GO:0042627","chylomicron","3/127","13/19944",0.230769230769231,36.2398546335554,10.1746479262798,6.8833848795874e-05,0.000553424144318827,0.000397062622527778,"348/116519/4023",3,"Up_D_vs_res_DEq_MS_B2"
"GO:0044217","other organism part","4/127","36/19944",0.111111111111111,17.4488188976378,7.90770216621512,7.88801686013143e-05,0.00060980438034093,0.000437513485764375,"718/727/5648/732",4,"Up_D_vs_res_DEq_MS_B2"
