"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005765","GO:0005765","lysosomal membrane","46/552","462/19944",0.0995670995670996,3.5974025974026,9.53008931924094,5.77397271407105e-14,1.36265756052077e-11,1.11832734672534e-11,"7098/3136/972/527/3134/215/968/1889/567/10410/10581/2028/684/255738/4012/11342/6520/967/1291/290/566/2040/2896/83667/8140/10312/950/91056/23503/126321/90809/23207/84888/151636/23385/64114/83547/5025/55361/64837/64747/64121/56674/81618/54664/51510",46,"Upres_DEq_MS_BD_vs_B1"
"GO:0098852","GO:0098852","lytic vacuole membrane","46/552","462/19944",0.0995670995670996,3.5974025974026,9.53008931924094,5.77397271407105e-14,1.36265756052077e-11,1.11832734672534e-11,"7098/3136/972/527/3134/215/968/1889/567/10410/10581/2028/684/255738/4012/11342/6520/967/1291/290/566/2040/2896/83667/8140/10312/950/91056/23503/126321/90809/23207/84888/151636/23385/64114/83547/5025/55361/64837/64747/64121/56674/81618/54664/51510",46,"Upres_DEq_MS_BD_vs_B1"
"GO:0045335","GO:0045335","phagocytic vesicle","24/552","148/19944",0.162162162162162,5.85898942420682,10.0101727228799,2.78948016944474e-12,2.90698482307095e-10,2.38575025622237e-10,"6892/3106/3136/3105/3107/527/3134/567/6890/6891/81622/1755/7097/4057/4353/2934/7431/3133/1520/3732/10312/90809/83547/25921",24,"Upres_DEq_MS_BD_vs_B1"
"GO:0031012","GO:0031012","extracellular matrix","45/552","496/19944",0.0907258064516129,3.27796283309958,8.66769221760332,2.87330543282177e-12,2.90698482307095e-10,2.38575025622237e-10,"3965/8482/301/3912/1293/4969/4192/7148/43/2192/7060/7059/1311/4237/2331/3959/10631/5118/11093/4958/9518/59277/1755/27329/4147/3491/9423/12/5054/710/6277/7057/1291/653145/4811/4318/3958/3371/1520/5649/4240/3549/7045/89797/51129",45,"Upres_DEq_MS_BD_vs_B1"
"GO:0030312","GO:0030312","external encapsulating structure","45/552","497/19944",0.0905432595573441,3.27136733444143,8.65152655659454,3.07943307528703e-12,2.90698482307095e-10,2.38575025622237e-10,"3965/8482/301/3912/1293/4969/4192/7148/43/2192/7060/7059/1311/4237/2331/3959/10631/5118/11093/4958/9518/59277/1755/27329/4147/3491/9423/12/5054/710/6277/7057/1291/653145/4811/4318/3958/3371/1520/5649/4240/3549/7045/89797/51129",45,"Upres_DEq_MS_BD_vs_B1"
"GO:0030667","GO:0030667","secretory granule membrane","33/552","325/19944",0.101538461538462,3.66862876254181,8.18360938448881,1.38255653840392e-10,1.08761114354442e-08,8.92597905495863e-09,"3106/3136/3107/634/527/968/684/3710/51365/1755/102/8560/9522/7097/1604/967/3684/290/3958/965/566/2040/6844/140885/4240/961/10312/94103/23385/64114/54495/84418/22875",33,"Upres_DEq_MS_BD_vs_B1"
"GO:0030670","GO:0030670","phagocytic vesicle membrane","16/552","82/19944",0.195121951219512,7.04984093319194,9.26174619675508,7.38064399916162e-10,4.97666281086327e-08,4.08432630329545e-08,"6892/3106/3136/3105/3107/527/3134/567/6890/6891/1755/7097/3133/10312/90809/83547",16,"Upres_DEq_MS_BD_vs_B1"
"GO:0005770","GO:0005770","late endosome","30/552","326/19944",0.0920245398773006,3.32488663643638,7.14063276469076,9.74516615407474e-09,5.7496480309041e-07,4.71871203249935e-07,"23555/972/968/567/10410/10581/684/255738/284996/9907/11342/10791/967/653145/1520/2896/10312/950/91056/23503/54887/126321/56829/90809/84888/83547/5641/54664/26509/51510",30,"Upres_DEq_MS_BD_vs_B1"
"GO:0030139","GO:0030139","endocytic vesicle","30/552","361/19944",0.0831024930747922,3.00252920631097,6.47808034530462,9.6612581462576e-08,5.06679316114843e-06,4.15829590388631e-06,"6892/3106/3136/972/3105/3107/527/3134/567/6890/6891/81622/1755/7097/4057/4353/2934/7431/3133/1520/3732/6844/1759/10312/950/90809/83547/25921/30844/30845",30,"Upres_DEq_MS_BD_vs_B1"
"GO:0005775","GO:0005775","vacuolar lumen","20/552","179/19944",0.111731843575419,4.03692008744231,6.88596724574734,1.29338204185019e-07,6.10476323753291e-06,5.01015359369338e-06,"1515/972/4969/2331/4958/6386/1727/12/2512/4353/6625/10437/566/1520/2896/3988/6448/5580/950/5641",20,"Upres_DEq_MS_BD_vs_B1"
"GO:0070820","GO:0070820","tertiary granule","19/552","164/19944",0.115853658536585,4.18584305408271,6.91172801442297,1.50045545151189e-07,6.43831793739647e-06,5.28390053738159e-06,"2495/634/527/567/5768/102/4057/1604/3684/4318/3958/965/1520/2040/140885/961/10312/84418/22875",19,"Upres_DEq_MS_BD_vs_B1"
"GO:0042611","GO:0042611","MHC protein complex","8/552","25/19944",0.32,11.5617391304348,8.91507820416922,2.33703684558412e-07,9.19234492596421e-06,7.5441189401312e-06,"3106/3136/972/3105/3107/3134/567/3133",8,"Upres_DEq_MS_BD_vs_B1"
"GO:0098553","GO:0098553","lumenal side of endoplasmic reticulum membrane","9/552","35/19944",0.257142857142857,9.29068322981366,8.28234091985079,3.31751894825063e-07,1.20451457198023e-05,9.88540059073873e-06,"6892/3106/3136/972/3105/3107/3134/3133/84888",9,"Upres_DEq_MS_BD_vs_B1"
"GO:0098576","GO:0098576","lumenal side of membrane","9/552","46/19944",0.195652173913043,7.06899810964083,6.95255906452185,3.94725637526754e-06,0.000133078929223306,0.000109217319255523,"6892/3106/3136/972/3105/3107/3134/3133/84888",9,"Upres_DEq_MS_BD_vs_B1"
"GO:0030666","GO:0030666","endocytic vesicle membrane","19/552","208/19944",0.0913461538461538,3.3003762541806,5.62670903032073,5.63734077088326e-06,0.000177388322923793,0.000145581852890178,"6892/3106/3136/972/3105/3107/527/3134/567/6890/6891/1755/7097/3133/6844/10312/950/90809/83547",19,"Upres_DEq_MS_BD_vs_B1"
"GO:0005925","GO:0005925","focal adhesion","29/552","423/19944",0.0685579196217494,2.47702744372495,5.18037501319128,7.70159349266087e-06,0.000227197008033496,0.000186459631927579,"301/3678/3675/527/51056/567/9902/10544/6386/102/7106/247/2037/6522/2934/7431/6129/3655/3371/6868/6143/5754/950/4739/23385/5819/89870/29780/30845",29,"Upres_DEq_MS_BD_vs_B1"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","24/552","319/19944",0.0752351097178683,2.71827722502385,5.21960002849419,1.02198732162857e-05,0.000283751774005108,0.000232873891244157,"23555/174/3912/1435/1293/567/11093/255738/5768/3491/102/8542/11098/710/7057/4241/1291/3487/3371/6868/4240/5955/2621/64222",24,"Upres_DEq_MS_BD_vs_B1"
"GO:0030055","GO:0030055","cell-substrate junction","29/552","433/19944",0.0669745958429561,2.4198212671955,5.03954518009138,1.19957499185365e-05,0.000314555220086067,0.00025815415029365,"301/3678/3675/527/51056/567/9902/10544/6386/102/7106/247/2037/6522/2934/7431/6129/3655/3371/6868/6143/5754/950/4739/23385/5819/89870/29780/30845",29,"Upres_DEq_MS_BD_vs_B1"
"GO:0009897","GO:0009897","external side of plasma membrane","27/552","393/19944",0.0687022900763359,2.48224361101892,5.00708376198757,1.5222169865828e-05,0.000378150746140568,0.000310346731890565,"10384/8482/3106/3136/972/3105/3678/3107/1636/4907/958/3675/3134/7048/1889/567/2028/255738/78989/7057/3684/3133/290/8140/4240/11120/10584",27,"Upres_DEq_MS_BD_vs_B1"
"GO:0043202","GO:0043202","lysosomal lumen","12/552","99/19944",0.121212121212121,4.37944664031621,5.68710336116296,1.85647555148399e-05,0.000438128230150221,0.000359570001550583,"1515/972/4969/2331/4958/6625/10437/1520/3988/6448/950/5641",12,"Upres_DEq_MS_BD_vs_B1"
