"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0042627","chylomicron","4/326","13/19944",0.307692307692308,18.8239735724398,8.28682830366478,4.45980711120639e-05,0.00742557884015863,0.00673665600482228,"350/341/344/345",4,"Up_res_DEq_MS_BD_vs_DM"
"GO:0106068","SUMO ligase complex","4/326","13/19944",0.307692307692308,18.8239735724398,8.28682830366478,4.45980711120639e-05,0.00742557884015863,0.00673665600482228,"56160/23137/286053/79677",4,"Up_res_DEq_MS_BD_vs_DM"
"GO:0032432","actin filament bundle","8/326","96/19944",0.0833333333333333,5.09815950920245,5.18851143864519,0.000178073261978072,0.0156078093792834,0.0141597638433834,"10580/10398/4026/667/7429/27295/2620/3936",8,"Up_res_DEq_MS_BD_vs_DM"
"GO:0034358","plasma lipoprotein particle","5/326","37/19944",0.135135135135135,8.26728569059857,5.70357119258949,0.000321057159507608,0.0156078093792834,0.0141597638433834,"350/341/344/345/4018",5,"Up_res_DEq_MS_BD_vs_DM"
"GO:1990777","lipoprotein particle","5/326","37/19944",0.135135135135135,8.26728569059857,5.70357119258949,0.000321057159507608,0.0156078093792834,0.0141597638433834,"350/341/344/345/4018",5,"Up_res_DEq_MS_BD_vs_DM"
"GO:0034361","very-low-density lipoprotein particle","4/326","21/19944",0.19047619047619,11.6529360210342,6.29619656688426,0.000336658233051991,0.0156078093792834,0.0141597638433834,"350/341/344/345",4,"Up_res_DEq_MS_BD_vs_DM"
"GO:0034385","triglyceride-rich plasma lipoprotein particle","4/326","21/19944",0.19047619047619,11.6529360210342,6.29619656688426,0.000336658233051991,0.0156078093792834,0.0141597638433834,"350/341/344/345",4,"Up_res_DEq_MS_BD_vs_DM"
"GO:0005811","lipid droplet","8/326","107/19944",0.0747663551401869,4.57404965311622,4.77849519307532,0.000374962387490291,0.0156078093792834,0.0141597638433834,"80270/25840/4047/54832/157506/8228/55102/7327",8,"Up_res_DEq_MS_BD_vs_DM"
"GO:0032994","protein-lipid complex","5/326","40/19944",0.125,7.64723926380368,5.42472597350801,0.000465634289096799,0.015755179257663,0.0142934611883967,"350/341/344/345/4018",5,"Up_res_DEq_MS_BD_vs_DM"
"GO:0001725","stress fiber","7/326","86/19944",0.0813953488372093,4.97959766015123,4.76757264060283,0.00052044135685974,0.015755179257663,0.0142934611883967,"10580/10398/4026/667/27295/2620/3936",7,"Up_res_DEq_MS_BD_vs_DM"
"GO:0097517","contractile actin filament bundle","7/326","86/19944",0.0813953488372093,4.97959766015123,4.76757264060283,0.00052044135685974,0.015755179257663,0.0142934611883967,"10580/10398/4026/667/27295/2620/3936",7,"Up_res_DEq_MS_BD_vs_DM"
"GO:0042641","actomyosin","7/326","93/19944",0.0752688172043011,4.60478923411835,4.49165960648272,0.000832769178774186,0.0231093447109837,0.02096532932528,"10580/10398/4026/667/27295/2620/3936",7,"Up_res_DEq_MS_BD_vs_DM"
"GO:0034364","high-density lipoprotein particle","4/326","27/19944",0.148148148148148,9.06339468302659,5.40461195934946,0.000913828698402039,0.0234080735821445,0.0212363430316911,"350/341/344/345",4,"Up_res_DEq_MS_BD_vs_DM"
"GO:0034774","secretory granule lumen","14/326","327/19944",0.0428134556574924,2.61923791298475,3.80579090347402,0.00104091394484246,0.0247588816880384,0.0224618272308109,"7018/230/3273/5627/2821/3827/383/197/5211/350/6694/1476/4282/7042",14,"Up_res_DEq_MS_BD_vs_DM"
"GO:0060205","cytoplasmic vesicle lumen","14/326","332/19944",0.0421686746987952,2.57979155887353,3.74183444145852,0.00120235597826597,0.0250190469581217,0.0226978551508802,"7018/230/3273/5627/2821/3827/383/197/5211/350/6694/1476/4282/7042",14,"Up_res_DEq_MS_BD_vs_DM"
"GO:0031983","vesicle lumen","14/326","333/19944",0.042042042042042,2.57204443707511,3.72918341917164,0.00123704217808678,0.0250190469581217,0.0226978551508802,"7018/230/3273/5627/2821/3827/383/197/5211/350/6694/1476/4282/7042",14,"Up_res_DEq_MS_BD_vs_DM"
"GO:0031970","organelle envelope lumen","7/326","100/19944",0.07,4.28245398773006,4.24190284526495,0.00127724864350772,0.0250190469581217,0.0226978551508802,"6653/51142/2628/590/1678/26521/9377",7,"Up_res_DEq_MS_BD_vs_DM"
"GO:0005640","nuclear outer membrane","4/326","33/19944",0.121212121212121,7.41550474065811,4.75464332664633,0.00197286078573282,0.0364979245360571,0.0331117570470947,"23224/10128/2023/10204",4,"Up_res_DEq_MS_BD_vs_DM"
"GO:0005796","Golgi lumen","7/326","109/19944",0.0642201834862385,3.92885686947712,3.95250087509317,0.00209967827438088,0.0367996244930966,0.0333854661909869,"5627/2158/2817/6382/5046/10082/1672",7,"Up_res_DEq_MS_BD_vs_DM"
"GO:0005788","endoplasmic reticulum lumen","13/326","319/19944",0.0407523510971787,2.49314383522126,3.46552338609998,0.00239879223819412,0.0399398907659322,0.0362343880190376,"7018/3827/2158/11167/2326/197/6694/285362/590/23491/10618/1290/57544",13,"Up_res_DEq_MS_BD_vs_DM"
"GO:0072562","blood microparticle","8/326","145/19944",0.0551724137931034,3.37533319229956,3.70052711150028,0.00269044976226784,0.0426628462302472,0.0387047158782391,"7018/3273/5627/3827/2638/197/590/116285",8,"Up_res_DEq_MS_BD_vs_DM"
