"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031093","GO:0031093","platelet alpha granule lumen","3/22","67/19944",0.0447761194029851,40.5915875169607,10.7871077245071,5.33109892253037e-05,0.00277217143971579,0.0017396217536678,"3273/197/7042",3,"Upres_DEq_MS_DM_vs_D"
"GO:0031091","GO:0031091","platelet alpha granule","3/22","91/19944",0.032967032967033,29.8861138861139,9.17776347742974,0.000132896038110268,0.00345529699086697,0.00216830377969385,"3273/197/7042",3,"Upres_DEq_MS_DM_vs_D"
"GO:0034364","GO:0034364","high-density lipoprotein particle","2/22","27/19944",0.0740740740740741,67.1515151515151,11.4300948258278,0.000400948547338504,0.00381475332453977,0.00239387354373953,"341/6288",2,"Upres_DEq_MS_DM_vs_D"
"GO:0034774","GO:0034774","secretory granule lumen","4/22","327/19944",0.0122324159021407,11.0892410341952,6.1130253251288,0.000410934580746323,0.00381475332453977,0.00239387354373953,"3273/728358/197/7042",4,"Upres_DEq_MS_DM_vs_D"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","4/22","332/19944",0.0120481927710843,10.9222343921139,6.05839658265587,0.000435191943316841,0.00381475332453977,0.00239387354373953,"3273/728358/197/7042",4,"Upres_DEq_MS_DM_vs_D"
"GO:0031983","GO:0031983","vesicle lumen","4/22","333/19944",0.012012012012012,10.8894348894349,6.04761087806482,0.000440163845139204,0.00381475332453977,0.00239387354373953,"3273/728358/197/7042",4,"Upres_DEq_MS_DM_vs_D"
"GO:0072562","GO:0072562","blood microparticle","3/22","145/19944",0.0206896551724138,18.7561128526646,7.13099918912512,0.000523788332748602,0.00389099904327533,0.0024417200473995,"3273/590/197",3,"Upres_DEq_MS_DM_vs_D"
"GO:0034358","GO:0034358","plasma lipoprotein particle","2/22","37/19944",0.0540540540540541,49.002457002457,9.71184043247351,0.000755709780788577,0.00436632317788955,0.00274000037478899,"341/6288",2,"Upres_DEq_MS_DM_vs_D"
"GO:1990777","GO:1990777","lipoprotein particle","2/22","37/19944",0.0540540540540541,49.002457002457,9.71184043247351,0.000755709780788577,0.00436632317788955,0.00274000037478899,"341/6288",2,"Upres_DEq_MS_DM_vs_D"
"GO:0032994","GO:0032994","protein-lipid complex","2/22","40/19944",0.05,45.3272727272727,9.32547459088309,0.000883294380490298,0.00459313077854955,0.0028823290310736,"341/6288",2,"Upres_DEq_MS_DM_vs_D"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","3/22","319/19944",0.00940438871473354,8.52550584212026,4.50263064878691,0.00498264896152019,0.0235543405453682,0.0147810639049881,"590/11167/197",3,"Upres_DEq_MS_DM_vs_D"
