"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005765","GO:0005765","lysosomal membrane","29/303","462/19944",0.0627705627705628,4.13167030988813,8.45892188213805,1.19757992205125e-10,2.28138975150764e-08,1.97285534527391e-08,"3136/3134/968/567/10410/10581/684/7098/972/967/290/912/2896/215/1889/1185/83667/8140/2028/90809/79888/84888/151636/64114/5025/57665/55317/11182/4012",29,"Upres_DEq_MS_D_vs_C"
"GO:0098852","GO:0098852","lytic vacuole membrane","29/303","462/19944",0.0627705627705628,4.13167030988813,8.45892188213805,1.19757992205125e-10,2.28138975150764e-08,1.97285534527391e-08,"3136/3134/968/567/10410/10581/684/7098/972/967/290/912/2896/215/1889/1185/83667/8140/2028/90809/79888/84888/151636/64114/5025/57665/55317/11182/4012",29,"Upres_DEq_MS_D_vs_C"
"GO:0098553","GO:0098553","lumenal side of endoplasmic reticulum membrane","8/303","35/19944",0.228571428571429,15.0449787835926,10.3291633932635,4.26491576520902e-08,5.41644302181545e-06,4.68392503336991e-06,"3106/3136/3105/3107/3134/6892/972/84888",8,"Upres_DEq_MS_D_vs_C"
"GO:0042611","GO:0042611","MHC protein complex","7/303","25/19944",0.28,18.430099009901,10.8310573066011,6.62756056399369e-08,6.31275143720399e-06,5.45901699086848e-06,"3106/3136/3105/3107/3134/567/972",7,"Upres_DEq_MS_D_vs_C"
"GO:0098576","GO:0098576","lumenal side of membrane","8/303","46/19944",0.173913043478261,11.447266465777,8.81072478154041,4.08994361088343e-07,2.92138876987497e-05,2.52630110504452e-05,"3106/3136/3105/3107/3134/6892/972/84888",8,"Upres_DEq_MS_D_vs_C"
"GO:0030670","GO:0030670","phagocytic vesicle membrane","10/303","82/19944",0.121951219512195,8.02704660709973,7.91959608882055,4.60061223602357e-07,2.92138876987497e-05,2.52630110504452e-05,"3106/3136/3105/3107/3134/567/6890/6891/6892/90809",10,"Upres_DEq_MS_D_vs_C"
"GO:0045335","GO:0045335","phagocytic vesicle","12/303","148/19944",0.0810810810810811,5.33690125769334,6.57743296287725,2.81835833577006e-06,0.000153399217989771,0.000132653557758801,"3106/3136/3105/3107/3134/567/6890/6891/81622/6892/9830/90809",12,"Upres_DEq_MS_D_vs_C"
"GO:0009897","GO:0009897","external side of plasma membrane","19/303","393/19944",0.0483460559796438,3.18222356586804,5.42682465995412,1.00856521847611e-05,0.000480329185299246,0.000415369622872397,"3106/3136/3105/7057/3107/3134/567/972/3678/290/912/3673/4907/958/3675/7048/1889/8140/2028",19,"Upres_DEq_MS_D_vs_C"
"GO:0005840","GO:0005840","ribosome","14/303","243/19944",0.0576131687242798,3.79220144236646,5.43926864928072,2.25499742224359e-05,0.000954615575416455,0.000825513676213152,"4938/5610/6129/6137/6124/6193/6194/65993/6143/1981/87178/55052/29088/25873",14,"Upres_DEq_MS_D_vs_C"
"GO:0030684","GO:0030684","preribosome","9/303","104/19944",0.0865384615384615,5.6961157654227,5.96374947174935,2.97595488642851e-05,0.00113383881172926,0.000980498820475921,"10412/6193/6194/23212/117246/65095/10969/57050/51096",9,"Upres_DEq_MS_D_vs_C"
"GO:0012507","GO:0012507","ER to Golgi transport vesicle membrane","7/303","64/19944",0.109375,7.19925742574257,6.16958893417671,5.16048241894667e-05,0.00178740345601698,0.00154567559534001,"3106/3136/3105/3107/3134/567/972",7,"Upres_DEq_MS_D_vs_C"
"GO:0008305","GO:0008305","integrin complex","5/303","30/19944",0.166666666666667,10.970297029703,6.78772492078153,8.17068447218962e-05,0.00241179083115037,0.00208562102541806,"3678/3673/3655/3675/3679",5,"Upres_DEq_MS_D_vs_C"
"GO:0030687","GO:0030687","preribosome, large subunit precursor","4/303","16/19944",0.25,16.4554455445545,7.68147151483218,8.2292075603556e-05,0.00241179083115037,0.00208562102541806,"10412/23212/117246/10969",4,"Upres_DEq_MS_D_vs_C"
"GO:0030134","GO:0030134","COPII-coated ER to Golgi transport vesicle","8/303","95/19944",0.0842105263157895,5.54288692027097,5.51263419233083,0.000100127694724978,0.00272490369215832,0.00235638860518181,"3106/3136/3105/3107/3134/567/972/51124",8,"Upres_DEq_MS_D_vs_C"
"GO:0005770","GO:0005770","late endosome","15/303","326/19944",0.0460122699386503,3.0286096094272,4.58685144051337,0.000150014014470757,0.00381035596755723,0.00329504466872611,"968/567/10410/10581/684/972/967/2896/1185/54887/90809/284996/84888/55317/26509",15,"Upres_DEq_MS_D_vs_C"
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","6/303","57/19944",0.105263157894737,6.92860865033872,5.56724501891466,0.00022147339607421,0.00527383524401713,0.0045606034849492,"3371/3678/3673/3655/3675/3679",6,"Upres_DEq_MS_D_vs_C"
"GO:0030666","GO:0030666","endocytic vesicle membrane","11/303","208/19944",0.0528846153846154,3.48095963442498,4.46741767977782,0.000355301531944226,0.00796293433357353,0.00688602969031224,"3106/3136/3105/3107/3134/567/6890/6891/6892/972/90809",11,"Upres_DEq_MS_D_vs_C"
"GO:0031902","GO:0031902","late endosome membrane","10/303","182/19944",0.0549450549450549,3.61658143836362,4.40442545376218,0.000485238820340097,0.0102708883638654,0.00888185676996786,"968/567/10410/10581/967/1185/90809/84888/55317/26509",10,"Upres_DEq_MS_D_vs_C"
