"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","22/280","183/18662",0.120218579234973,8.01256830601093,11.765584516826,5.39929368761543e-14,3.14238892619218e-11,2.7110137778869e-11,"1109/5053/3992/9415/6319/2326/1562/9420/8424/1595/1576/2329/5264/51302/1548/1559/1549/1571/6718/2330/1557/1558",22,"Down_B1_vs_BD"
"GO:0004497","monooxygenase activity","17/280","109/18662",0.155963302752294,10.3949541284404,12.1409013940501,5.76777475024056e-13,1.67842245232e-10,1.4480150294025e-10,"1109/5053/2326/1562/9420/1595/1576/2329/51302/1548/1559/1549/1571/6718/2330/1557/1558",17,"Down_B1_vs_BD"
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","11/280","46/18662",0.239130434782609,15.9380434782609,12.5192854286927,5.9720481178549e-11,1.15857733486385e-08,9.99532263935716e-09,"1562/9420/1595/1576/51302/1548/1559/1549/1571/1557/1558",11,"Down_B1_vs_BD"
"GO:0005506","iron ion binding","17/280","154/18662",0.11038961038961,7.35746753246753,9.77720806066383,1.67426181522114e-10,2.43605094114675e-08,2.10163917331706e-08,"5053/6319/7018/1562/9420/8424/1595/1576/5264/51302/1548/1559/1549/1571/1036/1557/1558",17,"Down_B1_vs_BD"
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","8/280","35/18662",0.228571428571429,15.2342857142857,10.4027541526598,3.84964144680763e-08,4.48098264408408e-06,3.86585046342576e-06,"1109/2326/1595/1576/2329/1571/6718/2330",8,"Down_B1_vs_BD"
"GO:0008392","arachidonate epoxygenase activity","6/280","15/18662",0.4,26.66,12.2700939308422,4.83124350871128e-08,4.68630620344994e-06,4.04298798886892e-06,"1562/1548/1559/1549/1571/1558",6,"Down_B1_vs_BD"
"GO:0008391","arachidonate monooxygenase activity","6/280","17/18662",0.352941176470588,23.5235294117647,11.4664716871724,1.16480855209517e-07,9.6845511045627e-06,8.35509292254731e-06,"1562/1548/1559/1549/1571/1558",6,"Down_B1_vs_BD"
"GO:0020037","heme binding","13/280","142/18662",0.0915492957746479,6.10176056338028,7.53171442182668,2.29384176236893e-07,1.6687698821234e-05,1.43968752717103e-05,"3273/1562/9420/1595/1576/51302/1548/1559/1549/1571/1557/3043/1558",13,"Down_B1_vs_BD"
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","12/280","122/18662",0.0983606557377049,6.55573770491803,7.59830767867883,3.08145984126345e-07,1.99267736401703e-05,1.71913022723119e-05,"2194/1109/3248/126/130/125/80270/26227/6718/51171/157506/51478",12,"Down_B1_vs_BD"
"GO:0046906","tetrapyrrole binding","13/280","152/18662",0.0855263157894737,5.70032894736842,7.18119844947759,5.05268768295748e-07,2.94066423148125e-05,2.53698107870602e-05,"3273/1562/9420/1595/1576/51302/1548/1559/1549/1571/1557/3043/1558",13,"Down_B1_vs_BD"
