"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005201","extracellular matrix structural constituent","20/109","175/18662",0.114285714285714,19.5669724770642,18.9147467323977,1.59924232243947e-20,3.96612095964988e-18,3.23215290429872e-18,"7057/80781/3912/4969/4148/3339/3915/1311/3911/1291/2266/2243/7148/5118/2244/2335/2331/4811/3909/11117",20,"Down_B1_vs_D"
"GO:0005539","glycosaminoglycan binding","19/109","240/18662",0.0791666666666667,13.5542048929664,15.0037589212384,1.66523554066918e-16,2.06489207042979e-14,1.68276433583412e-14,"7057/7060/348/116519/3698/4057/5792/3273/11167/1311/4353/1755/7148/5118/8829/2335/57214/3990/5046",19,"Down_B1_vs_D"
"GO:0008201","heparin binding","16/109","170/18662",0.0941176470588235,16.1139773340529,15.1734702675293,3.15108149338189e-15,2.60489403452903e-13,2.12283384817306e-13,"7057/7060/348/116519/4057/5792/3273/11167/1311/4353/7148/5118/8829/2335/3990/5046",16,"Down_B1_vs_D"
"GO:1901681","sulfur compound binding","17/109","266/18662",0.0639097744360902,10.9420569773056,12.5178285427861,2.5084034587791e-13,1.55521014444305e-11,1.26740385285681e-11,"7057/7060/348/116519/4057/5792/3273/11167/1311/4353/1755/7148/5118/8829/2335/3990/5046",17,"Down_B1_vs_D"
"GO:0005178","integrin binding","12/109","152/18662",0.0789473684210526,13.5166586190246,11.8762853860064,8.74316702837687e-11,4.33661084607493e-09,3.53408014620707e-09,"7057/7060/3912/11093/3339/1311/3911/7148/2335/83706/11117/79987",12,"Down_B1_vs_D"
"GO:0005518","collagen binding","9/109","72/18662",0.125,21.401376146789,13.2941216825285,3.54326089080601e-10,1.46454783486648e-08,1.19351945795571e-08,"7057/3339/1311/1291/9902/7148/5118/2335/4811",9,"Down_B1_vs_D"
"GO:0043394","proteoglycan binding","7/109","37/18662",0.189189189189189,32.3912720059509,14.6499205208133,1.7004800673413e-09,6.02455795286633e-08,4.90965673578241e-08,"7057/348/5792/3273/1311/2335/4811",7,"Down_B1_vs_D"
"GO:0070325","lipoprotein particle receptor binding","5/109","31/18662",0.161290322580645,27.6146788990826,11.3673080133617,9.32987848304945e-07,2.89226232974533e-05,2.35702193255986e-05,"348/116519/1601/3339/5649",5,"Down_B1_vs_D"
"GO:0061134","peptidase regulator activity","10/109","237/18662",0.0421940928270042,7.22409321410599,7.39128836125729,1.28218260852541e-06,3.5331254101589e-05,2.87928726125004e-05,"7057/718/3698/727/4057/2719/3273/5118/7078/2335",10,"Down_B1_vs_D"
"GO:0016209","antioxidant activity","6/109","77/18662",0.0779220779220779,13.3411175979983,8.31748839704203,5.8519036402815e-06,0.000145127210278981,0.000118270052519374,"348/4353/3043/55937/3040/2878",6,"Down_B1_vs_D"
"GO:0030414","peptidase inhibitor activity","8/109","178/18662",0.0449438202247191,7.69487681682301,6.87904649648215,9.79522667361413e-06,0.000220837837732391,0.000179969714960183,"7057/718/3698/727/4057/2719/3273/7078",8,"Down_B1_vs_D"
"GO:0050750","low-density lipoprotein particle receptor binding","4/109","26/18662",0.153846153846154,26.3401552575865,9.91044664305375,1.49087648659268e-05,0.00030811447389582,0.000251094987215609,"348/116519/1601/3339",4,"Down_B1_vs_D"
"GO:0043236","laminin binding","4/109","28/18662",0.142857142857143,24.4587155963303,9.52146627105619,2.02356896957273e-05,0.000386034695733875,0.000314595337779729,"7057/4059/4811/59277",4,"Down_B1_vs_D"
"GO:0050840","extracellular matrix binding","5/109","66/18662",0.0757575757575758,12.9705309980539,7.46705323801758,4.17201641251049e-05,0.000739042907359002,0.000602276053535349,"7057/4059/7148/4811/59277",5,"Down_B1_vs_D"
"GO:0004866","endopeptidase inhibitor activity","7/109","170/18662",0.0411764705882353,7.04986508364814,6.0736790813145,6.28304596601867e-05,0.00103879693304842,0.000846557772263568,"7057/718/3698/727/4057/3273/7078",7,"Down_B1_vs_D"
"GO:0098631","cell adhesion mediator activity","5/109","85/18662",0.0588235294117647,10.0712358337831,6.42483181230406,0.000140243207965716,0.00217376972346859,0.00177149315325115,"4059/3911/1272/11117/79987",5,"Down_B1_vs_D"
"GO:0061135","endopeptidase regulator activity","7/109","199/18662",0.0351758793969849,6.02249781015168,5.45970016127483,0.000167877870745482,0.00241722554309441,0.00196989517943177,"7057/718/3698/727/4057/3273/7078",7,"Down_B1_vs_D"
"GO:0043395","heparan sulfate proteoglycan binding","3/109","19/18662",0.157894736842105,27.0333172380492,8.70205942029101,0.000175443789418142,0.00241722554309441,0.00196989517943177,"348/3273/1311",3,"Down_B1_vs_D"
"GO:0004601","peroxidase activity","4/109","50/18662",0.08,13.696880733945,6.89063353617495,0.000206203470111319,0.00269149792566353,0.00219341087320627,"4353/3043/3040/2878",4,"Down_B1_vs_D"
"GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","4/109","52/18662",0.0769230769230769,13.1700776287932,6.73589745245998,0.00024023611775054,0.0029789278601067,0.0024276491899002,"4353/3043/3040/2878",4,"Down_B1_vs_D"
"GO:0030021","extracellular matrix structural constituent conferring compression resistance","3/109","22/18662",0.136363636363636,23.3469557964971,8.03859945788718,0.000275292983703747,0.00325107904564425,0.00264943623414133,"4969/3339/2331",3,"Down_B1_vs_D"
"GO:0071813","lipoprotein particle binding","3/109","32/18662",0.09375,16.0510321100917,6.53143301401457,0.000849806778876739,0.00916313396354049,0.00746740968166288,"7057/348/3990",3,"Down_B1_vs_D"
"GO:0071814","protein-lipid complex binding","3/109","32/18662",0.09375,16.0510321100917,6.53143301401457,0.000849806778876739,0.00916313396354049,0.00746740968166288,"7057/348/3990",3,"Down_B1_vs_D"
"GO:0019838","growth factor binding","5/109","136/18662",0.0367647058823529,6.29452239611441,4.74984072915415,0.00121652734978538,0.012570782614449,0.010244440840298,"7057/1291/8829/3483/5046",5,"Down_B1_vs_D"
"GO:0004857","enzyme inhibitor activity","9/109","451/18662",0.0199556541019956,3.41662767753616,3.98203205747611,0.00131155341885699,0.0127844452781476,0.0104185632147892,"7057/718/3698/727/4057/2719/3273/1026/7078",9,"Down_B1_vs_D"
"GO:0030246","carbohydrate binding","7/109","282/18662",0.024822695035461,4.24991866744746,4.21500337012985,0.00134030474690257,0.0127844452781476,0.0104185632147892,"6320/10584/9902/1272/78989/57214/3122",7,"Down_B1_vs_D"
"GO:0030023","extracellular matrix constituent conferring elasticity","2/109","10/18662",0.2,34.2422018348624,8.05936289987284,0.00147530911589662,0.0135509874349023,0.011043249522501,"3915/11117",2,"Down_B1_vs_D"
"GO:0016725","oxidoreductase activity, acting on CH or CH2 groups","2/109","12/18662",0.166666666666667,28.5351681957187,7.31328623690753,0.00214733671849221,0.0183634312477954,0.0149651052613613,"50484/6240",2,"Down_B1_vs_D"
"GO:0097493","structural molecule activity conferring elasticity","2/109","12/18662",0.166666666666667,28.5351681957187,7.31328623690753,0.00214733671849221,0.0183634312477954,0.0149651052613613,"3915/11117",2,"Down_B1_vs_D"
"GO:0005344","oxygen carrier activity","2/109","14/18662",0.142857142857143,24.4587155963303,6.73016560528401,0.00293823323878351,0.0242893947739437,0.0197944133981205,"3043/3040",2,"Down_B1_vs_D"
"GO:0030169","low-density lipoprotein particle binding","2/109","17/18662",0.117647058823529,20.1424716675661,6.05222287861038,0.00434132532964798,0.0347306026371839,0.0283033773613722,"7057/3990",2,"Down_B1_vs_D"
"GO:0034185","apolipoprotein binding","2/109","18/18662",0.111111111111111,19.0234454638124,5.86378658124649,0.00486544449798062,0.0377071948593498,0.0307291231451408,"3931/3990",2,"Down_B1_vs_D"
"GO:0038024","cargo receptor activity","3/109","65/18662",0.0461538461538462,7.90204657727594,4.2725460434848,0.00651055215101898,0.0489277858622032,0.0398732380540875,"113419/1601/1755",3,"Down_B1_vs_D"
