"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005201","extracellular matrix structural constituent","26/353","175/18662",0.148571428571429,7.85450424929178,12.649820138013,3.58555486780099e-16,2.41666398089787e-13,2.06075048191509e-13,"4240/3491/2331/4969/7057/1303/3912/5118/10631/1291/7045/80144/7059/4811/4237/1306/1311/1293/22795/3918/3914/4148/7148/3909/1292/4239",26,"Down_BDM_vs_B2"
"GO:0005539","glycosaminoglycan binding","25/353","240/18662",0.104166666666667,5.5069641170916,9.75761838391113,5.05904776457661e-12,1.70489909666232e-09,1.45381056813623e-09,"27329/3491/338/8828/7060/3698/7057/8829/5118/10631/11167/3098/960/55959/7059/1755/1490/1311/3918/7148/5270/26279/566/2247/3512",25,"Down_BDM_vs_B2"
"GO:0005178","integrin binding","20/353","152/18662",0.131578947368421,6.95616520053675,10.237827700971,1.00320808246452e-11,2.25387415860362e-09,1.92193548430044e-09,"27329/3675/4240/3491/7060/3673/7057/3912/8754/7045/79987/11093/977/1490/83706/1311/7148/8482/2247/7106",20,"Down_BDM_vs_B2"
"GO:0005518","collagen binding","14/353","72/18662",0.194444444444444,10.2796663519043,10.9542188095295,6.43984430087314e-11,1.08511376469712e-08,9.25303944283351e-09,"3675/3673/7057/9902/8754/5118/1291/7045/960/4811/1311/22795/7148/1292",14,"Down_BDM_vs_B2"
"GO:0008201","heparin binding","19/353","170/18662",0.111764705882353,5.90864855857357,8.92723473558833,5.79562530114963e-10,7.81250290594971e-08,6.66191876721621e-08,"27329/3491/338/8828/7060/7057/8829/5118/10631/11167/7059/1490/1311/3918/7148/5270/26279/566/2247",19,"Down_BDM_vs_B2"
"GO:1901681","sulfur compound binding","22/353","266/18662",0.0827067669172932,4.37244669748024,7.69213165655055,7.86209356961621e-09,8.83175177653555e-07,7.53105805089553e-07,"27329/3491/2950/338/8828/7060/7057/8829/5118/10631/11167/7059/1755/1490/1311/3918/7148/5270/26279/24140/566/2247",22,"Down_BDM_vs_B2"
"GO:0055102","lipase inhibitor activity","6/353","20/18662",0.3,15.8600566572238,9.23233826061963,1.36004989833317e-06,0.000130953375925222,0.000111667254810513,"27329/306/301/51129/336/653145",6,"Down_BDM_vs_B2"
"GO:0017116","single-stranded DNA helicase activity","6/353","23/18662",0.260869565217391,13.7913536149772,8.52298287329699,3.37613691858581e-06,0.000284439535390854,0.000242548783887875,"4175/4171/4174/4172/4173/4176",6,"Down_BDM_vs_B2"
"GO:0050840","extracellular matrix binding","9/353","66/18662",0.136363636363636,7.20911666237445,7.01640283947534,4.00967093791545e-06,0.000300279801350557,0.000256056179193197,"3675/3491/3673/7057/8754/7045/59277/4811/7148",9,"Down_BDM_vs_B2"
"GO:0016887","ATP hydrolysis activity","22/353","400/18662",0.055,2.90767705382436,5.35529228597287,8.43336765000226e-06,0.000568408979610153,0.000484696709147499,"493/4175/10592/55661/4171/5205/492/57062/4174/4172/10257/3800/4173/8886/4176/10847/9429/64794/10051/3323/317781/21",22,"Down_BDM_vs_B2"
"GO:0043236","laminin binding","6/353","28/18662",0.214285714285714,11.328611898017,7.59434680467503,1.16324491917273e-05,0.000712751886838565,0.000607781555854844,"3675/3673/7057/8754/59277/4811",6,"Down_BDM_vs_B2"
"GO:0070325","lipoprotein particle receptor binding","6/353","31/18662",0.193548387096774,10.2322946175637,7.14323463776703,2.16711109771493e-05,0.00121719406654989,0.00103793215732663,"338/1601/5649/336/255738/22943",6,"Down_BDM_vs_B2"
"GO:0004386","helicase activity","12/353","148/18662",0.0810810810810811,4.28650179924967,5.57361670493996,2.53611601507496e-05,0.00131487861089271,0.00112123023824367,"4175/55661/4171/57062/4174/4172/4173/8886/4176/10847/64794/317781",12,"Down_BDM_vs_B2"
"GO:0019838","growth factor binding","11/353","136/18662",0.0808823529411765,4.27599566738877,5.32407837259499,5.62206407667938e-05,0.00261128820221277,0.00222671147650816,"3491/1969/8828/7057/3655/8829/1291/3483/1490/6272/91",11,"Down_BDM_vs_B2"
