"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","13/260","46/18662",0.282608695652174,20.2847826086957,15.5658232779805,3.73145192463001e-14,1.15982389870118e-11,9.42342411192072e-12,"1558/1559/1571/1548/1582/66002/8529/1579/1557/1555/1549/11283/51302",13,"Down_BM2_vs_BDM"
"GO:0005506","iron ion binding","20/260","154/18662",0.12987012987013,9.32167832167832,12.3257443626723,4.40997680114516e-14,1.15982389870118e-11,9.42342411192072e-12,"1558/7498/316/1559/7018/1571/1548/1582/247/23498/66002/8529/1579/1557/1555/1549/11283/51302/79676/1036",20,"Down_BM2_vs_BDM"
"GO:0008392","arachidonate epoxygenase activity","9/260","15/18662",0.6,43.0661538461538,19.3729415060336,8.01373597788436e-14,1.40507504145572e-11,1.14160589720037e-11,"1558/1559/1571/1548/66002/8529/1579/1555/1549",9,"Down_BM2_vs_BDM"
"GO:0016829","lyase activity","22/260","204/18662",0.107843137254902,7.74064856711916,11.5065748085752,1.13294931952785e-13,1.48982835517912e-11,1.21046690454818e-11,"48/26007/230/10841/875/210/1652/2194/1644/229/1491/7167/130013/6470/5105/131669/85007/55258/2027/87769/6036/4913",22,"Down_BM2_vs_BDM"
"GO:0008391","arachidonate monooxygenase activity","9/260","17/18662",0.529411764705882,37.9995475113122,18.141003075104,3.79872419031748e-13,3.99625784821399e-11,3.24690951846084e-11,"1558/1559/1571/1548/66002/8529/1579/1555/1549",9,"Down_BM2_vs_BDM"
"GO:0004497","monooxygenase activity","16/260","109/18662",0.146788990825688,10.5360621030346,11.8685281622042,2.38499759990637e-12,2.09084789591792e-10,1.69878776414384e-10,"1558/6718/1559/1571/1109/1548/1582/66002/8529/1579/1557/1555/2326/1549/11283/51302",16,"Down_BM2_vs_BDM"
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","17/260","132/18662",0.128787878787879,9.24399766899767,11.2981863465748,4.28242584940909e-12,3.21793713827026e-10,2.61453367648134e-10,"6718/3248/26227/2819/126/2194/130/6652/1109/3939/125/127/80270/8529/124/8630/51171",17,"Down_BM2_vs_BDM"
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","16/260","122/18662",0.131147540983607,9.41336696090795,11.0819579871111,1.40108195705984e-11,9.21211386766844e-10,7.48472729692493e-10,"6718/3248/26227/2819/126/2194/130/6652/1109/3939/125/127/80270/124/8630/51171",16,"Down_BM2_vs_BDM"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","18/260","183/18662",0.0983606557377049,7.06002522068096,9.79224703144694,9.75450255837997e-11,5.70096482856429e-09,4.63196261836523e-09,"1558/6718/1559/1571/1109/1548/1582/254295/66002/8529/1579/1557/1555/2326/1549/11283/51302/79676",18,"Down_BM2_vs_BDM"
"GO:0020037","heme binding","16/260","142/18662",0.112676056338028,8.0875406283857,10.0772227791673,1.44211836755456e-10,7.58554261333696e-09,6.16315849712789e-09,"1558/875/1559/1571/1548/1582/66002/8529/1579/1557/1555/3043/1549/11283/51302/6392",16,"Down_BM2_vs_BDM"
"GO:0046906","tetrapyrrole binding","16/260","152/18662",0.105263157894737,7.55546558704453,9.64592195511912,4.01822597995776e-10,1.92144260496162e-08,1.56114808407928e-08,"1558/875/1559/1571/1548/1582/66002/8529/1579/1557/1555/3043/1549/11283/51302/6392",16,"Down_BM2_vs_BDM"
"GO:0019842","vitamin binding","15/260","150/18662",0.1,7.17769230769231,9.02956543488648,2.93711426105497e-09,1.28743508442909e-07,1.04602490349852e-07,"10841/27232/875/2638/6898/32/2194/1644/1491/5836/127/6470/85007/55258/79676",15,"Down_BM2_vs_BDM"
"GO:0004022","alcohol dehydrogenase (NAD+) activity","7/260","23/18662",0.304347826086957,21.8451505016722,11.8899291339453,1.90460228890114e-08,7.70631387663077e-07,6.26128363800699e-07,"126/130/6652/125/127/124/8630",7,"Down_BM2_vs_BDM"
"GO:0018455","alcohol dehydrogenase [NAD(P)+] activity","9/260","52/18662",0.173076923076923,12.4229289940828,9.80454805984425,3.75620381872423e-08,1.41125943474925e-06,1.14663063940003e-06,"6718/126/130/6652/1109/125/127/124/8630",9,"Down_BM2_vs_BDM"
"GO:0048029","monosaccharide binding","10/260","73/18662",0.136986301369863,9.83245521601686,8.98744980092534,6.66179423969066e-08,2.33606918005153e-06,1.89802699039608e-06,"5313/3795/2203/229/5836/2821/5211/2645/282969/79676",10,"Down_BM2_vs_BDM"
"GO:0004745","all-trans-retinol dehydrogenase (NAD+) activity","6/260","20/18662",0.3,21.5330769230769,10.9205471279166,2.27149622310488e-07,7.4675438334573e-06,6.06728596434594e-06,"126/130/125/127/124/8630",6,"Down_BM2_vs_BDM"
"GO:0030170","pyridoxal phosphate binding","8/260","56/18662",0.142857142857143,10.2538461538462,8.24349535319534,1.01577130547573e-06,3.14291592164842e-05,2.5535798763043e-05,"875/6898/1644/1491/5836/6470/85007/55258",8,"Down_BM2_vs_BDM"
"GO:0070279","vitamin B6 binding","8/260","57/18662",0.140350877192982,10.0739541160594,8.1553158708572,1.16749867295608e-06,3.41169056652721e-05,2.77195591356823e-05,"875/6898/1644/1491/5836/6470/85007/55258",8,"Down_BM2_vs_BDM"
"GO:0008395","steroid hydroxylase activity","6/260","27/18662",0.222222222222222,15.9504273504274,9.24043481447333,1.59835486993379e-06,4.42491927150091e-05,3.59519156339678e-05,"1558/1559/1582/1557/1555/51302",6,"Down_BM2_vs_BDM"
"GO:0031406","carboxylic acid binding","13/260","186/18662",0.0698924731182796,5.01666666666667,6.54394898090285,2.17023449745604e-06,5.70771672830937e-05,4.63744845245869e-05,"10841/27232/32/1109/5836/6470/5105/2168/55258/2938/4706/79676/341",13,"Down_BM2_vs_BDM"
"GO:0043177","organic acid binding","13/260","188/18662",0.0691489361702128,4.96329787234043,6.49197421719935,2.44464233476346e-06,6.1232469908837e-05,4.9750615935537e-05,"10841/27232/32/1109/5836/6470/5105/2168/55258/2938/4706/79676/341",13,"Down_BM2_vs_BDM"
"GO:0019825","oxygen binding","6/260","33/18662",0.181818181818182,13.0503496503497,8.23537660507902,5.57568494252475e-06,0.000133309558171274,0.000108312348644261,"875/1571/1582/1557/3043/1549",6,"Down_BM2_vs_BDM"
"GO:0016713","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen","4/260","10/18662",0.4,28.7107692307692,10.4185551623521,7.23805806036479e-06,0.000161387831969345,0.000131125594916057,"66002/8529/1579/11283",4,"Down_BM2_vs_BDM"
"GO:0016830","carbon-carbon lyase activity","7/260","52/18662",0.134615384615385,9.66227810650888,7.435021442136,7.363703359818e-06,0.000161387831969345,0.000131125594916057,"230/1652/1644/229/130013/6470/5105",7,"Down_BM2_vs_BDM"
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","6/260","35/18662",0.171428571428571,12.3046153846154,7.95682805412335,7.98273318124076e-06,0.000167956706133305,0.000136462723014052,"6718/1571/1109/8529/1555/2326",6,"Down_BM2_vs_BDM"
"GO:0016229","steroid dehydrogenase activity","6/260","36/18662",0.166666666666667,11.9628205128205,7.82591942372079,9.46816351746433e-06,0.000191548231161009,0.000155630542027956,"6718/1109/80270/8630/6716/51171",6,"Down_BM2_vs_BDM"
"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","10/260","127/18662",0.078740157480315,5.65172622652938,6.25232189689904,1.16092488400407e-05,0.000226165366291162,0.000183756531347232,"51733/4522/1807/125061/55191/383/10013/91703/27165/443",10,"Down_BM2_vs_BDM"
"GO:0016835","carbon-oxygen lyase activity","8/260","80/18662",0.1,7.17769230769231,6.58182993356758,1.55420243872614e-05,0.000291968029560697,0.000237220372226622,"48/875/210/2194/7167/131669/2027/4913",8,"Down_BM2_vs_BDM"
"GO:0016811","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","7/260","67/18662",0.104477611940299,7.49908151549943,6.3345083277734,4.00770489306938e-05,0.000726914749570515,0.00059060914213654,"51733/125061/55191/10013/91703/27165/443",7,"Down_BM2_vs_BDM"
"GO:0030246","carbohydrate binding","14/260","282/18662",0.049645390070922,3.56339334424441,5.15571224597123,4.41668731879254e-05,0.000774392509894959,0.00062918422857185,"5313/178/3795/2203/229/6652/5836/2821/5211/2645/648791/282969/79676/5507",14,"Down_BM2_vs_BDM"
"GO:0051287","NAD binding","6/260","53/18662",0.113207547169811,8.12568940493469,6.17482881967717,9.15544429388814e-05,0.00155347216083392,0.00126217670061752,"3248/26227/2819/316/6652/127",6,"Down_BM2_vs_BDM"
"GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","5/260","34/18662",0.147058823529412,10.5554298642534,6.62869734460719,0.00010098814787985,0.00165999268077504,0.00134872329076379,"1806/6718/2194/145482/6716",5,"Down_BM2_vs_BDM"
"GO:0033293","monocarboxylic acid binding","7/260","79/18662",0.0886075949367089,6.35998052580331,5.67466804299689,0.000115930225216539,0.00184785752920908,0.00150136113039601,"32/1109/5836/2168/2938/4706/341",7,"Down_BM2_vs_BDM"
"GO:0170055","lipid transmembrane transporter activity","6/260","56/18662",0.107142857142857,7.69038461538462,5.95991694384177,0.000125049039813821,0.00193458220417853,0.00157182384409943,"1109/10998/6580/11309/10864/29015",6,"Down_BM2_vs_BDM"
"GO:0019200","carbohydrate kinase activity","4/260","21/18662",0.19047619047619,13.6717948717949,6.9061307351841,0.0001828045780703,0.00268943756044315,0.00218513437970766,"3795/5211/5207/2645",4,"Down_BM2_vs_BDM"
"GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","6/260","60/18662",0.1,7.17769230769231,5.69696689798398,0.000184067969916261,0.00268943756044315,0.00218513437970766,"1806/6718/2194/145482/6716/6392",6,"Down_BM2_vs_BDM"
"GO:0016836","hydro-lyase activity","6/260","62/18662",0.0967741935483871,6.94615384615385,5.57438719657165,0.000220837907064726,0.0030590108887403,0.00248540808650903,"48/875/210/2194/131669/2027",6,"Down_BM2_vs_BDM"
"GO:0004029","aldehyde dehydrogenase (NAD+) activity","4/260","22/18662",0.181818181818182,13.0503496503497,6.72217248874657,0.000220993182076295,0.0030590108887403,0.00248540808650903,"10840/64577/1109/127",4,"Down_BM2_vs_BDM"
