"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0003725","double-stranded RNA binding","12/217","77/18662",0.155844155844156,13.4025974025974,11.8286374247781,8.5221899848502e-11,4.1247399526675e-08,3.57931979363708e-08,"23586/55601/8638/64135/5610/7098/4938/4939/4940/103/79132/91351",12,"Down_D_vs_B1"
"GO:0042605","peptide antigen binding","9/217","45/18662",0.2,17.2,11.8011523119526,2.02913764418108e-09,4.91051309891822e-07,4.26118905278028e-07,"6891/3105/6890/3106/3134/567/6892/3107/3136",9,"Down_D_vs_B1"
"GO:0016779","nucleotidyltransferase activity","10/217","147/18662",0.0680272108843537,5.85034013605442,6.40364131392463,8.72126512282374e-06,0.000972761873097314,0.000844132203927421,"8638/4938/84875/54625/4939/4940/64761/83666/87178/25",10,"Down_D_vs_B1"
"GO:0140098","catalytic activity, acting on RNA","17/217","420/18662",0.0404761904761905,3.48095238095238,5.57782444983152,8.95287403758401e-06,0.000972761873097314,0.000844132203927421,"23586/55601/64135/3669/162394/51251/85441/23070/25939/103/117246/9683/10940/87178/79132/91351/10775",17,"Down_D_vs_B1"
"GO:0003727","single-stranded RNA binding","8/217","90/18662",0.0888888888888889,7.64444444444444,6.85343953216434,1.00491929038979e-05,0.000972761873097314,0.000844132203927421,"23586/55601/64135/24138/87178/79132/91351/7555",8,"Down_D_vs_B1"
"GO:0042277","peptide binding","12/217","234/18662",0.0512820512820513,4.41025641025641,5.69395269107816,1.98399473722468e-05,0.00160042242136124,0.00138879631605728,"6891/3105/6890/3106/3134/972/567/6892/3107/43/3136/1396",12,"Down_D_vs_B1"
"GO:0004518","nuclease activity","11/217","218/18662",0.0504587155963303,4.3394495412844,5.37939666407145,5.11028745656884e-05,0.00353339875568474,0.0030661724739413,"3669/162394/5359/11277/85441/25939/9683/10940/87178/3159/10775",11,"Down_D_vs_B1"
"GO:0004540","RNA nuclease activity","8/217","123/18662",0.0650406504065041,5.59349593495935,5.54384058444955,9.62375684048654e-05,0.00582237288849436,0.00505247234125543,"3669/162394/85441/25939/9683/10940/87178/10775",8,"Down_D_vs_B1"
"GO:0003950","NAD+ poly-ADP-ribosyltransferase activity","4/217","23/18662",0.173913043478261,14.9565217391304,7.26420018423104,0.000132370230925906,0.00640671917681387,0.00555954969888807,"84875/54625/64761/83666",4,"Down_D_vs_B1"
"GO:1990404","NAD+-protein mono-ADP-ribosyltransferase activity","4/217","23/18662",0.173913043478261,14.9565217391304,7.26420018423104,0.000132370230925906,0.00640671917681387,0.00555954969888807,"84875/54625/64761/83666",4,"Down_D_vs_B1"
"GO:0003823","antigen binding","9/217","178/18662",0.050561797752809,4.34831460674157,4.86851230762802,0.000243110110004363,0.0102396699540285,0.00888566400969416,"6891/3105/6890/3106/3134/567/6892/3107/3136",9,"Down_D_vs_B1"
"GO:0016763","pentosyltransferase activity","5/217","49/18662",0.102040816326531,8.77551020408163,5.91121479546541,0.000255286691289332,0.0102396699540285,0.00888566400969416,"84875/54625/1890/64761/83666",5,"Down_D_vs_B1"
"GO:0003724","RNA helicase activity","6/217","77/18662",0.0779220779220779,6.7012987012987,5.43745741306554,0.000275032457442914,0.0102396699540285,0.00888566400969416,"23586/55601/64135/85441/79132/91351",6,"Down_D_vs_B1"
"GO:0008186","ATP-dependent activity, acting on RNA","6/217","79/18662",0.0759493670886076,6.53164556962025,5.34401872814755,0.000316295978164443,0.0109348038165422,0.00948887934493328,"23586/55601/64135/85441/79132/91351",6,"Down_D_vs_B1"
"GO:0004386","helicase activity","8/217","148/18662",0.0540540540540541,4.64864864864865,4.83360064641666,0.000343691658549595,0.0110897841825336,0.00962336643938866,"23586/55601/64135/85441/57169/89797/79132/91351",8,"Down_D_vs_B1"
"GO:0070566","adenylyltransferase activity","4/217","30/18662",0.133333333333333,11.4666666666667,6.22296382723483,0.000384374440521617,0.0116273268257789,0.0100898290636924,"4938/4939/4940/25",4,"Down_D_vs_B1"
"GO:0019787","ubiquitin-like protein transferase activity","15/217","484/18662",0.0309917355371901,2.66528925619835,4.02621817530609,0.000564289310428107,0.0160656486027767,0.0139412653164591,"9246/7318/6737/10616/5371/55008/57674/26270/151636/284996/10475/51191/197370/10206/286053",15,"Down_D_vs_B1"
"GO:0120545","nucleic acid conformation isomerase activity","8/217","161/18662",0.0496894409937888,4.27329192546584,4.52436953309077,0.000602317817096707,0.0161956568597114,0.0140540823989232,"23586/55601/64135/85441/57169/89797/79132/91351",8,"Down_D_vs_B1"
"GO:0061659","ubiquitin-like protein ligase activity","13/217","398/18662",0.0326633165829146,2.80904522613065,3.95686291757556,0.000812384695648863,0.0191241008597829,0.0165952941345224,"6737/10616/5371/55008/57674/26270/151636/284996/10475/51191/197370/10206/286053",13,"Down_D_vs_B1"
"GO:0016887","ATP hydrolysis activity","13/217","400/18662",0.0325,2.795,3.93621011415946,0.000850547101912134,0.0191241008597829,0.0165952941345224,"23586/55601/64135/6891/6890/85441/57674/89797/23137/79132/91351/79677/215",13,"Down_D_vs_B1"
"GO:0000217","DNA secondary structure binding","4/217","37/18662",0.108108108108108,9.2972972972973,5.47958119167617,0.000869277311808315,0.0191241008597829,0.0165952941345224,"23137/3159/79677/25",4,"Down_D_vs_B1"
"GO:0023023","MHC protein complex binding","4/217","37/18662",0.108108108108108,9.2972972972973,5.47958119167617,0.000869277311808315,0.0191241008597829,0.0165952941345224,"972/567/6892/55080",4,"Down_D_vs_B1"
"GO:0042287","MHC protein binding","4/217","41/18662",0.0975609756097561,8.39024390243902,5.13815491021045,0.00128545364510765,0.026407075182363,0.0229152305301497,"6891/6890/972/6892",4,"Down_D_vs_B1"
"GO:0070003","threonine-type peptidase activity","3/217","19/18662",0.157894736842105,13.5789473684211,5.9500579328414,0.00130944174457998,0.026407075182363,0.0229152305301497,"5699/5698/5696",3,"Down_D_vs_B1"
"GO:0005525","GTP binding","12/217","379/18662",0.0316622691292876,2.72295514511873,3.67559659252907,0.00166628644439476,0.0322593055634826,0.027993612265832,"4599/23586/115361/2633/25939/2635/30846/2634/54676/9567/2643/1759",12,"Down_D_vs_B1"
"GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","3/217","23/18662",0.130434782608696,11.2173913043478,5.31802817225637,0.00231269065012725,0.0430516259485227,0.0373588489635941,"6999/247/1036",3,"Down_D_vs_B1"
"GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","3/217","24/18662",0.125,10.75,5.18404277586193,0.00262058886449946,0.0445739475037012,0.0386798718007325,"6999/247/1036",3,"Down_D_vs_B1"
"GO:0004842","ubiquitin-protein transferase activity","13/217","455/18662",0.0285714285714286,2.45714285714286,3.41308125444733,0.00266613243768511,0.0445739475037012,0.0386798718007325,"9246/7318/6737/10616/55008/57674/26270/151636/284996/10475/51191/197370/10206",13,"Down_D_vs_B1"
"GO:0019001","guanyl nucleotide binding","12/217","403/18662",0.0297766749379653,2.56079404466501,3.43571888161688,0.0027628479857666,0.0445739475037012,0.0386798718007325,"4599/23586/115361/2633/25939/2635/30846/2634/54676/9567/2643/1759",12,"Down_D_vs_B1"
"GO:0032561","guanyl ribonucleotide binding","12/217","403/18662",0.0297766749379653,2.56079404466501,3.43571888161688,0.0027628479857666,0.0445739475037012,0.0386798718007325,"4599/23586/115361/2633/25939/2635/30846/2634/54676/9567/2643/1759",12,"Down_D_vs_B1"
