"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0003725","GO:0003725","double-stranded RNA binding","12/127","77/18662",0.155844155844156,22.9005010737294,15.9401040892156,1.46853004379887e-13,4.8314638440983e-11,3.97276022375064e-11,"8638/4939/4938/4940/64135/23586/55601/91351/79132/5610/103/7098",12,"Downres_DEq_MS_DM_vs_D"
"GO:0042605","GO:0042605","peptide antigen binding","9/127","45/18662",0.2,29.3889763779528,15.7824405719372,1.6933959888581e-11,2.78563640167158e-09,2.29054089019228e-09,"3106/3134/6891/6890/3136/3105/567/3107/6892",9,"Downres_DEq_MS_DM_vs_D"
"GO:0016779","GO:0016779","nucleotidyltransferase activity","9/127","147/18662",0.0612244897959184,8.99662542182227,8.05705974722446,7.34860827125121e-07,8.05897373747216e-05,6.62663973933881e-05,"8638/4939/4938/4940/84875/54625/64761/83666/87178",9,"Downres_DEq_MS_DM_vs_D"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","14/127","420/18662",0.0333333333333333,4.89816272965879,6.68838718531957,1.05810675138485e-06,8.70292803014038e-05,7.15614302910279e-05,"3669/64135/23586/55601/85441/91351/79132/25939/162394/51251/23070/103/87178/80149",14,"Downres_DEq_MS_DM_vs_D"
"GO:0003727","GO:0003727","single-stranded RNA binding","7/127","90/18662",0.0777777777777778,11.4290463692038,8.20936446914823,2.67704050272711e-06,0.000176149265079444,0.000144841980884393,"64135/23586/55601/91351/79132/24138/87178",7,"Downres_DEq_MS_DM_vs_D"
"GO:0003823","GO:0003823","antigen binding","9/127","178/18662",0.050561797752809,7.42979739892064,7.13480867366867,3.60267651267375e-06,0.000197546762111611,0.000162436467325816,"3106/3134/6891/6890/3136/3105/567/3107/6892",9,"Downres_DEq_MS_DM_vs_D"
"GO:0042277","GO:0042277","peptide binding","10/127","234/18662",0.0427350427350427,6.27969580725486,6.72745419954998,4.60425966489024e-06,0.000216400204249841,0.000177939057725833,"3106/3134/6891/6890/3136/3105/567/3107/43/6892",10,"Downres_DEq_MS_DM_vs_D"
"GO:0003724","GO:0003724","RNA helicase activity","6/127","77/18662",0.0779220779220779,11.4502505368647,7.60613105404341,1.4087464921713e-05,0.000490051434392775,0.000402953827032293,"64135/23586/55601/85441/91351/79132",6,"Downres_DEq_MS_DM_vs_D"
"GO:0008186","GO:0008186","ATP-dependent activity, acting on RNA","6/127","79/18662",0.0759493670886076,11.1603707764378,7.49097263589804,1.63336393437099e-05,0.000490051434392775,0.000402953827032293,"64135/23586/55601/85441/91351/79132",6,"Downres_DEq_MS_DM_vs_D"
"GO:0003950","GO:0003950","NAD+ poly-ADP-ribosyltransferase activity","4/127","23/18662",0.173913043478261,25.5556316330024,9.75386511157653,1.63846984143481e-05,0.000490051434392775,0.000402953827032293,"84875/54625/64761/83666",4,"Downres_DEq_MS_DM_vs_D"
"GO:1990404","GO:1990404","NAD+-protein mono-ADP-ribosyltransferase activity","4/127","23/18662",0.173913043478261,25.5556316330024,9.75386511157653,1.63846984143481e-05,0.000490051434392775,0.000402953827032293,"84875/54625/64761/83666",4,"Downres_DEq_MS_DM_vs_D"
