"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005178","integrin binding","23/659","152/18662",0.151315789473684,4.28506109735644,7.78036118938121,3.86557349080266e-09,3.13884567453176e-06,2.8157651111952e-06,"9636/3678/27329/3675/4240/3371/102/7060/3491/11093/7057/3912/6868/1311/6376/8751/7148/7106/7045/2192/79987/8482/3684",23,"Up_B1_vs_BD"
"GO:0003725","double-stranded RNA binding","16/659","77/18662",0.207792207792208,5.88439784797903,8.21699143121232,8.98694501687565e-09,3.64869967685151e-06,3.27313997456734e-06,"23586/55601/64135/8638/7098/5610/4938/4939/4940/7431/103/6520/79132/79693/91351/9188",16,"Up_B1_vs_BD"
"GO:0005518","collagen binding","14/659","72/18662",0.194444444444444,5.50640701399427,7.32984330452533,1.83737401492442e-07,4.97315900039543e-05,4.46127304676385e-05,"43/3675/57211/9902/7057/1520/1311/1291/7148/4811/5118/7045/22795/4318",14,"Up_B1_vs_BD"
"GO:0043236","laminin binding","9/659","28/18662",0.321428571428571,9.10242792109256,8.20878477937885,3.0577199901924e-07,5.4042579888079e-05,4.84799912918728e-05,"43/3675/3958/57211/7057/59277/1520/4811/79147",9,"Up_B1_vs_BD"
"GO:0042605","peptide antigen binding","11/659","45/18662",0.244444444444444,6.92234024616422,7.60996194589161,3.32774506699994e-07,5.4042579888079e-05,4.84799912918728e-05,"6891/6890/3105/3106/3134/567/3107/6892/3133/3136/8140",11,"Up_B1_vs_BD"
"GO:0005201","extracellular matrix structural constituent","21/659","175/18662",0.12,3.39823975720789,6.09840306472308,1.01856852558034e-06,0.000120537714582894,0.00010813079918507,"2331/4240/3371/4969/3491/7057/3912/1311/7059/4237/1291/1293/7148/4811/10631/5118/7045/2192/22795/1303/79875",21,"Up_B1_vs_BD"
"GO:0120545","nucleic acid conformation isomerase activity","20/659","161/18662",0.124223602484472,3.51784653955268,6.13878348619268,1.06028345693883e-06,0.000120537714582894,0.00010813079918507,"23586/55601/64135/57169/85441/2332/79132/89797/57062/91351/55661/2071/79039/9188/4171/4174/4173/4175/79009/4172",20,"Up_B1_vs_BD"
"GO:0004386","helicase activity","19/659","148/18662",0.128378378378378,3.63550424476069,6.15860245845785,1.18756369047186e-06,0.000120537714582894,0.00010813079918507,"23586/55601/64135/57169/85441/79132/89797/57062/91351/55661/2071/79039/9188/4171/4174/4173/4175/79009/4172",19,"Up_B1_vs_BD"
"GO:0050840","extracellular matrix binding","12/659","66/18662",0.181818181818182,5.14884811698165,6.45992473849682,2.91871098539982e-06,0.000263332591127184,0.000236227836479144,"43/3675/3958/57211/3491/7057/59277/1520/7148/4811/79147/7045",12,"Up_B1_vs_BD"
"GO:0005539","glycosaminoglycan binding","24/659","240/18662",0.1,2.83186646433991,5.46473072645771,4.72070084545558e-06,0.000383320908650993,0.000343865787900554,"27329/6373/3627/4353/7060/3491/7057/4057/89797/1755/1311/7048/7059/7097/7148/55959/3098/10631/5118/566/4192/3512/7049/9388",24,"Up_B1_vs_BD"
"GO:0008201","heparin binding","18/659","170/18662",0.105882352941176,2.9984468445952,5.00798296044587,3.35357348907243e-05,0.00247554697556983,0.002220739573625,"27329/6373/3627/4353/7060/3491/7057/4057/89797/1311/7059/7148/10631/5118/566/4192/7049/9388",18,"Up_B1_vs_BD"
"GO:0003724","RNA helicase activity","11/659","77/18662",0.142857142857143,4.04552352048558,5.12346484669343,7.86091142585622e-05,0.00518621613424491,0.00465240026561768,"23586/55601/64135/85441/79132/57062/91351/55661/79039/9188/79009",11,"Up_B1_vs_BD"
