"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","30/390","183/18662",0.163934426229508,7.84447246742329,13.5935537770625,1.64491666149372e-18,1.0214932467876e-15,8.62282628867232e-16,"1558/3992/1548/1559/9415/5053/6319/1576/6718/2329/2330/1562/1109/5264/1571/9420/1595/8424/2326/254295/1555/1579/1557/1544/51302/113612/100137047/1549/11283/5066",30,"Up_BD_vs_BM2"
"GO:0004497","monooxygenase activity","24/390","109/18662",0.220183486238532,10.5360621030346,14.5875367805839,3.88280996360063e-18,1.205612493698e-15,1.01770492730164e-15,"1558/1548/1559/5053/1576/6718/2329/2330/1562/1109/1571/9420/1595/2326/1555/1579/1557/1544/51302/113612/100137047/1549/11283/5066",24,"Up_BD_vs_BM2"
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","16/390","46/18662",0.347826086956522,16.6439241917503,15.519872537017,5.45889117987767e-16,1.12999047423468e-13,9.53869406168098e-14,"1558/1548/1559/1576/1562/1571/9420/1595/1555/1579/1557/1544/51302/113612/1549/11283",16,"Up_BD_vs_BM2"
"GO:0005506","iron ion binding","23/390","154/18662",0.149350649350649,7.14662004662005,11.1898354387821,1.39826551179841e-13,2.17080720706704e-11,1.83246374967266e-11,"1558/7018/1548/1559/5053/316/6319/1576/1562/5264/1571/9420/1595/8424/1555/1579/1557/1544/51302/113612/1036/1549/11283",23,"Up_BD_vs_BM2"
"GO:0008392","arachidonate epoxygenase activity","8/390","15/18662",0.533333333333333,25.5206837606838,13.8797114374625,1.91802113200417e-10,2.38218224594918e-08,2.01089373418543e-08,"1558/1548/1559/1562/1571/1555/1579/1549",8,"Up_BD_vs_BM2"
"GO:0008391","arachidonate monooxygenase activity","8/390","17/18662",0.470588235294118,22.5182503770739,12.9675204029087,6.98482965279702e-10,7.22929869064492e-08,6.10253538086477e-08,"1558/1548/1559/1562/1571/1555/1579/1549",8,"Up_BD_vs_BM2"
"GO:0020037","heme binding","18/390","142/18662",0.126760563380282,6.06565547128927,8.85250226648905,1.02721622748715e-09,9.11287538956459e-08,7.69253656073085e-08,"1558/1548/1559/3273/1576/1562/1571/9420/1595/1555/1579/1557/1544/51302/113612/1549/3043/11283",18,"Up_BD_vs_BM2"
"GO:0008395","steroid hydroxylase activity","9/390","27/18662",0.333333333333333,15.9504273504273,11.3573630093391,2.33037834947882e-09,1.80895619378293e-07,1.52701107636901e-07,"1558/1559/1576/9420/1555/1557/1544/51302/113612",9,"Up_BD_vs_BM2"
"GO:0046906","tetrapyrrole binding","18/390","152/18662",0.118421052631579,5.6665991902834,8.43967654952671,3.12146110175207e-09,2.15380816020893e-07,1.81811418558191e-07,"1558/1548/1559/3273/1576/1562/1571/9420/1595/1555/1579/1557/1544/51302/113612/1549/3043/11283",18,"Up_BD_vs_BM2"
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","9/390","35/18662",0.257142857142857,12.3046153846154,9.77968963884986,3.02788612114234e-08,1.88031728122939e-06,1.5872497771883e-06,"1576/6718/2329/2330/1109/1571/1595/2326/1555",9,"Up_BD_vs_BM2"
"GO:0019842","vitamin binding","14/390","150/18662",0.0933333333333333,4.46611965811966,6.22686179727696,3.2775714378816e-06,0.000185033805720407,0.000156194313499047,"2194/27232/10841/1644/32/55753/7274/5264/2638/883/1491/6470/1719/5066",14,"Up_BD_vs_BM2"
"GO:0005319","lipid transporter activity","15/390","184/18662",0.0815217391304348,3.90091973244147,5.77728588665436,7.8345201281495e-06,0.000405436416631737,0.000342244826650741,"23460/7274/1109/6580/116519/11309/10864/10351/286410/5244/114571/55102/6554/20/347051",15,"Up_BD_vs_BM2"
"GO:0016829","lyase activity","15/390","204/18662",0.0735294117647059,3.5184766214178,5.28405589904404,2.67748981449274e-05,0.00127901628830768,0.00107966795758493,"48/229/2194/230/10841/1644/26007/130013/883/1491/6470/1652/2948/1544/5066",15,"Up_BD_vs_BM2"
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","11/390","122/18662",0.0901639344262295,4.31445985708281,5.36592416407022,5.08480249035051e-05,0.00225547310464833,0.00190393356405605,"2194/80270/26227/3248/6718/126/1109/125/130/3939/51171",11,"Up_BD_vs_BM2"
"GO:0019825","oxygen binding","6/390","33/18662",0.181818181818182,8.7002331002331,6.46804134768377,5.50526225731457e-05,0.00227917857452823,0.00192394428360888,"1576/1562/1571/1557/1549/3043",6,"Up_BD_vs_BM2"
"GO:0016725","oxidoreductase activity, acting on CH or CH2 groups","4/390","12/18662",0.333333333333333,15.9504273504273,7.56852985763442,8.13993338804708e-05,0.00315931164623577,0.00266689922845227,"1558/1559/1576/1544",4,"Up_BD_vs_BM2"
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","11/390","132/18662",0.0833333333333333,3.98760683760684,5.03244940542489,0.000104157387209068,0.00380480808569594,0.00321178816285546,"2194/80270/26227/3248/6718/126/1109/125/130/3939/51171",11,"Up_BD_vs_BM2"
"GO:0048029","monosaccharide binding","8/390","73/18662",0.10958904109589,5.24397611520899,5.30778183820542,0.000139108579882903,0.00470878624893118,0.00397487168737643,"229/5313/3795/5264/2645/5211/1203/5066",8,"Up_BD_vs_BM2"
"GO:0050661","NADP binding","7/390","56/18662",0.125,5.98141025641026,5.45414315217835,0.000158381358502225,0.00470878624893118,0.00397487168737643,"1806/2329/2330/554235/1428/2326/1719",7,"Up_BD_vs_BM2"
"GO:0170055","lipid transmembrane transporter activity","7/390","56/18662",0.125,5.98141025641026,5.45414315217835,0.000158381358502225,0.00470878624893118,0.00397487168737643,"1109/6580/11309/10864/114571/6554/347051",7,"Up_BD_vs_BM2"
