"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005201","extracellular matrix structural constituent","43/1058","175/18662",0.245714285714286,4.33413988657845,10.8636116244827,1.33534024578427e-16,1.32332218357221e-13,1.15542071793123e-13,"7057/2266/2335/2243/2244/3491/375790/4969/1293/3339/3915/3911/4237/4240/2331/1292/7045/1291/1311/3912/5118/3371/4148/1280/80144/2192/7059/4811/7148/4147/1306/7286/10631/633/64856/1303/11117/22795/4052/1893/79875/3914/3909",43,"Up_CM_vs_BD"
"GO:0005178","integrin binding","37/1058","152/18662",0.243421052631579,4.29368968261865,9.99553109003634,2.46236568426437e-14,1.22010219655299e-11,1.06529715392911e-11,"7057/9636/2335/3675/102/3491/3678/27329/3339/3911/7060/3673/4240/7045/1311/4067/3912/11093/3371/83706/1525/7106/977/8754/6714/6868/2192/7148/79987/8751/5771/11117/6376/3481/3684/2247/1490",37,"Up_CM_vs_BD"
"GO:0005518","collagen binding","21/1058","72/18662",0.291666666666667,5.14469124133585,8.63820182931875,2.6546066773027e-10,8.76905072402325e-08,7.65644452190463e-08,"7057/2335/3675/43/3339/3673/1292/7045/1291/1311/960/5118/57211/8754/9902/4811/7148/22795/4318/5154/1690",21,"Up_CM_vs_BD"
"GO:0005539","glycosaminoglycan binding","39/1058","240/18662",0.1625,2.86632797731569,7.13394585212868,2.548774048586e-09,6.31458770537182e-07,5.51340070509919e-07,"7057/2335/3491/338/375790/27329/4353/7060/5792/348/4057/1311/960/5118/3627/57214/55959/3698/1755/6373/7049/7059/7148/8829/5621/89797/4192/10631/633/3512/3098/7048/7097/566/26279/2135/5802/2247/1490",39,"Up_CM_vs_BD"
"GO:0043394","proteoglycan binding","14/1058","37/18662",0.378378378378378,6.67419404281408,8.46957299096304,5.82119395987722e-09,1.15376064284767e-06,1.00737293368823e-06,"7057/2335/375790/3673/5792/348/1311/3371/6386/1280/4811/566/26279/5802",14,"Up_CM_vs_BD"
"GO:0050840","extracellular matrix binding","17/1058","66/18662",0.257575757575758,4.54336369364725,7.06939975173259,1.02053876855995e-07,1.45850531013435e-05,1.2734519782574e-05,"7057/3675/3491/43/375790/3958/3673/7045/57211/8754/4811/7148/59277/79147/633/64856/4052",17,"Up_CM_vs_BD"
"GO:0120545","nucleic acid conformation isomerase activity","28/1058","161/18662",0.173913043478261,3.06764198241144,6.45944624612681,1.03022574883354e-07,1.45850531013435e-05,1.2734519782574e-05,"23586/64135/55601/85441/57169/7150/2332/4172/56916/79132/91351/4171/57062/9188/8467/9416/4176/4174/89797/55661/4173/2071/4175/64794/79009/79039/317781/8458",28,"Up_CM_vs_BD"
"GO:0043236","laminin binding","11/1058","28/18662",0.392857142857143,6.92958412098299,7.69759070370063,1.62333931334274e-07,2.01091157440331e-05,1.75576962574701e-05,"7057/3675/43/375790/3958/3673/57211/8754/4811/59277/79147",11,"Up_CM_vs_BD"
"GO:0004386","helicase activity","26/1058","148/18662",0.175675675675676,3.09873294844939,6.28409177497108,2.376868024414e-07,2.61719579132698e-05,2.28512925855943e-05,"23586/64135/55601/85441/57169/4172/56916/79132/91351/4171/57062/9188/8467/9416/4176/4174/89797/55661/4173/2071/4175/64794/79009/79039/317781/8458",26,"Up_CM_vs_BD"
"GO:0003725","double-stranded RNA binding","17/1058","77/18662",0.220779220779221,3.89431173741193,6.238985783682,1.10196327902953e-06,0.000109204560951826,9.53488226697127e-05,"23586/64135/4938/55601/5610/7431/4940/4939/8638/6520/7098/103/79132/91351/79693/9188/55342",17,"Up_CM_vs_BD"
"GO:0008201","heparin binding","26/1058","170/18662",0.152941176470588,2.6977204492383,5.45134048511614,3.62674187219628e-06,0.000326736472304228,0.000285280556836875,"7057/2335/3491/338/27329/4353/7060/5792/348/4057/1311/5118/3627/6373/7049/7059/7148/8829/89797/4192/10631/566/26279/5802/2247/1490",26,"Up_CM_vs_BD"
"GO:0042605","peptide antigen binding","11/1058","45/18662",0.244444444444444,4.31174123083386,5.45271015484848,3.15223811982699e-05,0.00260322331395712,0.00227292959166472,"6890/3134/3105/6891/3107/3106/6892/567/3136/3133/8140",11,"Up_CM_vs_BD"
"GO:1901681","sulfur compound binding","32/1058","266/18662",0.120300751879699,2.12197791264551,4.51822688715568,4.84884736192332e-05,0.00360203533555582,0.003145013591616,"7057/2335/3491/338/375790/27329/4353/7060/5792/348/4057/1311/11332/5118/3627/2950/1755/6373/7049/7059/7148/8829/51490/6646/89797/4192/10631/566/26279/5802/2247/1490",32,"Up_CM_vs_BD"
"GO:0043395","heparan sulfate proteoglycan binding","7/1058","19/18662",0.368421052631579,6.49855735747687,5.87857780664643,5.08864729543708e-05,0.00360203533555582,0.003145013591616,"375790/3673/348/1311/566/26279/5802",7,"Up_CM_vs_BD"
"GO:0042277","peptide binding","29/1058","234/18662",0.123931623931624,2.18602265199619,4.47575619039662,6.30838069686763e-05,0.00416773684706388,0.00363893960198259,"6890/3134/3105/6891/3107/43/3106/4311/6892/3339/972/3673/348/567/57214/3136/9445/3133/3838/10381/1410/5621/8140/100101267/7097/22883/3684/7855/81618",29,"Up_CM_vs_BD"
"GO:0045296","cadherin binding","37/1058","334/18662",0.110778443113772,1.95401446634142,4.31295836680081,7.72482027845436e-05,0.00453671370881845,0.00396110114042038,"6772/301/3655/23670/6520/8826/30844/55971/9531/6282/5025/64837/5905/56829/10938/1627/58513/8428/6624/1969/2810/6714/11135/7706/4854/5331/5663/10562/85377/1009/9793/2011/4072/10298/2125/659/867",37,"Up_CM_vs_BD"
"GO:0098631","cell adhesion mediator activity","15/1058","85/18662",0.176470588235294,3.11275436450573,4.78602860748017,7.78245540362399e-05,0.00453671370881845,0.00396110114042038,"301/3911/55971/3673/6282/140885/961/1525/27020/11135/79987/11117/1272/4072/10298",15,"Up_CM_vs_BD"
"GO:0003724","RNA helicase activity","14/1058","77/18662",0.181818181818182,3.20708025433923,4.75758784110129,9.56595801131151e-05,0.00526659132733872,0.00459837279841992,"23586/64135/55601/85441/79132/91351/57062/9188/9416/55661/64794/79009/79039/317781",14,"Up_CM_vs_BD"
"GO:0008186","ATP-dependent activity, acting on RNA","14/1058","79/18662",0.177215189873418,3.12588834916609,4.64195252391121,0.000127500520540998,0.00665015872926993,0.00580639489665929,"23586/64135/55601/85441/79132/91351/57062/9188/9416/55661/64794/79009/79039/317781",14,"Up_CM_vs_BD"
"GO:0001618","virus receptor activity","14/1058","81/18662",0.172839506172839,3.04870592079162,4.52993740221001,0.000168133548553852,0.00811886375961275,0.00708875246736596,"5359/6520/3678/950/290/3673/5819/1525/1969/1604/4684/983/9076/9213",14,"Up_CM_vs_BD"
"GO:0005484","SNAP receptor activity","9/1058","37/18662",0.243243243243243,4.29055331323762,4.91163701079556,0.000172044539810159,0.00811886375961275,0.00708875246736596,"6809/23673/8673/6844/8676/51272/26984/10282/10228",9,"Up_CM_vs_BD"
"GO:0140272","exogenous protein binding","14/1058","82/18662",0.170731707317073,3.01152658029416,4.47522069551649,0.000192337596698111,0.00866393446944675,0.00756466528640419,"5359/6520/3678/950/290/3673/5819/1525/1969/1604/4684/983/9076/9213",14,"Up_CM_vs_BD"
"GO:0098641","cadherin binding involved in cell-cell adhesion","6/1058","18/18662",0.333333333333333,5.87964713295526,5.07761459117488,0.000336787530728991,0.0145111496935839,0.0126699931468755,"301/55971/6282/11135/4072/10298",6,"Up_CM_vs_BD"
"GO:0019955","cytokine binding","19/1058","143/18662",0.132867132867133,2.34363557047867,3.9540791253754,0.000464607772319501,0.0191844292653594,0.0167503328441504,"7057/834/2633/972/1311/3459/6868/7049/8829/3455/5355/7132/3557/633/8809/7048/4052/659/2247",19,"Up_CM_vs_BD"
"GO:0004175","endopeptidase activity","40/1058","406/18662",0.0985221674876847,1.73782673880451,3.68484482388835,0.000486473451658187,0.0192838076237305,0.0168371022005486,"1889/102/834/11098/4311/5698/23385/4057/837/11093/841/5699/5641/840/57211/649/5696/8754/1675/6868/94031/255738/4324/1519/84888/1515/10892/5663/5648/7113/8751/1636/219743/10868/51360/566/25807/4318/54059/114769",40,"Up_CM_vs_BD"
"GO:0016504","peptidase activator activity","11/1058","61/18662",0.180327868852459,3.18079271127088,4.18230564832902,0.000565542646222755,0.0207575097187685,0.0181238228146239,"2335/834/23385/5118/5641/10197/2192/10892/7040/9166/51107",11,"Up_CM_vs_BD"
"GO:0098632","cell-cell adhesion mediator activity","11/1058","61/18662",0.180327868852459,3.18079271127088,4.18230564832902,0.000565542646222755,0.0207575097187685,0.0181238228146239,"301/55971/6282/140885/961/1525/27020/11135/1272/4072/10298",11,"Up_CM_vs_BD"
"GO:0019838","growth factor binding","18/1058","136/18662",0.132352941176471,2.33456577337929,3.82933373116263,0.000678976972238795,0.0240309349817374,0.0209819199691838,"7057/3655/3491/3483/1291/1969/1280/7049/8829/3487/79651/91/3557/7048/4052/659/5154/1490",18,"Up_CM_vs_BD"
"GO:0120543","macromolecular conformation isomerase activity","30/1058","283/18662",0.106007067137809,1.86985244510945,3.6147850528811,0.000739795185992588,0.0249433021491918,0.0217785271301032,"23586/64135/55601/85441/57169/7150/2332/4172/56916/79132/91351/4171/57062/9188/8467/9416/3796/4176/4174/89797/55661/4173/2071/4175/64794/79009/79039/317781/3801/8458",30,"Up_CM_vs_BD"
"GO:0043138","3'-5' DNA helicase activity","5/1058","14/18662",0.357142857142857,6.29962192816635,4.86292292567876,0.000755094918744453,0.0249433021491918,0.0217785271301032,"4171/4174/89797/2071/4175",5,"Up_CM_vs_BD"
"GO:0044389","ubiquitin-like protein ligase binding","33/1058","324/18662",0.101851851851852,1.79655884618077,3.54583886825681,0.000832431405846703,0.0264151951141076,0.0230636681542264,"6772/23586/9636/5371/6773/8878/7098/1152/3716/8737/29761/5243/11078/151636/4067/958/841/5905/92714/55072/10067/83666/23111/10670/527/819/11200/91/7319/5925/7855/4193/7320",33,"Up_CM_vs_BD"
"GO:0001540","amyloid-beta binding","13/1058","84/18662",0.154761904761905,2.72983616887209,3.89537925937204,0.000852962909840004,0.0264151951141076,0.0230636681542264,"43/3339/972/3673/348/9445/1410/5621/7097/22883/3684/7855/81618",13,"Up_CM_vs_BD"
"GO:0061134","peptidase regulator activity","26/1058","237/18662",0.109704641350211,1.93507373995996,3.55157422733004,0.000983523246129388,0.0287732311578156,0.0251225195302187,"7057/2335/834/684/1293/5054/23385/2719/4057/5118/5641/2634/3698/7078/10197/9491/2192/5621/7035/12/10892/7040/9166/6590/51107/114769",26,"Up_CM_vs_BD"
"GO:0140313","molecular sequestering activity","12/1058","75/18662",0.16,2.82223062381853,3.87644774091808,0.000987174429228789,0.0287732311578156,0.0251225195302187,"3434/2495/8878/10616/54739/1627/6386/2810/83667/3934/6397/89870",12,"Up_CM_vs_BD"
"GO:0017116","single-stranded DNA helicase activity","6/1058","23/18662",0.260869565217391,4.60146297361716,4.23678258577226,0.00143505594474888,0.0406325840356039,0.0354771725288293,"4172/4171/4176/4174/4173/4175",6,"Up_CM_vs_BD"
"GO:0061809","NAD+ nucleosidase activity, cyclic ADP-ribose generating","5/1058","16/18662",0.3125,5.51216918714556,4.42646604567391,0.00149815259098977,0.0412408116019684,0.0360082289413331,"3556/952/8809/7097/683",5,"Up_CM_vs_BD"
"GO:0004674","protein serine/threonine kinase activity","40/1058","433/18662",0.092378752886836,1.6294634086712,3.2489095840693,0.00166662495385805,0.0446385224127927,0.0389748424486862,"5610/25865/8737/7150/8428/50488/5129/6793/5127/8767/29959/5580/6732/7049/8812/5587/25989/26750/5128/54101/11200/11011/51755/2011/983/91/27347/7048/4052/53944/8569/5581/1456/6733/7016/10298/659/1198/83732/9874",40,"Up_CM_vs_BD"
"GO:0005525","GTP binding","36/1058","379/18662",0.0949868073878628,1.67546672917986,3.25690017831843,0.00172969894023091,0.0451087276254955,0.0393853886113519,"4599/23586/25939/115361/2633/30844/30845/6237/2635/64121/10672/10938/2634/6102/23176/55665/391/9567/10670/6236/10381/4600/390/5874/51762/55647/23560/55684/11021/9790/54676/1759/221079/51560/3265/29889",36,"Up_CM_vs_BD"
