"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005319","lipid transporter activity","4/24","184/18662",0.0217391304347826,16.9039855072464,7.77966372389313,8.32876747015283e-05,0.00565834258585627,0.00311043393608473,"116519/8647/5244/28234",4,"Up_DM_vs_C"
"GO:0046943","carboxylic acid transmembrane transporter activity","4/24","189/18662",0.0211640211640212,16.4567901234568,7.663989843961,9.23996784956017e-05,0.00565834258585627,0.00311043393608473,"8647/9962/10991/28234",4,"Up_DM_vs_C"
"GO:0005342","organic acid transmembrane transporter activity","4/24","190/18662",0.0210526315789474,16.3701754385965,7.64138512759232,9.43057097642711e-05,0.00565834258585627,0.00311043393608473,"8647/9962/10991/28234",4,"Up_DM_vs_C"
"GO:0022804","active transmembrane transporter activity","5/24","459/18662",0.0108932461873638,8.470406681191,5.81503759464271,0.000254246459830329,0.00931969072143253,0.00512310484102139,"8647/9962/5244/10991/28234",5,"Up_DM_vs_C"
"GO:0015125","bile acid transmembrane transporter activity","2/24","21/18662",0.0952380952380952,74.0555555555556,12.0199238271411,0.000327929448654277,0.00931969072143253,0.00512310484102139,"8647/28234",2,"Up_DM_vs_C"
"GO:1901681","sulfur compound binding","4/24","266/18662",0.0150375939849624,11.6929824561403,6.30305933914579,0.000342488019405842,0.00931969072143253,0.00512310484102139,"116519/27232/283/5788",4,"Up_DM_vs_C"
"GO:0008514","organic anion transmembrane transporter activity","4/24","270/18662",0.0148148148148148,11.5197530864198,6.24807699876257,0.000362432416944598,0.00931969072143253,0.00512310484102139,"8647/9962/10991/28234",4,"Up_DM_vs_C"
"GO:0008201","heparin binding","3/24","170/18662",0.0176470588235294,13.7220588235294,5.97947894814581,0.00130580593182001,0.0293806334659502,0.0161507575777738,"116519/283/5788",3,"Up_DM_vs_C"
"GO:0016887","ATP hydrolysis activity","4/24","400/18662",0.01,7.77583333333333,4.91577464324729,0.00157261670658275,0.031452334131655,0.0172895871834829,"8647/79665/3310/5244",4,"Up_DM_vs_C"
"GO:0140359","ABC-type transporter activity","2/24","49/18662",0.0408163265306122,31.7380952380952,7.73108105917905,0.00179649094969105,0.0323368370944389,0.0177758051864167,"8647/5244",2,"Up_DM_vs_C"
"GO:0170055","lipid transmembrane transporter activity","2/24","56/18662",0.0357142857142857,27.7708333333333,7.19950800747894,0.00233967246377251,0.0382855494071865,0.0210458575688627,"8647/28234",2,"Up_DM_vs_C"
