"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005201","extracellular matrix structural constituent","24/134","175/18662",0.137142857142857,19.0997014925373,20.4579824023903,3.55278104335016e-24,1.19373443056565e-21,1.00599800069599e-21,"7057/2335/2266/2243/80781/2244/3339/3912/7148/4148/4969/1291/3911/3915/1311/4811/4052/5118/2331/11117/1292/3909/3918/1293",24,"Up_D_vs_BM1"
"GO:0005539","glycosaminoglycan binding","24/134","240/18662",0.1,13.9268656716418,17.1409959525621,7.62673117690449e-21,1.28129083771995e-18,1.07978457188806e-18,"7057/2335/7060/3273/5046/348/5792/116519/11167/4057/3698/7148/3990/4353/1311/8829/1755/5118/57214/1490/3918/5802/4023/6288",24,"Up_D_vs_BM1"
"GO:0008201","heparin binding","21/134","170/18662",0.123529411764706,17.2037752414399,18.0490485632223,2.88901500611897e-20,3.23569680685325e-18,2.72682468998597e-18,"7057/2335/7060/3273/5046/348/5792/116519/11167/4057/7148/3990/4353/1311/8829/5118/1490/3918/5802/4023/6288",21,"Up_D_vs_BM1"
"GO:1901681","sulfur compound binding","23/134","266/18662",0.0864661654135338,12.0420267085624,15.4252956152437,1.42759976256413e-18,1.19918380055387e-16,1.01059035823619e-16,"7057/2335/7060/3273/5046/348/5792/116519/11167/27232/4057/7148/3990/4353/1311/8829/1755/5118/1490/3918/5802/4023/6288",23,"Up_D_vs_BM1"
"GO:0005178","integrin binding","15/134","152/18662",0.0986842105263158,13.7436174391202,13.4158098688566,2.72147899599895e-13,1.8288338853113e-11,1.5412165261552e-11,"7057/2335/7060/3339/3912/7148/83706/11093/3911/1311/3689/79987/11117/1490/3684",15,"Up_D_vs_BM1"
"GO:0043394","proteoglycan binding","9/134","37/18662",0.243243243243243,33.8761597418314,17.0231289091199,4.05710630821185e-12,2.27197953259863e-10,1.91466946826138e-10,"7057/2335/3273/348/5792/1311/4811/5802/4023",9,"Up_D_vs_BM1"
"GO:0005518","collagen binding","10/134","72/18662",0.138888888888889,19.3428689883914,13.2617061935162,9.53269660368528e-11,4.57569436976893e-09,3.85608328780653e-09,"7057/2335/3339/7148/1291/1311/4811/9902/5118/1292",10,"Up_D_vs_BM1"
"GO:0061134","peptidase regulator activity","14/134","237/18662",0.0590717299578059,8.22684048113861,9.52191889437248,1.71407780077622e-09,7.19912676326011e-08,6.06693326853687e-08,"7057/2335/727/3273/718/6653/4057/3698/2719/7078/6694/5118/197/1293",14,"Up_D_vs_BM1"
"GO:0030414","peptidase inhibitor activity","12/134","178/18662",0.0674157303370786,9.38889820560121,9.56362481766759,5.9981151140905e-09,2.23929630926045e-07,1.88712627566122e-07,"7057/727/3273/718/6653/4057/3698/2719/7078/6694/197/1293",12,"Up_D_vs_BM1"
"GO:0004866","endopeptidase inhibitor activity","11/134","170/18662",0.0647058823529412,9.01150131694469,8.92384485586119,4.04777140464401e-08,1.36005119196039e-06,1.14615842931499e-06,"7057/727/3273/718/6653/4057/3698/7078/6694/197/1293",11,"Up_D_vs_BM1"
"GO:0043395","heparan sulfate proteoglycan binding","5/134","19/18662",0.263157894736842,36.6496465043205,13.2214690622602,1.8992626144011e-07,5.6454964596658e-06,4.75763956030733e-06,"3273/348/1311/5802/4023",5,"Up_D_vs_BM1"
"GO:0061135","endopeptidase regulator activity","11/134","199/18662",0.0552763819095477,7.69826745668642,8.07873704596182,2.01624873559493e-07,5.6454964596658e-06,4.75763956030733e-06,"7057/727/3273/718/6653/4057/3698/7078/6694/197/1293",11,"Up_D_vs_BM1"
"GO:0070325","lipoprotein particle receptor binding","5/134","31/18662",0.161290322580645,22.4626865671642,10.1707371800241,2.58975109928877e-06,6.69351053354635e-05,5.64083437820792e-05,"348/116519/3339/22943/5649",5,"Up_D_vs_BM1"
"GO:0071813","lipoprotein particle binding","5/134","32/18662",0.15625,21.7607276119403,9.99578063632238,3.05170575331988e-06,6.83582088743652e-05,5.7607638431091e-05,"7057/348/6653/3990/4023",5,"Up_D_vs_BM1"
"GO:0071814","protein-lipid complex binding","5/134","32/18662",0.15625,21.7607276119403,9.99578063632238,3.05170575331988e-06,6.83582088743652e-05,5.7607638431091e-05,"7057/348/6653/3990/4023",5,"Up_D_vs_BM1"
"GO:0019838","growth factor binding","8/134","136/18662",0.0588235294117647,8.19227392449517,7.15896812057814,6.23612368793505e-06,0.000130958597446636,0.00011036297842464,"7057/5046/1291/2817/8829/3483/4052/1490",8,"Up_D_vs_BM1"
"GO:0016209","antioxidant activity","6/134","77/18662",0.0779220779220779,10.8521031207598,7.36713474813577,1.91202731859212e-05,0.000377906575909971,0.000318473900124631,"348/3043/4353/3040/2878/55937",6,"Up_D_vs_BM1"
"GO:0004857","enzyme inhibitor activity","13/134","451/18662",0.0288248337028825,4.01439586987457,5.51095981738045,2.24731780101493e-05,0.000419499322856121,0.000353525431855565,"7057/727/3273/718/6653/4057/3698/2719/7078/6694/7009/197/1293",13,"Up_D_vs_BM1"
"GO:0050750","low-density lipoprotein particle receptor binding","4/134","26/18662",0.153846153846154,21.4259471871412,8.86335434915192,3.36086793282904e-05,0.000594342960752925,0.000500871730709702,"348/116519/3339/22943",4,"Up_D_vs_BM1"
"GO:0038024","cargo receptor activity","5/134","65/18662",0.0769230769230769,10.7129735935706,6.67103202313848,0.00010354708357103,0.0017395910039933,0.00146600870950563,"6653/6382/1755/3689/3684",5,"Up_D_vs_BM1"
"GO:0050840","extracellular matrix binding","5/134","66/18662",0.0757575757575758,10.5506558118498,6.60999266840997,0.000111393917895011,0.00178230268632018,0.00150200320369715,"7057/7148/2817/4811/4052",5,"Up_D_vs_BM1"
"GO:0030169","low-density lipoprotein particle binding","3/134","17/18662",0.176470588235294,24.5768217734855,8.27054467539999,0.000228665167878831,0.00336318147267117,0.00283426007565333,"7057/6653/3990",3,"Up_D_vs_BM1"
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","4/134","42/18662",0.0952380952380952,13.2636815920398,6.76645593104736,0.000230217779379276,0.00336318147267117,0.00283426007565333,"80781/1291/1292/1293",4,"Up_D_vs_BM1"
"GO:0034185","apolipoprotein binding","3/134","18/18662",0.166666666666667,23.2114427860697,8.01768629736059,0.000272959679067275,0.00382143550694185,0.0032204453363639,"3990/3931/4023",3,"Up_D_vs_BM1"
"GO:0001540","amyloid-beta binding","5/134","84/18662",0.0595238095238095,8.28980099502487,5.69457636130236,0.000347110322134154,0.00466516272948303,0.00393148112227736,"348/3339/6653/3689/3684",5,"Up_D_vs_BM1"
"GO:0004601","peroxidase activity","4/134","50/18662",0.08,11.1414925373134,6.10655032093522,0.00045313143316695,0.00585585236708058,0.00493491317902467,"3043/4353/3040/2878",4,"Up_D_vs_BM1"
"GO:0030021","extracellular matrix structural constituent conferring compression resistance","3/134","22/18662",0.136363636363636,18.9911804613297,7.18048254455306,0.000504435114870066,0.00627741476282749,0.00529017722807204,"3339/4969/2331",3,"Up_D_vs_BM1"
"GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","4/134","52/18662",0.0769230769230769,10.7129735935706,5.96466803447743,0.000526802757290939,0.00632163308749127,0.00532744141771664,"3043/4353/3040/2878",4,"Up_D_vs_BM1"
"GO:0043236","laminin binding","3/134","28/18662",0.107142857142857,14.9216417910448,6.26934269206877,0.00103983605524448,0.0120477556745567,0.0101530271818789,"7057/2817/4811",3,"Up_D_vs_BM1"
"GO:0042277","peptide binding","7/134","234/18662",0.0299145299145299,4.16615639749968,4.14483050174094,0.00152006024992216,0.0170246747991281,0.0143472353413705,"348/3339/6653/3689/57214/3122/3684",7,"Up_D_vs_BM1"
"GO:0030023","extracellular matrix constituent conferring elasticity","2/134","10/18662",0.2,27.8537313432836,7.22349740210906,0.00221760418861832,0.0240359679798631,0.0202558752712506,"3915/11117",2,"Up_D_vs_BM1"
"GO:0004869","cysteine-type endopeptidase inhibitor activity","3/134","38/18662",0.0789473684210526,10.9948939512962,5.24492269989486,0.00254123112847116,0.0266829268489472,0.0224865517618007,"3273/4057/197",3,"Up_D_vs_BM1"
"GO:0001851","complement component C3b binding","2/134","11/18662",0.181818181818182,25.3215739484396,6.86187089493883,0.00269767963457382,0.0274672835520243,0.0231475541212235,"3689/3684",2,"Up_D_vs_BM1"
