"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","29/409","132/18662",0.21969696969697,10.0244128324813,15.5750766950131,4.61760260593585e-21,3.0014416938583e-18,2.30880130296792e-18,"3248/3939/126/125/1109/2194/127/130/6652/10327/51084/124/3290/26227/6718/2819/51181/56898/80270/22977/246181/51171/8529/4051/8608/8630/345275/284541/157506",29,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0005506","iron ion binding","30/409","154/18662",0.194805194805195,8.88864192042676,14.7144773783674,3.76180436542799e-20,1.2225864187641e-17,9.40451091356996e-18,"316/7498/8424/1582/23498/7018/1571/247/1559/1558/66002/2230/1548/1579/1557/5264/392636/51302/8529/1576/1593/4051/1036/1551/285440/1549/1555/284541/55818/1581",30,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","27/409","122/18662",0.221311475409836,10.0980800833701,15.0916522447157,8.84249123651032e-20,1.9158731012439e-17,1.47374853941839e-17,"3248/3939/126/125/1109/2194/127/130/6652/10327/51084/124/3290/26227/6718/2819/51181/56898/80270/22977/246181/51171/8608/8630/345275/284541/157506",27,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","18/409","46/18662",0.391304347826087,17.854576379292,17.1322954677079,1.50861851845015e-18,2.45150509248149e-16,1.88577314806268e-16,"1582/1571/1559/1558/66002/1548/1579/1557/51302/8529/1576/4051/1551/285440/1549/1555/284541/1581",18,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0004497","monooxygenase activity","24/409","109/18662",0.220183486238532,10.0466117852897,14.1792778947846,1.15612521017317e-17,1.50296277322512e-15,1.15612521017317e-15,"1109/1582/6718/1571/1559/1558/2326/66002/8564/1548/1579/1557/392636/51302/8529/1576/1593/4051/1551/285440/1549/1555/284541/1581",24,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","29/409","183/18662",0.158469945355191,7.23072401031438,12.6790527970334,5.78507079604684e-17,5.87301849181159e-15,4.51770653216276e-15,"1109/8424/1582/6718/1571/1559/1558/2326/254295/66002/8564/1548/1579/1557/5264/392636/51302/8529/1576/1593/4051/1551/285440/1549/1555/23030/284541/55818/1581",29,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0020037","heme binding","26/409","142/18662",0.183098591549296,8.35448879093633,13.1685560001082,6.32478914502786e-17,5.87301849181159e-15,4.51770653216276e-15,"3043/875/1582/3273/1528/6999/1571/1559/1558/10857/66002/1548/1579/1557/51302/8529/1576/1593/4051/1551/285440/1549/1555/1536/284541/1581",26,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0046906","tetrapyrrole binding","26/409","152/18662",0.171052631578947,7.80485137047999,12.6095390821751,3.60211676948855e-16,2.92671987520944e-14,2.25132298093034e-14,"3043/875/1582/3273/1528/6999/1571/1559/1558/10857/66002/1548/1579/1557/51302/8529/1576/1593/4051/1551/285440/1549/1555/1536/284541/1581",26,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0016829","lyase activity","29/409","204/18662",0.142156862745098,6.48638477395848,11.7942684601693,1.1436240757573e-15,8.25950721380275e-14,6.35346708754058e-14,"230/48/26007/6470/2194/1644/1652/10606/10841/229/210/875/130013/131669/1491/2027/760/7167/85007/2026/55258/5105/2023/87769/2948/763/6036/6038/4913",29,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0018455","alcohol dehydrogenase [NAD(P)+] activity","16/409","52/18662",0.307692307692308,14.0394959563664,14.0945518884782,1.06739049182435e-14,6.93803819685824e-13,5.33695245912173e-13,"126/125/1109/127/130/6652/10327/124/6718/51181/22977/246181/8608/8630/345275/157506",16,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0008391","arachidonate monooxygenase activity","10/409","17/18662",0.588235294117647,26.8402128577592,15.9551663741515,3.88807502311e-13,2.29749887729228e-11,1.76730682868637e-11,"1571/1559/1558/66002/1548/1579/8529/1549/1555/284541",10,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0008392","arachidonate epoxygenase activity","9/409","15/18662",0.6,27.3770171149144,15.2977940131841,4.7628940037817e-12,2.57990091871509e-10,1.98453916824238e-10,"1571/1559/1558/66002/1548/1579/8529/1549/1555",9,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0004022","alcohol dehydrogenase (NAD+) activity","10/409","23/18662",0.434782608695652,19.8384181992134,13.5319078319445,2.03327013692405e-11,1.01663506846202e-09,7.82026975740017e-10,"126/125/127/130/6652/124/8608/8630/345275/157506",10,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0019842","vitamin binding","20/409","150/18662",0.133333333333333,6.08378158109209,9.35767215316134,1.09996577331401e-10,5.10698394752934e-09,3.92844919040718e-09,"2638/6470/2194/27232/1644/127/6898/10841/875/5836/29968/32/1491/2875/85007/55258/55163/55753/5264/7274",20,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0008395","steroid hydroxylase activity","10/409","27/18662",0.37037037037037,16.8993932808114,12.375413503996,1.38624222399192e-10,5.89114090735052e-09,4.53164685180809e-09,"1582/1559/1558/1557/51302/1576/1593/1551/1555/1581",10,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0004745","all-trans-retinol dehydrogenase (NAD+) activity","9/409","20/18662",0.45,20.5327628361858,13.0826103462336,1.45012699257859e-10,5.89114090735052e-09,4.53164685180809e-09,"126/125/127/130/124/8608/8630/345275/157506",9,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0019825","oxygen binding","9/409","33/18662",0.272727272727273,12.4440986885975,9.84930931190072,2.58631904645136e-08,9.88886694231402e-07,7.60682072485694e-07,"3043/875/1582/6999/1571/1557/1576/1551/1549",9,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0030170","pyridoxal phosphate binding","11/409","56/18662",0.196428571428571,8.96271393643032,8.93286154203172,3.00911026397241e-08,1.08662315087892e-06,8.35863962214557e-07,"6470/1644/6898/875/5836/29968/1491/2875/85007/55258/55163",11,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0070279","vitamin B6 binding","11/409","57/18662",0.192982456140351,8.80547334105435,8.83453750882755,3.65606889345987e-08,1.25076041092048e-06,9.62123393015756e-07,"6470/1644/6898/875/5836/29968/1491/2875/85007/55258/55163",11,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","9/409","35/18662",0.257142857142857,11.7330073349633,9.51362381319244,4.55464196553593e-08,1.48025863879918e-06,1.13866049138398e-06,"1109/6718/1571/2326/8564/8529/1576/285440/1555",9,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0048029","monosaccharide binding","12/409","73/18662",0.164383561643836,7.50055263422313,8.33001299594194,5.75343275408069e-08,1.78082442388212e-06,1.36986494144778e-06,"3795/5313/4153/5211/229/5836/2821/2203/432/5264/2645/282969",12,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","15/409","127/18662",0.118110236220472,5.3891765974241,7.42934632420301,1.24985501031772e-07,3.6782719877674e-06,2.82943999059031e-06,"51733/55191/10013/1807/26873/125061/4522/383/144193/443/271/10247/56954/27165/91703",15,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0005319","lipid transporter activity","18/409","184/18662",0.0978260869565217,4.463644094823,7.06767667411171,1.30154239567154e-07,3.6782719877674e-06,2.82943999059031e-06,"1109/5244/80833/6342/116519/6580/64241/11309/10864/347/8647/23460/7274/10998/28234/64240/29015/10877",18,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0016835","carbon-oxygen lyase activity","12/409","80/18662",0.15,6.84425427872861,7.84133218913711,1.64197416565842e-07,4.44701336532489e-06,3.42077951178838e-06,"48/2194/210/875/131669/2027/760/7167/2026/2023/763/4913",12,"Up_res_DEq_MS_BDM_vs_CM"
"GO:0051287","NAD binding","10/409","53/18662",0.188679245283019,8.60912487890391,8.30372794754493,1.92649726141353e-07,5.00889287967517e-06,3.85299452282705e-06,"3248/316/127/6652/51084/26227/2819/56898/2597/55328",10,"Up_res_DEq_MS_BDM_vs_CM"
