"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","1/1","37/9521",0.027027027027027,257.324324324324,16.0101319271368,0.00388614641319185,0.0153660329797288,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","1/1","59/9521",0.0169491525423729,161.372881355932,12.6638414928462,0.00619682806427901,0.0153660329797288,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","1/1","63/9521",0.0158730158730159,151.126984126984,12.2526317224906,0.00661695200084012,0.0153660329797288,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","1/1","63/9521",0.0158730158730159,151.126984126984,12.2526317224906,0.00661695200084012,0.0153660329797288,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","1/1","73/9521",0.0136986301369863,130.424657534247,11.3764958372184,0.00766726184224342,0.0153660329797288,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","1/1","73/9521",0.0136986301369863,130.424657534247,11.3764958372184,0.00766726184224342,0.0153660329797288,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","1/1","75/9521",0.0133333333333333,126.946666666667,11.2225962533928,0.00787732381052408,0.0153660329797288,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05214","Glioma","1/1","76/9521",0.0131578947368421,125.276315789474,11.1479287667922,0.00798235479466436,0.0153660329797288,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","1/1","77/9521",0.012987012987013,123.649350649351,11.0747167299823,0.00808738577880463,0.0153660329797288,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","1/1","77/9521",0.012987012987013,123.649350649351,11.0747167299823,0.00808738577880463,0.0153660329797288,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","1/1","87/9521",0.0114942528735632,109.436781609195,10.4132983059737,0.00913769562020794,0.0154658124146626,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","1/1","93/9521",0.010752688172043,102.376344086022,10.0685820295621,0.00976788152505004,0.0154658124146626,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","1/1","142/9521",0.00704225352112676,67.0492957746479,8.1270717835299,0.0149143997479254,0.0199558869866609,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","1/1","148/9521",0.00675675675675676,64.3310810810811,7.9580827515854,0.0155445856527675,0.0199558869866609,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","1/1","150/9521",0.00666666666666667,63.4733333333333,7.90400742239868,0.0157546476210481,0.0199558869866609,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","1/1","163/9521",0.00613496932515337,58.4110429447853,7.57700751911896,0.0171200504148723,0.019955886986661,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","1/1","170/9521",0.00588235294117647,56.0058823529412,7.41659506464666,0.0178552673038546,0.019955886986661,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","1/1","201/9521",0.00497512437810945,47.3681592039801,6.80941695036955,0.0211112278122046,0.0215313517487661,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","1/1","205/9521",0.0048780487804878,46.4439024390244,6.74120927126761,0.0215313517487661,0.0215313517487661,NA,"1643",1,"Down_B2_vs_res_DEq_MS_BM1"
