"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","17/266","89/9521",0.191011235955056,6.83690968995522,9.37879756693358,2.88759895512249e-10,8.02752509524052e-08,7.20379949856874e-08,"7057/3675/3679/3655/7060/3673/3912/960/5649/7148/3915/3909/1293/1311/1291/1292/3914",17,"Down_res_DEq_MS_BDM_vs_BM1"
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","19/266","154/9521",0.123376623376623,4.41604823747681,7.24528003536419,5.07923847765394e-08,7.06014148393898e-06,6.33568168002097e-06,"7057/3675/3679/3655/7060/3673/3912/5649/7148/3915/3909/1293/83706/1311/1291/1292/29780/3914/7040",19,"Down_res_DEq_MS_BDM_vs_BM1"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","19/266","203/9521",0.0935960591133005,3.35010555946516,5.73779617621346,3.77305987838319e-06,0.000349636882063509,0.000313759716202392,"7057/3675/3679/3655/7060/3673/3912/5649/7148/3915/3909/1293/1311/1291/1292/10398/29780/3914/23396",19,"Down_res_DEq_MS_BDM_vs_BM1"
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","8/266","36/9521",0.222222222222222,7.95405179615706,7.08665980346799,5.1258836486328e-06,0.000356248913579979,0.00031969326966473,"4174/4171/4172/4173/4175/4176/2237/5981",8,"Down_res_DEq_MS_BDM_vs_BM1"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","24/266","333/9521",0.0720720720720721,2.57969247442932,4.97456664618986,1.92402117370799e-05,0.00106975577258164,0.000959985301407984,"7057/3675/3679/3655/7060/3673/3912/527/5649/7148/3915/10312/3909/1293/1311/1291/4854/1292/578/3914/245972/1026/7855/4193",24,"Down_res_DEq_MS_BDM_vs_BM1"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","19/266","238/9521",0.0798319327731092,2.85744297719088,4.91961224973088,3.67212700051622e-05,0.00170141884357251,0.00152683175284622,"6137/6132/6125/6134/6143/6129/6128/6130/6194/6124/6141/8829/1675/6155/6193/6187/4736/1636/3576",19,"Down_res_DEq_MS_BDM_vs_BM1"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","18/266","233/9521",0.0772532188841202,2.76514246990868,4.62453107898354,9.02860598109167e-05,0.00358564637534783,0.00321771371055447,"2318/7431/7057/3675/3679/3655/7060/3673/4811/27063/1293/1311/1291/1292/10398/22795/4703/1158",18,"Down_res_DEq_MS_BDM_vs_BM1"
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","7/266","50/9521",0.14,5.01105263157895,4.82077126328945,0.000438656255024241,0.012548047272021,0.0112604589302119,"7057/3606/7060/1311/7042/3576/7040",7,"Down_res_DEq_MS_BDM_vs_BM1"
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","13/266","157/9521",0.0828025477707006,2.96377089219865,4.20611384252055,0.0004437426749097,0.012548047272021,0.0112604589302119,"5054/3710/8878/7048/7042/1029/3576/1026/3708/4193/678/59341/7040",13,"Down_res_DEq_MS_BDM_vs_BM1"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","13/266","158/9521",0.0822784810126582,2.94501284857714,4.17940624511818,0.000471700022799067,0.012548047272021,0.0112604589302119,"4174/4171/4172/4173/4175/4176/7042/1029/1026/23244/7027/4193/7040",13,"Down_res_DEq_MS_BDM_vs_BM1"
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","7/266","51/9521",0.137254901960784,4.91279669762642,4.74972496992635,0.000496505467597952,0.012548047272021,0.0112604589302119,"27329/338/255738/5360/336/3931/6272",7,"Down_res_DEq_MS_BDM_vs_BM1"
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","10/266","110/9521",0.0909090909090909,3.25393028024607,4.03078853800845,0.000983178353377455,0.0227769651865777,0.020439760504426,"7057/2331/7037/2014/7048/7042/90/7027/4052/7040",10,"Down_res_DEq_MS_BDM_vs_BM1"
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","9/266","93/9521",0.0967741935483871,3.4638612660684,4.04779974259705,0.00112242135375482,0.024002548949526,0.0215395838736754,"3675/3655/3673/3912/3915/3909/578/3914/1026",9,"Down_res_DEq_MS_BDM_vs_BM1"
