"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","36/339","183/9521",0.19672131147541,5.52502538807486,11.8759759474729,1.9699967982093e-17,5.79179058673533e-15,4.83167635771333e-15,"23586/6772/3106/64135/6891/6672/5610/5371/6890/567/684/972/3105/841/7098/4938/3678/4939/10379/3107/4940/6892/3134/3665/6773/3133/5819/55080/578/3459/56829/148022/7097/4792/7132/3717",36,"Down_res_DEq_MS_BD_vs_B1"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","31/339","205/9521",0.151219512195122,4.24708252392258,9.03036274284497,6.12442967827381e-12,9.0029116270625e-10,7.51048481598841e-10,"9636/23586/6772/3106/6891/5610/6890/567/3105/841/4938/4939/10379/3107/4940/6892/3134/958/7431/3665/6773/3066/8737/3133/55080/578/7128/965/7097/4793/4792",31,"Down_res_DEq_MS_BD_vs_B1"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","26/339","173/9521",0.15028901734104,4.22094906815353,8.2148045748659,3.83974123149066e-10,3.76294640686085e-08,3.13915686644675e-08,"4599/23586/6772/64135/5610/5371/841/7098/4938/834/4939/10379/4940/103/3665/6773/10241/578/8743/3459/148022/7113/4793/4792/7132/3717",26,"Down_res_DEq_MS_BD_vs_B1"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","37/339","333/9521",0.111111111111111,3.12061619141265,7.56873632118522,5.55945792799593e-10,4.08620157707701e-08,3.40882551900803e-08,"9636/4599/6772/3106/8638/5610/3105/841/7098/3678/10379/3107/3134/3675/3371/6773/3066/527/3655/3133/7060/10312/7057/578/3912/1311/3996/7059/148022/5526/90423/1293/1291/7148/4854/5649/7132",37,"Down_res_DEq_MS_BD_vs_B1"
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","23/339","159/9521",0.144654088050314,4.06268900391458,7.48284625429524,8.70585579972526e-09,5.11904321023845e-07,4.27045137123365e-07,"3106/6891/6890/3105/715/3678/3107/3134/4353/83547/527/3133/7060/10312/9902/7057/78989/1311/7059/1520/90423/7097/3684",23,"Down_res_DEq_MS_BD_vs_B1"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","24/339","189/9521",0.126984126984127,3.5664185044716,6.8473210972252,5.50244342130217e-08,2.69619727643806e-06,2.24924441607615e-06,"115361/6772/841/4938/10616/834/2633/4939/10379/4940/2635/3665/6773/8767/3710/5580/8737/114769/2634/7128/55072/148022/4793/4792",24,"Down_res_DEq_MS_BD_vs_B1"
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","22/339","168/9521",0.130952380952381,3.67786908273634,6.72849902658638,1.15298348507943e-07,4.84253063733361e-06,4.039776722158e-06,"6772/5610/2512/841/7098/10616/834/2495/10379/6773/197259/8737/9555/7128/8743/55072/3459/148022/55506/51510/7132/3717",22,"Down_res_DEq_MS_BD_vs_B1"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","26/339","238/9521",0.109243697478992,3.06816886046454,6.20840410268774,3.25012972017526e-07,1.19442267216441e-05,9.96421348422152e-06,"9636/4599/23586/6772/64135/5610/715/7098/4938/834/4939/10379/4940/103/6773/100293534/6129/6868/6143/1636/7097/6194/7113/4793/4792/7132",26,"Down_res_DEq_MS_BD_vs_B1"
"Human Diseases","Infectious disease: viral","hsa05162","Measles","19/339","139/9521",0.136690647482014,3.83903142972348,6.47857611209689,4.37339205472863e-07,1.42864140454468e-05,1.19181327339388e-05,"4599/23586/6772/64135/5610/841/4938/4939/10379/4940/103/3665/6773/578/7128/25898/7097/4793/4792",19,"Down_res_DEq_MS_BD_vs_B1"
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","14/339","82/9521",0.170731707317073,4.79509317217066,6.63156536727339,9.85889723312687e-07,2.8985157865393e-05,2.41802426875638e-05,"3106/6891/6890/567/972/3105/3107/6892/3134/3133/5641/55080/10437/1520",14,"Down_res_DEq_MS_BD_vs_B1"
