"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","34/392","183/9521",0.185792349726776,4.51257388201182,9.94200510970767,7.6783458220688e-14,2.34957382155305e-11,2.02869979088344e-11,"4939/6772/23586/3106/64135/5371/6891/4938/4940/6773/6890/6672/5610/3105/3107/10379/3678/3134/684/6892/841/56829/567/3665/7098/5819/972/3459/3133/6732/578/7097/148022/3717",34,"Down_res_DEq_MS_BD_vs_BM1"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","33/392","238/9521",0.138655462184874,3.36770065168925,7.66515605612628,6.7420820107582e-10,1.031538547646e-07,8.9066451826332e-08,"4939/9636/4599/6772/23586/64135/4938/4940/6773/5610/10379/834/715/103/7098/6137/6125/6143/6132/6129/6194/6124/6141/6229/6128/1675/6868/6193/7097/7113/4736/1636/5600",33,"Down_res_DEq_MS_BD_vs_BM1"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","39/392","333/9521",0.117117117117117,2.84457161242876,7.09997874043757,2.75829888936895e-09,2.81346486715633e-07,2.42923867098809e-07,"9636/4599/6772/3106/6773/7057/5610/3105/3107/10379/3655/3678/3675/3134/8638/7060/841/3912/10312/7098/5649/527/3371/7148/1291/1293/3133/1311/1292/578/148022/4854/245972/4193/3996/5526/4851/7855/1280",39,"Down_res_DEq_MS_BD_vs_BM1"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","29/392","205/9521",0.141463414634146,3.43590094574415,7.30586627624507,4.78318353857029e-09,3.65913540700627e-07,3.15941860047669e-07,"4939/9636/6772/23586/3106/6891/4938/4940/6773/6890/5610/3105/3107/7431/10379/3134/6892/841/567/958/3665/7128/8737/3133/578/7097/5600/4193/10018",29,"Down_res_DEq_MS_BD_vs_BM1"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","26/392","173/9521",0.15028901734104,3.65025952577563,7.28957163295643,8.48688821957194e-09,5.19397559037803e-07,4.48465040655275e-07,"4939/4599/6772/23586/64135/5371/4938/4940/6773/5610/10379/834/841/103/7706/3665/7098/3606/10241/3459/578/148022/7113/3838/3717/8743",26,"Down_res_DEq_MS_BD_vs_BM1"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","24/392","189/9521",0.126984126984127,3.08422416585682,5.99705274129817,8.10122221222958e-07,4.13162332823708e-05,3.56738030749057e-05,"4939/6772/115361/4938/4940/6773/2633/10379/834/841/2634/2635/10616/3665/3710/7128/8737/3606/5580/8767/55072/148022/5600/114769",24,"Down_res_DEq_MS_BD_vs_BM1"
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","15/392","89/9521",0.168539325842697,4.09352786058243,6.07571009450297,2.9731517379261e-06,0.000129969204543627,0.000112219712213451,"7057/3655/3678/3675/7060/3912/961/5649/3371/7148/1291/1293/1311/1292/1280",15,"Down_res_DEq_MS_BD_vs_BM1"
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","21/392","168/9521",0.125,3.03603316326531,5.51713899537061,5.12923024458226e-06,0.000196193056855272,0.000169399577814493,"6772/6773/2512/5610/10379/834/2495/841/10616/197259/7098/7128/8737/9555/3459/55072/51510/55506/148022/3717/8743",21,"Down_res_DEq_MS_BD_vs_BM1"
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","20/392","159/9521",0.125786163522013,3.05512771146194,5.41505613730645,7.82697968507818e-06,0.000266117309292658,0.000229774491339722,"3106/6891/6890/7057/3105/3107/3678/3134/7060/715/10312/527/83547/3133/1311/9902/7097/78989/245972/3684",20,"Down_res_DEq_MS_BD_vs_BM1"
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","12/392","72/9521",0.166666666666667,4.04804421768707,5.37953194574261,3.28149850850478e-05,0.00100413854360246,0.000867006448036527,"9636/23586/64135/841/103/7706/3665/57169/8737/64343/79132/5600",12,"Down_res_DEq_MS_BD_vs_BM1"
"Human Diseases","Infectious disease: viral","hsa05162","Measles","17/392","139/9521",0.122302158273381,2.97050726765526,4.84939578851791,5.39779131823928e-05,0.00150156740307384,0.00129650298648618,"4939/4599/6772/23586/64135/4938/4940/6773/5610/10379/841/103/3665/7128/578/7097/25898",17,"Down_res_DEq_MS_BD_vs_BM1"
