"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","14/161","73/9521",0.191780821917808,11.3412745681954,11.6321245765971,1.38229259040542e-11,3.23456466154868e-09,2.69183293921055e-09,"2944/125/130/126/2326/7366/2329/1576/1548/1559/1549/1571/2330/1557",14,"Up_BD_vs_res_DEq_MS_B1"
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","7/161","17/9521",0.411764705882353,24.3503836317136,12.6374297626519,5.85462550606527e-09,6.84991184209637e-07,5.7005564138004e-07,"1109/570/6342/9420/80270/51302/6718",7,"Up_BD_vs_res_DEq_MS_B1"
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","10/161","68/9521",0.147058823529412,8.69656558275484,8.35333867420975,1.80837979110164e-07,1.41053623705928e-05,1.1738605661537e-05,"125/130/126/1562/7366/1576/1548/1559/1549/157506",10,"Up_BD_vs_res_DEq_MS_B1"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","10/161","79/9521",0.126582278481013,7.48565138768771,7.59151818167003,7.63902673449429e-07,4.46883063967916e-05,3.71899985758275e-05,"2944/125/130/126/7366/1576/1548/1559/1549/1571",10,"Up_BD_vs_res_DEq_MS_B1"
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","7/161","35/9521",0.2,11.8273291925466,8.4160303130193,1.56699686075566e-06,7.33354530833648e-05,6.10304040504835e-05,"230/229/26007/5372/5207/3795/51171",7,"Up_BD_vs_res_DEq_MS_B1"
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","9/161","71/9521",0.126760563380282,7.49619455865628,7.20552752198246,2.74617658538755e-06,0.000107100886830114,8.91302926836309e-05,"2944/1562/7366/1576/1548/1559/1549/1571/1557",9,"Up_BD_vs_res_DEq_MS_B1"
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","5/161","17/9521",0.294117647058824,17.3931311655097,8.87210449993216,6.82228622488324e-06,0.000228059282374668,0.000189792925053143,"570/2326/2329/1036/2330",5,"Up_BD_vs_res_DEq_MS_B1"
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","7/161","47/9521",0.148936170212766,8.80758556891767,7.03707985441981,1.2360171715163e-05,0.000361535022668519,0.000300872600961206,"134526/125/130/5313/126/32/31",7,"Up_BD_vs_res_DEq_MS_B1"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","8/161","75/9521",0.106666666666667,6.30790890269151,6.05234407396735,3.6241993522256e-05,0.000942291831578656,0.000784183485569282,"48/230/229/5313/5053/2752/1491/26227",8,"Up_BD_vs_res_DEq_MS_B1"
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","6/161","39/9521",0.153846153846154,9.09794553272814,6.6458520259489,4.37873094017893e-05,0.000959311287416965,0.000798347225245787,"27232/10840/635/1719/1491/10841",6,"Up_BD_vs_res_DEq_MS_B1"
