"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","10/40","89/9521",0.112359550561798,26.7443820224719,15.8488215384063,2.04505074797351e-12,2.24955582277086e-10,1.65756744835748e-10,"7057/7060/3915/375790/3912/3339/1292/1311/1291/2335",10,"Up_DM_vs_res_DEq_MS_B2"
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","10/40","154/9521",0.0649350649350649,15.4561688311688,11.747209350338,5.11146414073361e-10,2.81130527740349e-08,2.07148809913941e-08,"7057/7060/3915/3912/1292/2266/2243/1311/1291/2335",10,"Up_DM_vs_res_DEq_MS_B2"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","10/40","233/9521",0.0429184549356223,10.2156652360515,9.25049439001557,2.82899232373667e-08,1.03729718537011e-06,7.6432424185166e-07,"7057/7060/375790/3339/1292/1158/1311/1291/1674/2335",10,"Up_DM_vs_res_DEq_MS_B2"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","8/40","203/9521",0.0394088669950739,9.38029556650246,7.83912155211832,1.59261321095283e-06,4.37968633012027e-05,3.2271372958781e-05,"7057/7060/3915/3912/1292/1311/1291/2335",8,"Up_DM_vs_res_DEq_MS_B2"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","9/40","333/9521",0.027027027027027,6.43310810810811,6.55513087286959,7.36810052535439e-06,0.000162098211557797,0.00011944078746364,"7057/7060/3915/3912/1292/1026/1311/1291/2335",9,"Up_DM_vs_res_DEq_MS_B2"
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","9/40","362/9521",0.0248618784530387,5.91774861878453,6.19609370971793,1.44465911887288e-05,0.000264854171793361,0.00019515570553195,"7057/7060/3915/3912/1292/1026/1311/1291/2335",9,"Up_DM_vs_res_DEq_MS_B2"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","5/40","88/9521",0.0568181818181818,13.5241477272727,7.66630329883625,3.06775478661015e-05,0.000482075752181595,0.000355213712133807,"727/5648/2266/2243/732",5,"Up_DM_vs_res_DEq_MS_B2"
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","5/40","93/9521",0.0537634408602151,12.7970430107527,7.42550930645533,4.00775928168123e-05,0.000551066901231168,0.000406049295644019,"3915/1643/3912/1026/2335",5,"Up_DM_vs_res_DEq_MS_B2"
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","6/40","159/9521",0.0377358490566038,8.98207547169811,6.5925202142438,4.73639138131649e-05,0.000578892279938682,0.000426552206270608,"7057/7060/4353/78989/9902/1311",6,"Up_DM_vs_res_DEq_MS_B2"
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","4/40","75/9521",0.0533333333333333,12.6946666666667,6.60413443499403,0.000261863293656962,0.00288049623022658,0.00212247090648275,"7057/1643/50484/1026",4,"Up_DM_vs_res_DEq_MS_B2"
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","4/40","102/9521",0.0392156862745098,9.3343137254902,5.49653412250808,0.000843872713768977,0.00802379835761008,0.00591227247402848,"3880/727/5648/2266",4,"Up_DM_vs_res_DEq_MS_B2"
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","4/40","103/9521",0.0388349514563107,9.24368932038835,5.46364259347835,0.000875323457193827,0.00802379835761008,0.00591227247402848,"3915/3912/732/2335",4,"Up_DM_vs_res_DEq_MS_B2"
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","3/40","50/9521",0.06,14.2815,6.11583284589952,0.00117438782102606,0.00993712771637437,0.00732209410680217,"7057/7060/1311",3,"Up_DM_vs_res_DEq_MS_B2"
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","5/40","196/9521",0.0255102040816327,6.07206632653061,4.66025773662497,0.00128725797487844,0.0101141698026163,0.00745254617034885,"4353/727/2266/2243/3014",5,"Up_DM_vs_res_DEq_MS_B2"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","5/40","204/9521",0.0245098039215686,5.83394607843137,4.53315150581734,0.00153732426921277,0.0112737113075603,0.00830694517399179,"7057/3339/2719/1026/2335",5,"Up_DM_vs_res_DEq_MS_B2"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","5/40","238/9521",0.0210084033613445,5.00052521008403,4.05959502315842,0.00301525392499473,0.0207298707343388,0.0152746415937233,"727/5648/2266/2243/732",5,"Up_DM_vs_res_DEq_MS_B2"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","3/40","81/9521",0.037037037037037,8.81574074074074,4.58826035737193,0.00467285807858229,0.0302361405084736,0.0222792614272964,"4353/50484/221357",3,"Up_DM_vs_res_DEq_MS_B2"
