"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","19/199","89/9521",0.213483146067416,10.2139348427531,12.7593545972729,1.61002597077064e-14,4.15386700458824e-12,3.72848119546884e-12,"3675/3679/3673/7057/7060/3655/3912/5649/1291/960/80144/7059/1311/1293/3918/7148/3914/1292/3909",19,"Up_res_DEq_MS_B2_vs_BDM"
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","20/199","154/9521",0.12987012987013,6.21353520851008,9.52977998613701,5.36876496990825e-11,6.92570681118164e-09,6.21646470199902e-09,"3675/3679/3673/7057/7060/3655/3912/5649/1291/80144/7059/29780/1311/1293/83706/3918/7148/3914/1292/3909",20,"Up_res_DEq_MS_B2_vs_BDM"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","20/199","203/9521",0.0985221674876847,4.71371636507661,7.81422407262687,7.59746808768784e-09,6.53382255541154e-07,5.86471220803974e-07,"3675/10398/3679/3673/7057/7060/3655/3912/5649/1291/7059/29780/1311/1293/3918/7148/3914/1292/3909/23396",20,"Up_res_DEq_MS_B2_vs_BDM"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","21/199","333/9521",0.0630630630630631,3.01720313278102,5.47459152234271,5.95577723772948e-06,0.000336591513975048,0.000302122125966995,"3675/3679/527/3673/7057/7060/3655/537/3912/5649/10312/1291/4854/7059/1311/1293/3918/7148/3914/1292/3909",21,"Up_res_DEq_MS_B2_vs_BDM"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","17/199","233/9521",0.0729613733905579,3.49078008066081,5.62396622906779,7.24020623712175e-06,0.000336591513975048,0.000302122125966995,"7431/3675/10398/3679/2318/3673/7057/7060/3655/27063/1291/7059/4811/22795/1311/1293/1292",17,"Up_res_DEq_MS_B2_vs_BDM"
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","7/199","36/9521",0.194444444444444,9.30304299274149,7.29222957224627,7.82770962732669e-06,0.000336591513975048,0.000302122125966995,"4175/4171/4174/4172/4173/4176/2237",7,"Up_res_DEq_MS_B2_vs_BDM"
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","8/199","51/9521",0.156862745098039,7.50497585969061,6.80528395050852,9.3208891496627e-06,0.000343541342944711,0.000308360242545232,"27329/336/338/51129/6272/3931/255738/5360",8,"Up_res_DEq_MS_B2_vs_BDM"
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","12/199","159/9521",0.0754716981132075,3.61088461173793,4.85056563333612,0.000120979342296181,0.00390158378905183,0.00350203359278418,"7037/527/3673/7057/7060/9902/10381/537/10312/7059/1311/78989",12,"Up_res_DEq_MS_B2_vs_BDM"
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","19/199","362/9521",0.0524861878453039,2.51116077625698,4.28283547545455,0.000200642276119984,0.00575174524877288,0.00516272523349667,"3675/3679/1969/3673/7057/7060/3655/3912/5649/1291/7059/1311/1293/3918/7148/3914/1292/3909/2247",19,"Up_res_DEq_MS_B2_vs_BDM"
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome","10/199","133/9521",0.075187969924812,3.59730985755847,4.40710610760764,0.000460199558102487,0.0118731485990442,0.0106572529244786,"527/537/1201/54/967/10312/26503/2629/84572/6272",10,"Up_res_DEq_MS_B2_vs_BDM"
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","6/199","50/9521",0.12,5.74130653266332,4.9110638550062,0.000571234416713854,0.0133980435920159,0.0120259877202917,"3606/7057/7060/7059/7042/1311",6,"Up_res_DEq_MS_B2_vs_BDM"
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","7/199","71/9521",0.0985915492957746,4.71703588364357,4.59304274227291,0.000672678849595244,0.0144625952662977,0.0129815216588556,"80201/2744/2539/8140/3098/5213/6513",7,"Up_res_DEq_MS_B2_vs_BDM"
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","7/199","76/9521",0.0921052631578947,4.40670457550912,4.35643011864342,0.00101292823287392,0.0201027295447286,0.0180440656868229,"336/2182/10873/729359/51129/5467/5360",7,"Up_res_DEq_MS_B2_vs_BDM"
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","6/199","59/9521",0.101694915254237,4.86551401073162,4.35143247711916,0.00138648978524796,0.0255510260424267,0.0229344175003422,"2950/2539/2940/6240/2878/221357",6,"Up_res_DEq_MS_B2_vs_BDM"
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","8/199","110/9521",0.0727272727272727,3.47957971676565,3.82161553839383,0.00209902997980867,0.0361033156527091,0.0324060768812566,"2331/7037/7057/2014/7042/57817/650/91",8,"Up_res_DEq_MS_B2_vs_BDM"
