"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","17/205","73/9521",0.232876712328767,10.815703307718,12.4880197055672,1.44703798237773e-13,3.74782837435832e-11,3.15301960370727e-11,"125/126/2944/130/2326/1559/1548/1571/2329/1576/7366/1557/1544/1558/2330/1549/1555",17,"Up_res_DEq_MS_BD_vs_B2"
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","14/205","68/9521",0.205882352941176,9.56197991391678,10.5105271129383,1.30823352599191e-10,1.69416241615952e-08,1.42528599937013e-08,"125/1562/126/130/1559/1548/1576/7366/157506/1544/1558/1549/8630/1555",14,"Up_res_DEq_MS_BD_vs_B2"
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","7/205","17/9521",0.411764705882353,19.1239598278336,11.0944302096805,3.13780292790987e-08,2.70896986109552e-06,2.27903581079769e-06,"570/1109/80270/9420/6718/51302/10998",7,"Up_res_DEq_MS_BD_vs_B2"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","12/205","79/9521",0.151898734177215,7.05476999073788,8.01603975076367,1.03945802988119e-07,6.73049074348071e-06,5.66231084698438e-06,"125/126/2944/130/1559/1548/1571/1576/7366/1544/1549/1555",12,"Up_res_DEq_MS_BD_vs_B2"
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","11/205","71/9521",0.154929577464789,7.19553418069392,7.77271407597547,2.91629803449817e-07,1.51064238187005e-05,1.27089198556026e-05,"1562/2944/1559/1548/1571/1576/7366/1557/1544/1558/1549",11,"Up_res_DEq_MS_BD_vs_B2"
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","8/205","47/9521",0.170212765957447,7.90534509600415,7.03960499818387,6.15996733878926e-06,0.00026590525679107,0.000223704077040242,"5313/134526/125/126/10327/130/3939/32",8,"Up_res_DEq_MS_BD_vs_B2"
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","7/205","35/9521",0.2,9.28878048780488,7.28725161503042,7.80394700943566e-06,0.000266869466376019,0.000224515259255582,"230/229/3795/26007/5372/5207/51171",7,"Up_res_DEq_MS_BD_vs_B2"
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","9/205","64/9521",0.140625,6.5311737804878,6.58584129286656,8.2430723204948e-06,0.000266869466376019,0.000224515259255582,"1109/9420/6718/1571/1576/7366/1544/6716/8630",9,"Up_res_DEq_MS_BD_vs_B2"
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","9/205","67/9521",0.134328358208955,6.23873316345104,6.38317197379343,1.2103142329487e-05,0.000348301540370793,0.000293023445871791,"230/5313/229/125/126/10327/130/3939/2645",9,"Up_res_DEq_MS_BD_vs_B2"
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","7/205","39/9521",0.179487179487179,8.33608505315822,6.80969013816468,1.65926761704038e-05,0.000429750312813458,0.000361545680765641,"27232/10840/6470/635/10841/1491/1719",7,"Up_res_DEq_MS_BD_vs_B2"
"Organismal Systems","Digestive system","hsa04976","Bile secretion","10/205","90/9521",0.111111111111111,5.16043360433604,5.88249602864657,2.19610686567202e-05,0.00047672958653817,0.000401068987658611,"570/10864/6580/8671/1576/7366/5244/486/6554/10998",10,"Up_res_DEq_MS_BD_vs_B2"
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","5/205","17/9521",0.294117647058824,13.6599713055954,7.74969539994146,2.20878572913438e-05,0.00047672958653817,0.000401068987658611,"570/2326/2329/2330/1036",5,"Up_res_DEq_MS_BD_vs_B2"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","9/205","75/9521",0.12,5.57326829268293,5.89812545721321,3.06399549172952e-05,0.000610442178736881,0.000513560377966,"48/230/5313/229/2752/6470/26227/1491/5053",9,"Up_res_DEq_MS_BD_vs_B2"
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","6/205","30/9521",0.2,9.28878048780488,6.74490665642306,3.57090644592797e-05,0.000660617692496675,0.000555772657373752,"1559/1571/1576/1557/1544/1558",6,"Up_res_DEq_MS_BD_vs_B2"
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","10/205","107/9521",0.0934579439252336,4.34055162981536,5.15470297085958,9.82029202499023e-05,0.00169563708964831,0.00142652663099858,"5261/3939/32/5207/5256/810/5257/2998/23235/2645",10,"Up_res_DEq_MS_BD_vs_B2"
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","11/205","138/9521",0.0797101449275362,3.70205019441499,4.74288683160047,0.000186224813308159,0.00301451416542583,0.00253608791807822,"2194/5313/5261/32/5256/810/5257/2998/5507/6199/2645",11,"Up_res_DEq_MS_BD_vs_B2"
