"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","17/188","73/9521",0.232876712328767,11.7937190323521,13.1386082189185,3.43197332486809e-14,9.02608984440308e-12,7.58646734970841e-12,"316/1559/125/126/2944/1558/1548/1571/1555/2330/130/2329/1576/2326/2948/1557/1549",17,"Up_res_DEq_MS_BD_vs_BM1"
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","9/188","35/9521",0.257142857142857,13.0226443768997,10.1129818787331,1.70862955518549e-08,1.51032173612504e-06,1.26943191749553e-06,"230/229/3795/5207/26007/5211/197258/5372/51171",9,"Up_res_DEq_MS_BD_vs_BM1"
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","7/188","17/9521",0.411764705882353,20.8532540675845,11.6275900926498,1.72280045945821e-08,1.51032173612504e-06,1.26943191749553e-06,"570/80270/6718/1109/9420/6342/51302",7,"Up_res_DEq_MS_BD_vs_BM1"
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","11/188","68/9521",0.161764705882353,8.19234981226533,8.4474804471064,7.64172609652728e-08,5.02443490846669e-06,4.22305915860718e-06,"316/1559/125/126/1558/1548/1555/1562/130/1576/1549",11,"Up_res_DEq_MS_BD_vs_BM1"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","11/188","79/9521",0.139240506329114,7.05164287638028,7.6655197113337,3.72931394156305e-07,1.96161913326217e-05,1.64874932153314e-05,"1559/125/126/2944/1548/1571/1555/130/1576/2948/1549",11,"Up_res_DEq_MS_BD_vs_BM1"
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","8/188","39/9521",0.205128205128205,10.3884342607747,8.33800715671858,7.25495940230476e-07,3.18009053801025e-05,2.67287977979649e-05,"635/27232/10841/10840/23743/1491/6470/1719",8,"Up_res_DEq_MS_BD_vs_BM1"
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","10/188","71/9521",0.140845070422535,7.1329038058136,7.3614978380155,1.15244476785398e-06,4.32989962779422e-05,3.63929926690729e-05,"1559/2944/1558/1548/1571/1562/1576/2948/1557/1549",10,"Up_res_DEq_MS_BD_vs_BM1"
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","9/188","67/9521",0.134328358208955,6.80287392823119,6.76487075333062,6.00230686755279e-06,0.000197325838270798,0.000165853216077117,"230/229/125/5313/126/130/3939/2645/5211",9,"Up_res_DEq_MS_BD_vs_BM1"
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","5/188","17/9521",0.294117647058824,14.8951814768461,8.13808526933357,1.45237585876703e-05,0.000404797566221393,0.00034023409608362,"570/2330/2329/2326/1036",5,"Up_res_DEq_MS_BD_vs_BM1"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","9/188","75/9521",0.12,6.07723404255319,6.26499329151656,1.53915424418781e-05,0.000404797566221393,0.00034023409608362,"48/230/229/5313/26227/5053/1491/6470/5211",9,"Up_res_DEq_MS_BD_vs_BM1"
