"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","10/93","73/9520",0.136986301369863,14.0226837531301,11.0934173144094,1.81136921632483e-09,2.57214428718126e-07,1.94483852700139e-07,"126/1544/125/1576/1557/1559/2329/1548/1558/2326",10,"Upres_DEq_MS_D_vs_BD"
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","7/93","52/9520",0.134615384615385,13.7799834574028,9.17810925134922,6.32078199399623e-07,4.48775521573732e-05,3.3932619125664e-05,"26227/1491/883/6898/27232/3939/1036",7,"Upres_DEq_MS_D_vs_BD"
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","7/93","68/9520",0.102941176470588,10.5376344086022,7.83941499501271,4.0347515995973e-06,0.000190978242380939,0.000144401636196114,"126/1544/125/1576/1559/1548/1558",7,"Upres_DEq_MS_D_vs_BD"
"hsa00591","Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","5/93","30/9520",0.166666666666667,17.0609318996416,8.75081788872269,9.3795729237203e-06,0.000332974838792071,0.000251767483741966,"1544/1576/1557/1559/1558",5,"Upres_DEq_MS_D_vs_BD"
"hsa00120","Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","4/93","17/9520",0.235294117647059,24.0860215053763,9.46223165098241,1.84295357608547e-05,0.000436165679673561,0.000329791692562663,"9420/80270/570/51302",4,"Upres_DEq_MS_D_vs_BD"
"hsa00430","Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","4/93","17/9520",0.235294117647059,24.0860215053763,9.46223165098241,1.84295357608547e-05,0.000436165679673561,0.000329791692562663,"2329/570/1036/2326",4,"Upres_DEq_MS_D_vs_BD"
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","7/93","90/9520",0.0777777777777778,7.96176821983274,6.59075780456834,2.61241086716028e-05,0.000529946204481085,0.00040070061421105,"1576/8671/64241/6580/570/486/10864",7,"Upres_DEq_MS_D_vs_BD"
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","6/93","67/9520",0.0895522388059701,9.16706788637458,6.66298939601855,4.56491976291039e-05,0.00080538834584683,0.00060896672554764,"126/125/2821/229/3939/230",6,"Upres_DEq_MS_D_vs_BD"
"hsa00380","Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","5/93","42/9520",0.119047619047619,12.1863799283154,7.21616147114446,5.10457402297287e-05,0.00080538834584683,0.00060896672554764,"1544/883/125061/130013/64577",5,"Upres_DEq_MS_D_vs_BD"
"hsa05204","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","6/93","71/9520",0.0845070422535211,8.65061335756474,6.42662395327392,6.34925728016879e-05,0.000846295638569226,0.000639897369414834,"1544/1576/1557/1559/1548/1558",6,"Upres_DEq_MS_D_vs_BD"
