"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-1474244","Extracellular matrix organization","30/237","280/10173",0.107142857142857,4.59900542495479,9.43124593123971,2.0462705663448e-12,1.42625058474232e-09,1.29022744130582e-09,"5054/2331/3679/3673/1303/3655/3912/8754/5118/1291/59277/960/977/4811/4237/7042/1306/4324/1311/1293/22795/3918/3914/4148/3909/1292/650/4684/4239/2247",30,"Down_BDM_vs_B2"
"R-HSA-3000157","Laminin interactions","9/237","24/10173",0.375,16.0965189873418,11.435163262454,1.67552991797042e-09,4.56455943890265e-07,4.12923220403638e-07,"3679/3673/3655/3912/4811/22795/3918/3914/3909",9,"Down_BDM_vs_B2"
"R-HSA-3000178","ECM proteoglycans","13/237","64/10173",0.203125,8.71894778481013,9.56677476295983,1.96465972980028e-09,4.56455943890265e-07,4.12923220403638e-07,"5054/2331/3679/3673/3912/1291/7042/1311/1293/4148/3909/1292/4684",13,"Down_BDM_vs_B2"
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","11/237","53/10173",0.207547169811321,8.90876522569859,8.91513490672853,2.80027528551134e-08,4.87947968500352e-06,4.41411814742446e-06,"1303/3655/5118/1291/977/1306/1293/3918/3914/3909/1292",11,"Down_BDM_vs_B2"
"R-HSA-9734767","Developmental Cell Lineages","16/237","138/10173",0.115942028985507,4.97670152265639,7.26399284457835,1.21541609755041e-07,1.69429003998527e-05,1.53270366827936e-05,"306/7431/3880/7037/3855/4240/301/3655/3912/960/3918/3914/1264/3909/9429/2247",16,"Down_BDM_vs_B2"
"R-HSA-1474290","Collagen formation","11/237","80/10173",0.1375,5.90205696202532,6.79805646710187,2.21192366613498e-06,0.000256951799216013,0.000232446013335939,"1303/3655/5118/1291/977/1306/1293/3918/3914/3909/1292",11,"Down_BDM_vs_B2"
"R-HSA-176974","Unwinding of DNA","5/237","11/10173",0.454545454545455,19.5109321058688,9.48651270196582,2.71119375998687e-06,0.000269957435815836,0.000244211287553705,"4175/4171/4174/4172/4173",5,"Down_BDM_vs_B2"
"R-HSA-9925563","Developmental Lineage of Pancreatic Ductal Cells","8/237","42/10173",0.19047619047619,8.17600964436407,7.19702578381426,4.59108357904919e-06,0.00039999815682466,0.000361849876822429,"306/3880/3855/301/3912/3918/3914/3909",8,"Down_BDM_vs_B2"
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","12/237","108/10173",0.111111111111111,4.76933895921238,6.08193450161358,7.47660100309145e-06,0.000535627960991765,0.000484544512020037,"4240/3491/174/11098/338/3698/3912/5768/11167/3483/336/4148",12,"Down_BDM_vs_B2"
"R-HSA-8957275","Post-translational protein phosphorylation","11/237","91/10173",0.120879120879121,5.1886215050772,6.19854880590579,7.97513964256044e-06,0.000535627960991765,0.000484544512020037,"4240/3491/174/11098/338/3698/3912/5768/11167/336/4148",11,"Down_BDM_vs_B2"
"R-HSA-1474228","Degradation of the extracellular matrix","13/237","128/10173",0.1015625,4.35947389240506,5.90707985630418,8.4532389826534e-06,0.000535627960991765,0.000484544512020037,"1303/3912/8754/1291/960/4811/1306/4324/1293/3918/3914/3909/1292",13,"Down_BDM_vs_B2"
"R-HSA-69190","DNA strand elongation","6/237","30/10173",0.2,8.58481012658228,6.42530407577975,5.57413677740983e-05,0.00323764444487888,0.00292886660497236,"4175/4171/4174/4172/4173/2237",6,"Down_BDM_vs_B2"
"R-HSA-8963899","Plasma lipoprotein remodeling","6/237","31/10173",0.193548387096774,8.30788076766027,6.29335244516487,6.77844570018067e-05,0.00363428973309687,0.00328768338008763,"27329/338/51129/336/3931/5360",6,"Down_BDM_vs_B2"
"R-HSA-9820448","Developmental Cell Lineages of the Exocrine Pancreas","9/237","78/10173",0.115384615384615,4.95277507302824,5.41212475771821,7.81770442197187e-05,0.00389209998722457,0.00352090597651214,"306/3880/3855/301/3912/3918/3914/3909/2247",9,"Down_BDM_vs_B2"
"R-HSA-9924644","Developmental Lineages of the Mammary Gland","6/237","33/10173",0.181818181818182,7.80437284234753,6.04641082823503,9.80681898769849e-05,0.00454052210117921,0.00410748733460145,"7431/3880/4240/3655/960/1264",6,"Down_BDM_vs_B2"
"R-HSA-3000171","Non-integrin membrane-ECM interactions","8/237","64/10173",0.125,5.36550632911392,5.41055814098059,0.000110744441492176,0.00454052210117921,0.00410748733460145,"3673/3655/3912/59277/3918/3914/3909/2247",8,"Down_BDM_vs_B2"
"R-HSA-9734779","Developmental Cell Lineages of the Integumentary System","8/237","64/10173",0.125,5.36550632911392,5.41055814098059,0.000110744441492176,0.00454052210117921,0.00410748733460145,"7431/3880/7037/4240/3655/960/1264/9429",8,"Down_BDM_vs_B2"
"R-HSA-8874081","MET activates PTK2 signaling","5/237","23/10173",0.217391304347826,9.33131535498074,6.1775465666268,0.000157038735315111,0.00608088880636847,0.0055009475119153,"3673/3912/3918/3914/3909",5,"Down_BDM_vs_B2"
"R-HSA-216083","Integrin cell surface interactions","8/237","69/10173",0.115942028985507,4.97670152265639,5.11885030773553,0.000189301900422186,0.00694439076811915,0.00628209630763931,"3679/3673/3655/1291/960/1311/1293/1292",8,"Down_BDM_vs_B2"
"R-HSA-1442490","Collagen degradation","7/237","59/10173",0.11864406779661,5.09268397339627,4.86905072905891,0.000414489130055937,0.0144449461824494,0.0130673152054477,"1303/8754/1291/1306/4324/1293/1292",7,"Down_BDM_vs_B2"
"R-HSA-2022854","Keratan sulfate biosynthesis","5/237","29/10173",0.172413793103448,7.40069838498472,5.33081116670118,0.000494509521641374,0.0164130065040018,0.0148476793715881,"2331/4969/11041/4958/11046",5,"Down_BDM_vs_B2"
"R-HSA-9927432","Developmental Lineage of Mammary Gland Myoepithelial Cells","4/237","17/10173",0.235294117647059,10.0997766195086,5.79916416846605,0.000538244954748452,0.0170525787936214,0.0154262549231733,"7431/3655/960/1264",4,"Down_BDM_vs_B2"
"R-HSA-68962","Activation of the pre-replicative complex","5/237","30/10173",0.166666666666667,7.15400843881857,5.21323208418156,0.000582263152414829,0.0176451050970929,0.0159622713179168,"4175/4171/4174/4172/4173",5,"Down_BDM_vs_B2"
