"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-211945","Phase I - Functionalization of compounds","17/161","104/10173",0.163461538461538,10.3285355948399,12.1253048288563,4.39112221262785e-13,1.53250165220712e-10,1.28035879252412e-10,"126/1558/1559/127/1571/1579/125/1582/130/1555/124/8529/1557/2326/66002/51302/284541",17,"Down_BM1_vs_BDM"
"R-HSA-211859","Biological oxidations","21/161","209/10173",0.100478468899522,6.34886623673809,9.90771976346548,1.19830358926565e-11,2.09103976326855e-09,1.74700049592939e-09,"126/2944/1558/1559/127/1571/1579/125/1582/130/1555/27284/2938/124/8529/1557/2326/84836/66002/51302/284541",21,"Down_BM1_vs_BDM"
"R-HSA-71291","Metabolism of amino acids and derivatives","24/161","339/10173",0.0707964601769911,4.47336887813994,8.24786130041716,6.00600147075743e-10,6.98698171098115e-08,5.8374119557888e-08,"635/27232/10841/875/1644/26227/23743/1491/130013/125061/1428/6470/85007/27165/131669/443/23498/8424/383/2326/6898/162417/1036/6167",24,"Down_BM1_vs_BDM"
"R-HSA-211897","Cytochrome P450 - arranged by substrate type","11/161","65/10173",0.169230769230769,10.6930721452461,9.94125468630866,4.74504601444554e-09,4.14005264760374e-07,3.45888880526688e-07,"1558/1559/1571/1579/1582/1555/8529/1557/66002/51302/284541",11,"Down_BM1_vs_BDM"
"R-HSA-2142753","Arachidonate metabolism","10/161","56/10173",0.178571428571429,11.2832741792369,9.78487421606647,1.41864246750552e-08,9.90212442318855e-07,8.272925547348e-07,"1558/3248/1559/1579/247/1582/2877/8529/1557/284541",10,"Down_BM1_vs_BDM"
"R-HSA-193775","Synthesis of bile acids and bile salts via 24-hydroxycholesterol","6/161","13/10173",0.461538461538462,29.1629240324893,12.8842237772233,2.24141930360383e-08,1.30375889492956e-06,1.08925113526011e-06,"6718/1109/1582/80270/10998/51302",6,"Down_BM1_vs_BDM"
"R-HSA-9748784","Drug ADME","12/161","99/10173",0.121212121212121,7.65894974590627,8.44263579390461,4.6102180624325e-08,2.29852300541277e-06,1.9203464711185e-06,"2944/1558/1559/1571/7498/5105/2938/124/1557/6580/11309/10864",12,"Down_BM1_vs_BDM"
"R-HSA-194068","Bile acid and bile salt metabolism","8/161","41/10173",0.195121951219512,12.3290410543857,9.21707628005476,2.02734342237465e-07,8.84428568010942e-06,7.38913326312866e-06,"6718/1109/1582/80270/570/10998/51302/6554",8,"Down_BM1_vs_BDM"
"R-HSA-211999","CYP2E1 reactions","5/161","11/10173",0.454545454545455,28.7210615471485,11.6646657241099,3.99224897417509e-07,1.32298880928933e-05,1.10531714725726e-05,"1558/1559/1571/1555/1557",5,"Down_BM1_vs_BDM"
"R-HSA-5661231","Metallothioneins bind metals","5/161","11/10173",0.454545454545455,28.7210615471485,11.6646657241099,3.99224897417509e-07,1.32298880928933e-05,1.10531714725726e-05,"4494/4495/4496/4501/4504",5,"Down_BM1_vs_BDM"
"R-HSA-192105","Synthesis of bile acids and bile salts","7/161","31/10173",0.225806451612903,14.2678821879383,9.38158771967569,4.16987876853372e-07,1.32298880928933e-05,1.10531714725726e-05,"6718/1109/1582/80270/570/10998/51302",7,"Down_BM1_vs_BDM"
"R-HSA-193368","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","6/161","21/10173",0.285714285714286,18.0532386867791,9.91965132159852,6.38132628704012e-07,1.68430063319366e-05,1.407182251228e-05,"6718/1109/1582/80270/570/10998",6,"Down_BM1_vs_BDM"
"R-HSA-211979","Eicosanoids","5/161","12/10173",0.416666666666667,26.3276397515528,11.1319900890122,6.75650683802615e-07,1.68430063319366e-05,1.407182251228e-05,"1579/1582/8529/66002/284541",5,"Down_BM1_vs_BDM"
"R-HSA-71384","Ethanol oxidation","5/161","12/10173",0.416666666666667,26.3276397515528,11.1319900890122,6.75650683802615e-07,1.68430063319366e-05,1.407182251228e-05,"126/127/125/130/124",5,"Down_BM1_vs_BDM"
