"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-3000178","ECM proteoglycans","8/47","64/10173",0.125,27.0558510638298,14.2453884090206,4.05065879197497e-10,7.29118582555495e-08,4.13593581917445e-08,"3912/4148/1292/3911/3915/1311/2331/1291",8,"Down_BM1_vs_DM"
"R-HSA-1474244","Extracellular matrix organization","12/47","280/10173",0.0428571428571429,9.27629179331307,9.56718007292513,3.30657135584265e-09,2.97591422025839e-07,1.68809169219335e-07,"2266/2244/3912/4148/1292/4811/3911/3915/3689/1311/2331/1291",12,"Down_BM1_vs_DM"
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","7/47","108/10173",0.0648148148148148,14.0289598108747,9.27358967207133,5.54123179339147e-07,3.02943146517641e-05,1.71844942761469e-05,"2266/3912/116519/3483/4148/2719/3915",7,"Down_BM1_vs_DM"
"R-HSA-216083","Integrin cell surface interactions","6/47","69/10173",0.0869565217391304,18.8214616096207,10.1193901234855,6.73206992261424e-07,3.02943146517641e-05,1.71844942761469e-05,"2266/2244/1292/3689/1311/1291",6,"Down_BM1_vs_DM"
"R-HSA-9925563","Developmental Lineage of Pancreatic Ductal Cells","5/47","42/10173",0.119047619047619,25.7674772036474,10.957548526665,1.26630826474837e-06,4.55870975309415e-05,2.585934772223e-05,"3880/3912/301/3911/3915",5,"Down_BM1_vs_DM"
"R-HSA-9824439","Bacterial Infection Pathways","6/47","85/10173",0.0705882352941176,15.2785982478098,9.0058693741378,2.32361415106748e-06,6.97084245320244e-05,3.95422057286922e-05,"3912/4057/3911/3915/11151/3043",6,"Down_BM1_vs_DM"
"R-HSA-8957275","Post-translational protein phosphorylation","6/47","91/10173",0.0659340659340659,14.2712181435586,8.66345812734575,3.46850545881549e-06,8.91901403695411e-05,5.05932375195642e-05,"2266/3912/116519/4148/2719/3915",6,"Down_BM1_vs_DM"
"R-HSA-3000157","Laminin interactions","4/47","24/10173",0.166666666666667,36.0744680851064,11.7197468620264,3.97132029792115e-06,8.93547067032258e-05,5.06865880129409e-05,"3912/4811/3911/3915",4,"Down_BM1_vs_DM"
"R-HSA-114608","Platelet degranulation","6/47","104/10173",0.0576923076923077,12.4873158756137,8.02186235522287,7.54792028034616e-06,0.000150958405606923,8.56313762799506e-05,"2266/2244/3959/2162/7078/1893",6,"Down_BM1_vs_DM"
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","6/47","109/10173",0.055045871559633,11.9145032207691,7.80485881711006,9.90001489894055e-06,0.00017820026818093,0.00010108436265234,"2266/2244/3959/2162/7078/1893",6,"Down_BM1_vs_DM"
