"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-909733","Interferon alpha/beta signaling","29/224","67/10173",0.432835820895522,19.657316098081,22.9897576670038,5.27938478527356e-31,2.44435515558166e-28,2.05618144268549e-28,"3434/4599/3433/6772/3437/4939/25939/9636/3669/4940/8638/5610/6773/3105/3665/10379/684/2634/24138/2537/3134/3106/3107/10410/91543/11274/54739/10581/4600",29,"Down_D_vs_BDM"
"R-HSA-913531","Interferon Signaling","43/224","229/10173",0.187772925764192,8.52774095446039,17.2877836357123,2.15384109776332e-28,4.98614214132208e-26,4.19432213774961e-26,"3434/4599/3433/6772/3437/4939/25939/9636/3669/4940/8638/64135/2633/5610/6773/9246/7318/3105/6737/3665/10379/684/115361/9830/2634/24138/2537/10561/10475/3134/3106/2635/3107/10410/10964/91543/4502/11274/54739/51191/388646/10581/4600",43,"Down_D_vs_BDM"
"R-HSA-877300","Interferon gamma signaling","18/224","81/10173",0.222222222222222,10.0922619047619,12.3271674441121,1.0007611653296e-13,1.54450806515868e-11,1.2992337935858e-11,"4939/4940/8638/2633/3105/6737/3665/10379/115361/9830/2634/10475/3134/3106/2635/3107/4502/388646",18,"Down_D_vs_BDM"
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","8/224","17/10173",0.470588235294118,21.3718487394958,12.6133668479786,9.99957992632984e-10,1.15745137647268e-07,9.73643308616327e-08,"9636/64135/9246/7318/2537/10561/10964/51191",8,"Down_D_vs_BDM"
"R-HSA-8956319","Nucleotide catabolism","9/224","35/10173",0.257142857142857,11.6781887755102,9.49495569368085,4.44782410883114e-08,3.46678882410428e-06,2.91624841404702e-06,"25939/51251/1806/1890/7498/51733/1807/954/56985",9,"Down_D_vs_BDM"
"R-HSA-5661231","Metallothioneins bind metals","6/224","11/10173",0.545454545454545,24.7719155844156,11.8360937430931,4.49259890812649e-08,3.46678882410428e-06,2.91624841404702e-06,"4495/4496/4502/4494/4501/4493",6,"Down_D_vs_BDM"
"R-HSA-15869","Metabolism of nucleotides","13/224","92/10173",0.141304347826087,6.41736218944099,7.83190566994097,9.70019193676101e-08,6.17275358099474e-06,5.19249477087201e-06,"25939/122622/51251/1806/1890/7498/51733/1807/271/3251/2766/954/56985",13,"Down_D_vs_BDM"
"R-HSA-71291","Metabolism of amino acids and derivatives","25/224","339/10173",0.0737463126843658,3.34920195954488,6.60073915805893,1.06656649347641e-07,6.17275358099474e-06,5.19249477087201e-06,"6999/6898/875/10841/635/26227/1491/85007/130013/27232/1428/2326/383/84706/131669/3034/8528/27165/162417/443/152926/1036/2197/6167/10993",25,"Down_D_vs_BDM"
"R-HSA-5660526","Response to metal ions","6/224","14/10173",0.428571428571429,19.4636479591837,10.3727406214462,2.76240853269282e-07,1.42110572292975e-05,1.19542825391385e-05,"4495/4496/4502/4494/4501/4493",6,"Down_D_vs_BDM"
"R-HSA-1236975","Antigen processing-Cross presentation","12/224","85/10173",0.141176470588235,6.41155462184874,7.51737892268884,3.08718576338023e-07,1.42827549447957e-05,1.20145943607467e-05,"6890/6891/5698/3105/5721/5699/5720/1520/3134/3106/3107/6892",12,"Down_D_vs_BDM"
"R-HSA-983169","Class I MHC mediated antigen processing & presentation","23/224","312/10173",0.0737179487179487,3.34791380494506,6.32028171260817,3.59267333806313e-07,1.42827549447957e-05,1.20145943607467e-05,"151636/9246/7318/6890/6891/10616/5698/3105/5721/6737/5699/5720/1520/26232/3134/3106/26270/3107/6892/55008/51191/25898/55182",23,"Down_D_vs_BDM"
