"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-1474244","Extracellular matrix organization","33/240","280/10173",0.117857142857143,4.99566964285714,10.5383632446012,1.3168278002659e-14,1.05346224021272e-11,9.10690383973365e-12,"FGB/FGG/SERPINE1/LAMB1/DST/LAMC1/CD44/PCOLCE/COL6A1/ADAM9/MATN3/NID1/LAMA5/COMP/NTN4/MMP15/CD151/LAMA3/MFAP4/COL6A3/FMOD/COL6A2/NID2/BMP2/ITGB2/LAMC2/ITGAM/MMP9/LAMB3/PTPRS/MMP8/TGFB1/BGN",33,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","19/240","108/10173",0.175925925925926,7.45706018518519,10.4859649425375,6.05999373467631e-12,2.42399749387052e-09,2.09548204404333e-09,"MFGE8/FGG/LAMB1/FSTL1/ITIH2/APOB/LAMC1/CCN1/PRSS23/AFP/F5/MATN3/GPC3/GOLM1/IGFALS/QSOX1/APOA2/IGF2/VWA1",19,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-8957275","Post-translational protein phosphorylation","17/240","91/10173",0.186813186813187,7.91854395604396,10.3045880137464,3.00000794784988e-11,8.00002119426634e-09,6.91580779556972e-09,"MFGE8/FGG/LAMB1/FSTL1/ITIH2/APOB/LAMC1/CCN1/PRSS23/AFP/F5/MATN3/GPC3/GOLM1/QSOX1/APOA2/VWA1",17,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-3000178","ECM proteoglycans","14/240","64/10173",0.21875,9.272265625,10.3187939150507,1.90154119303597e-10,3.80308238607195e-08,3.28766464164378e-08,"SERPINE1/LAMB1/LAMC1/COL6A1/MATN3/LAMA5/COMP/LAMA3/COL6A3/FMOD/COL6A2/PTPRS/TGFB1/BGN",14,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-1630316","Glycosaminoglycan metabolism","17/240","132/10173",0.128787878787879,5.45899621212121,8.01501176827771,1.18646450707381e-08,1.76525660132419e-06,1.52601787772367e-06,"CD44/EXT1/OGN/UXS1/OMD/GPC3/B4GAT1/EXT2/GPC6/GPC1/HS3ST3B1/FMOD/B4GALT7/CEMIP/XYLT2/CHST9/BGN",17,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","14/240","87/10173",0.160919540229885,6.82097701149425,8.4754859333274,1.32685026011423e-08,1.76525660132419e-06,1.52601787772367e-06,"ANXA1/VIM/FSCN1/F13A1/LBP/LAMA5/CDKN1A/LCN2/SAA1/ITGB2/ITGAM/MMP9/CXCL8/TGFB1",14,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","10/240","39/10173",0.256410256410256,10.8685897435897,9.59766367815327,1.54459952615866e-08,1.76525660132419e-06,1.52601787772367e-06,"EXT1/OGN/OMD/GPC3/EXT2/GPC6/GPC1/FMOD/B4GALT7/BGN",10,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-9925563","Developmental Lineage of Pancreatic Ductal Cells","10/240","42/10173",0.238095238095238,10.0922619047619,9.17780875192096,3.35945114288292e-08,3.35945114288292e-06,2.90415710641326e-06,"ANXA3/ANXA1/KRT7/KRT19/LAMB1/LAMC1/LAMA5/LAMA3/LAMC2/LAMB3",10,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-3000157","Laminin interactions","8/240","24/10173",0.333333333333333,14.1291666666667,10.0092084742501,4.53338279043708e-08,4.02967359149963e-06,3.48354677580955e-06,"LAMB1/LAMC1/NID1/LAMA5/LAMA3/NID2/LAMC2/LAMB3",8,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-9638630","Attachment of bacteria to epithelial cells","7/240","20/10173",0.35,14.835625,9.62687130388456,2.22376966835724e-07,1.61728703153254e-05,1.39810207857484e-05,"LAMB1/LAMC1/LAMA5/LAMA3/LAMC2/EPCAM/LAMB3",7,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-9931953","Biofilm formation","7/240","20/10173",0.35,14.835625,9.62687130388456,2.22376966835724e-07,1.61728703153254e-05,1.39810207857484e-05,"LAMB1/LAMC1/LAMA5/LAMA3/LAMC2/EPCAM/LAMB3",7,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-1474228","Degradation of the extracellular matrix","15/240","128/10173",0.1171875,4.96728515625,7.02088744144519,3.11339121480381e-07,2.07559414320254e-05,1.79429651590009e-05,"LAMB1/LAMC1/CD44/COL6A1/ADAM9/NID1/LAMA5/MMP15/LAMA3/COL6A3/COL6A2/LAMC2/MMP9/LAMB3/MMP8",15,"Down_res_DEq_MS_BDM_vs_D"
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","10/240","53/10173",0.188679245283019,7.99764150943396,7.93903921483136,3.54474746747141e-07,2.18138305690549e-05,1.88574824787751e-05,"DST/PCOLCE/COL6A1/CD151/LAMA3/COL6A3/COL6A2/LAMC2/MMP9/LAMB3",10,"Down_res_DEq_MS_BDM_vs_D"
