"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-909733","Interferon alpha/beta signaling","26/199","67/10173",0.388059701492537,19.8378459461487,21.8511363683229,9.66999623248635e-28,6.63361741548563e-25,5.99539766414154e-25,"IFIT1/MX1/IFIT2/STAT1/SAMHD1/ISG15/OAS2/IFIT3/ISG20/OASL/OAS3/HLA-B/EIF2AK2/HLA-C/STAT2/BST2/HLA-A/IRF7/GBP2/IRF9/IFITM3/IFIT5/HLA-F/HLA-E/IFITM2/XAF1",26,"Down_res_DEq_MS_BD_vs_BDM"
"R-HSA-913531","Interferon Signaling","40/199","229/10173",0.174672489082969,8.92936297206557,17.1423561512728,3.12186945435772e-27,1.0708012228447e-24,9.67779530850894e-25,"IFIT1/MX1/IFIT2/STAT1/SAMHD1/ISG15/OAS2/IFIT3/GBP1/ISG20/OASL/OAS3/UBE2L6/IFIH1/HLA-B/EIF2AK2/HLA-C/STAT2/GBP4/BST2/UBA7/HLA-A/IRF7/TRIM38/GBP2/IRF9/TRIM14/IFITM3/TRIM21/IFIT5/HLA-F/IFI44/HLA-E/GBP3/TRIM22/IFITM2/TRIM26/IFI30/PRKCD/XAF1",40,"Down_res_DEq_MS_BD_vs_BDM"
"R-HSA-877300","Interferon gamma signaling","21/199","81/10173",0.259259259259259,13.2534896705751,15.6389902736697,2.22681805767243e-18,5.09199062521095e-16,4.60209065252301e-16,"OAS2/GBP1/OASL/OAS3/HLA-B/HLA-C/GBP4/HLA-A/IRF7/TRIM38/GBP2/IRF9/TRIM14/TRIM21/HLA-F/HLA-E/GBP3/TRIM22/TRIM26/IFI30/PRKCD",21,"Down_res_DEq_MS_BD_vs_BDM"
"R-HSA-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","8/199","25/10173",0.32,16.3585929648241,10.8599102948155,1.51484882403939e-08,2.59796573322756e-06,2.34801567726106e-06,"TAP2/HLA-B/HLA-C/TAP1/HLA-A/TAPBP/HLA-F/HLA-E",8,"Down_res_DEq_MS_BD_vs_BDM"
"R-HSA-1236975","Antigen processing-Cross presentation","12/199","85/10173",0.141176470588235,7.21702630801064,8.12988988271041,8.49310008402867e-08,1.16525333152873e-05,1.05314441041956e-05,"TAP2/HLA-B/HLA-C/TAP1/PSMB9/HLA-A/TAPBP/PSME1/CTSS/PSMB10/HLA-F/HLA-E",12,"Down_res_DEq_MS_BD_vs_BDM"
"R-HSA-1236974","ER-Phagosome pathway","11/199","71/10173",0.154929577464789,7.92009342487083,8.2648025395759,1.11870694098738e-07,1.27905493586224e-05,1.15599717235363e-05,"TAP2/HLA-B/HLA-C/TAP1/PSMB9/HLA-A/TAPBP/PSME1/PSMB10/HLA-F/HLA-E",11,"Down_res_DEq_MS_BD_vs_BDM"
"R-HSA-168898","Toll-like Receptor Cascades","14/199","136/10173",0.102941176470588,5.26241501625776,7.06835343682538,3.98125222512863e-07,3.90162718062606e-05,3.52625197082822e-05,"IRF7/TLR3/LGMN/CTSS/RIPK1/GSDMD/N4BP1/RIPK2/UNC93B1/TICAM1/S100A12/NFKBIA/MAPK11/MAPK7",14,"Down_res_DEq_MS_BD_vs_BDM"
"R-HSA-983169","Class I MHC mediated antigen processing & presentation","21/199","312/10173",0.0673076923076923,3.44080981832238,6.18508669247643,7.48047884585539e-07,6.414510610321e-05,5.79737110553793e-05,"TAP2/UBE2L6/HLA-B/HLA-C/TAP1/PSMB9/UBA7/HLA-A/TAPBP/RNF114/PSME1/RBCK1/FBXO6/TRIM21/CTSS/PSMB10/HLA-F/DTX3L/HLA-E/RCHY1/RNF220",21,"Down_res_DEq_MS_BD_vs_BDM"
"R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta","10/199","72/10173",0.138888888888889,7.1000837520938,7.33693873174404,1.22249216555911e-06,9.31810695081721e-05,8.42161269607386e-05,"ISG15/UBE2L6/IFIH1/UBA7/IRF7/TNFAIP3/RIPK1/DHX58/S100A12/NFKBIA",10,"Down_res_DEq_MS_BD_vs_BDM"
"R-HSA-9686114","Non-canonical inflammasome activation","5/199","12/10173",0.416666666666667,21.3002512562814,9.93845424335693,1.92980823280487e-06,0.000132384844770414,0.000119648110433902,"GBP1/GBP4/GBP2/GSDMD/GBP3",5,"Down_res_DEq_MS_BD_vs_BDM"
"R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade","10/199","80/10173",0.125,6.39007537688442,6.83635689942522,3.27710998618829e-06,0.000204372495502288,0.000184709835585158,"IRF7/TLR3/RIPK1/N4BP1/RIPK2/TICAM1/S100A12/NFKBIA/MAPK11/MAPK7",10,"Down_res_DEq_MS_BD_vs_BDM"
"R-HSA-9705671","SARS-CoV-2 activates/modulates innate and adaptive immune responses","11/199","107/10173",0.102803738317757,5.25538909500775,6.25025497035324,7.32862013012428e-06,0.000418952784105438,0.000378645373389754,"STAT1/ISG15/IFIH1/HLA-B/HLA-C/STAT2/HLA-A/IRF7/HLA-F/HLA-E/RIPK2",11,"Down_res_DEq_MS_BD_vs_BDM"
