"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-3000178","ECM proteoglycans","8/56","64/10173",0.125,22.7075892857143,12.9604117429667,1.75062987854155e-09,2.94529851303515e-07,2.03968041068916e-07,"SERPINE1/MATN3/FMOD/LAMC1/LAMA5/COMP/ITGA7/COL6A2",8,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-1474244","Extracellular matrix organization","13/56","280/10173",0.0464285714285714,8.43424744897959,9.38476361224901,2.58359518687294e-09,2.94529851303515e-07,2.03968041068916e-07,"FGG/FGB/SERPINE1/MATN3/FMOD/LAMC1/LAMA5/COMP/ITGA7/NID1/LAMC2/COL6A2/MMP8",13,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-8957275","Post-translational protein phosphorylation","8/56","91/10173",0.0879120879120879,15.9701726844584,10.6719915801419,2.99971367368369e-08,2.27978239199961e-06,1.57879667035984e-06,"FGG/MATN3/LAMC1/ITIH2/CCN1/GPC3/APOB/QSOX1",8,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","8/56","108/10173",0.0740740740740741,13.4563492063492,9.68204456512695,1.15651690346626e-07,6.59214634975769e-06,4.5651983031563e-06,"FGG/MATN3/LAMC1/ITIH2/CCN1/GPC3/APOB/QSOX1",8,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-3000157","Laminin interactions","5/56","24/10173",0.208333333333333,37.8459821428571,13.4448340520368,1.65304426051492e-07,7.53788182794805e-06,5.22013977004713e-06,"LAMC1/LAMA5/ITGA7/NID1/LAMC2",5,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-114608","Platelet degranulation","7/56","104/10173",0.0673076923076923,12.2271634615385,8.56179567439557,1.46400172581561e-06,5.56320655809931e-05,3.85263612056739e-05,"FGG/LGALS3BP/FGB/SERPINE1/TIMP3/F13A1/QSOX1",7,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","7/56","109/10173",0.0642201834862385,11.6662844036697,8.32937487640647,2.01045852890754e-06,5.99348648480646e-05,4.15061390914575e-05,"FGG/LGALS3BP/FGB/SERPINE1/TIMP3/F13A1/QSOX1",7,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","5/56","39/10173",0.128205128205128,23.2898351648352,10.3757625574118,2.10297771396718e-06,5.99348648480646e-05,4.15061390914575e-05,"FMOD/GPC3/OGN/EXT1/EXT2",5,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-5686938","Regulation of TLR by endogenous ligand","4/56","19/10173",0.210526315789474,38.2443609022556,12.0889912032811,3.00176540470189e-06,7.60447235857813e-05,5.26625509596824e-05,"FGG/FGB/LBP/APOB",4,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-1630316","Glycosaminoglycan metabolism","7/56","132/10173",0.053030303030303,9.63352272727273,7.42775949058217,7.21378639662014e-06,0.000164474329842939,0.00011390189047295,"FMOD/GPC3/B4GAT1/OGN/CEMIP/EXT1/EXT2",7,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-3781865","Diseases of glycosylation","7/56","134/10173",0.0522388059701493,9.48973880597015,7.35991528225925,7.96649178269657e-06,0.000165123647859529,0.000114351556689424,"FMOD/GPC3/ADAMTS13/B4GAT1/OGN/EXT1/EXT2",7,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-9640148","Infection with Enterobacteria","4/56","31/10173",0.129032258064516,23.4400921658986,9.30925645090998,2.32005039148469e-05,0.000440809574382091,0.000305269788353249,"LAMC1/LAMA5/HBA2/LAMC2",4,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-3656237","Defective EXT2 causes exostoses 2","3/56","12/10173",0.25,45.4151785714286,11.4531546280591,3.35623431684053e-05,0.000546586731599743,0.000378522667312842,"GPC3/EXT1/EXT2",3,"Down_res_DEq_MS_BM1_vs_C"
"R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","3/56","12/10173",0.25,45.4151785714286,11.4531546280591,3.35623431684053e-05,0.000546586731599743,0.000378522667312842,"GPC3/EXT1/EXT2",3,"Down_res_DEq_MS_BM1_vs_C"
