"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-909733","R-HSA-909733","Interferon alpha/beta signaling","24/186","67/10173",0.358208955223881,19.5917188252287,20.8357635339925,2.12415304933678e-25,1.05782821856972e-22,9.16739737082191e-23,"IFIT3/HLA-B/HLA-A/ISG15/IFIT2/IFIT1/HLA-C/EIF2AK2/MX1/OAS2/HLA-F/STAT1/STAT2/IRF9/IFITM3/IFITM2/BST2/IFIT5/OASL/XAF1/ISG20/SAMHD1/OAS3/GBP2",24,"Downres_DEq_MS_C_vs_D"
"R-HSA-913531","R-HSA-913531","Interferon Signaling","37/186","229/10173",0.161572052401747,8.83694886603747,16.3691571986346,4.8273114935979e-25,1.20200056190588e-22,1.04168300651323e-22,"IFIT3/UBE2L6/HLA-B/HLA-A/ISG15/IFIT2/IFIT1/HLA-C/TRIM21/EIF2AK2/MX1/OAS2/HLA-F/STAT1/STAT2/IRF9/IFITM3/IFITM2/BST2/IFIT5/OASL/XAF1/ISG20/GBP4/IFIH1/HERC5/SAMHD1/OAS3/TRIM38/MT2A/GBP1/GBP2/UBA7/YBX1/TRIM14/TRIM22/GBP3",37,"Downres_DEq_MS_C_vs_D"
"R-HSA-877300","R-HSA-877300","Interferon gamma signaling","18/186","81/10173",0.222222222222222,12.1541218637993,13.7540752626586,3.81466909338601e-15,6.33235069502078e-13,5.48776957294128e-13,"HLA-B/HLA-A/HLA-C/TRIM21/OAS2/HLA-F/IRF9/OASL/GBP4/OAS3/TRIM38/MT2A/GBP1/GBP2/YBX1/TRIM14/TRIM22/GBP3",18,"Downres_DEq_MS_C_vs_D"
"R-HSA-983170","R-HSA-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","7/186","25/10173",0.28,15.3141935483871,9.77887248843806,2.2202342157998e-07,2.76419159867075e-05,2.39551586441558e-05,"HLA-B/HLA-A/HLA-C/HLA-F/TAP1/TAP2/TAPBP",7,"Downres_DEq_MS_C_vs_D"
"R-HSA-1236974","R-HSA-1236974","ER-Phagosome pathway","9/186","71/10173",0.126760563380282,6.93298500681508,6.84606260075899,5.27775795890531e-06,0.000525664692706969,0.000455553844873932,"HLA-B/HLA-A/HLA-C/HLA-F/TAP1/TAP2/TAPBP/PSMB9/PSMB10",9,"Downres_DEq_MS_C_vs_D"
"R-HSA-8868773","R-HSA-8868773","rRNA processing in the nucleus and cytosol","14/186","190/10173",0.0736842105263158,4.03005093378608,5.75358212804206,9.66812805546889e-06,0.00071310289807475,0.000617992365695725,"RPL7/RPL13/RPL4/NOP2/RPS5/RPS6/RPP38/RPL19/FTSJ3/EBNA1BP2/UTP3/TEX10/RPL36/UTP18",14,"Downres_DEq_MS_C_vs_D"
"R-HSA-9909505","R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","5/186","17/10173",0.294117647058824,16.0863377609108,8.49550234721586,1.00235347118941e-05,0.00071310289807475,0.000617992365695725,"UBE2L6/ISG15/IFIH1/HERC5/UBA7",5,"Downres_DEq_MS_C_vs_D"
"R-HSA-72312","R-HSA-72312","rRNA processing","14/186","205/10173",0.0682926829268293,3.73516915814319,5.39882474158278,2.287958951489e-05,0.0012959251048542,0.00112308030646845,"RPL7/RPL13/RPL4/NOP2/RPS5/RPS6/RPP38/RPL19/FTSJ3/EBNA1BP2/UTP3/TEX10/RPL36/UTP18",14,"Downres_DEq_MS_C_vs_D"
"R-HSA-1236975","R-HSA-1236975","Antigen processing-Cross presentation","9/186","85/10173",0.105882352941176,5.79108159392789,6.05316644733571,2.34203332202566e-05,0.0012959251048542,0.00112308030646845,"HLA-B/HLA-A/HLA-C/HLA-F/TAP1/TAP2/TAPBP/PSMB9/PSMB10",9,"Downres_DEq_MS_C_vs_D"
"R-HSA-6791226","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","13/186","181/10173",0.0718232044198895,3.92826590625557,5.42457488253622,2.66125149912e-05,0.00132530324656176,0.00114854012067284,"RPL7/RPL13/RPL4/RPS5/RPS6/RPP38/RPL19/FTSJ3/EBNA1BP2/UTP3/TEX10/RPL36/UTP18",13,"Downres_DEq_MS_C_vs_D"
