"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-211945","Phase I - Functionalization of compounds","20/230","104/10173",0.192307692307692,8.50585284280937,11.7012408542801,1.26892523703723e-13,8.52717759289019e-11,7.68033696101482e-11,"1559/1558/126/1576/1579/134147/125/1548/1555/23491/1571/9420/1595/1562/130/2326/1557/51302/1549/284541",20,"Up_BD_vs_BM1"
"R-HSA-211859","Biological oxidations","24/230","209/10173",0.114832535885167,5.07909298939047,9.06208775655525,4.7788556655404e-11,1.60569550362157e-08,1.44623263562407e-08,"1559/1558/126/1576/2944/1579/57412/134147/125/1548/1555/23491/1571/9420/1595/1562/130/2326/1557/2948/51302/1549/23169/284541",24,"Up_BD_vs_BM1"
"R-HSA-211897","Cytochrome P450 - arranged by substrate type","14/230","65/10173",0.215384615384615,9.52655518394649,10.4883227445992,1.34847122220871e-10,3.02057553774751e-08,2.72059983428073e-08,"1559/1558/1576/1579/1548/1555/1571/9420/1595/1562/1557/51302/1549/284541",14,"Up_BD_vs_BM1"
"R-HSA-8957322","Metabolism of steroids","19/230","141/10173",0.134751773049645,5.96012950971323,9.02022113834765,3.51928463209602e-10,5.91239818192132e-08,5.32523332488214e-08,"2194/570/32/80270/6718/4047/1109/2224/9420/1595/6319/3422/2638/51302/57678/6716/51171/6554/866",19,"Up_BD_vs_BM1"
"R-HSA-211999","CYP2E1 reactions","7/230","11/10173",0.636363636363636,28.1466403162055,13.7003357389749,8.42702776738415e-10,1.13259253193643e-07,1.02011388763071e-07,"1559/1558/1548/1555/1571/1557/1549",7,"Up_BD_vs_BM1"
"R-HSA-211981","Xenobiotics","9/230","25/10173",0.36,15.9229565217391,11.3616922828092,1.96911952589468e-09,2.20541386900204e-07,1.986392504192e-07,"1559/1558/1576/1548/1555/1571/1562/1557/1549",9,"Up_BD_vs_BM1"
"R-HSA-196854","Metabolism of vitamins and cofactors","18/230","186/10173",0.0967741935483871,4.28036465638149,6.8670379147455,2.00331006335873e-07,1.92317766082438e-05,1.73218539312973e-05,"2194/48/316/10840/32/1109/7274/2817/57107/4338/6470/55191/6382/10082/1719/2644/6383/81693",18,"Up_BD_vs_BM1"
"R-HSA-2426168","Activation of gene expression by SREBF (SREBP)","8/230","35/10173",0.228571428571429,10.1098136645963,8.21061610256957,8.40095702718986e-07,7.05680390283948e-05,6.35598722451864e-05,"2194/32/4047/2224/1595/6319/3422/57678",8,"Up_BD_vs_BM1"
"R-HSA-9018677","Biosynthesis of DHA-derived SPMs","6/230","17/10173",0.352941176470588,15.6107416879795,9.16945980974018,1.25721488805552e-06,9.3872044974812e-05,8.45495392551956e-05,"1559/1558/1576/3248/1571/2948",6,"Up_BD_vs_BM1"
"R-HSA-9018678","Biosynthesis of specialized proresolving mediators (SPMs)","6/230","19/10173",0.315789473684211,13.9675057208238,8.60444857328483,2.65346533518861e-06,0.000178312870524675,0.000160604480814048,"1559/1558/1576/3248/1571/2948",6,"Up_BD_vs_BM1"
"R-HSA-8978868","Fatty acid metabolism","15/230","161/10173",0.093167701863354,4.12084796111261,6.07062635731686,3.45757013569456e-06,0.000211226102835158,0.000190249074452093,"2194/134526/80724/1559/32/1558/3992/1579/3248/5264/6319/1557/7069/284541/23305",15,"Up_BD_vs_BM1"
"R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)","8/230","46/10173",0.173913043478261,7.69224952741021,6.91861255482632,7.51623937939867e-06,0.000420909405246326,0.000379108565188968,"2194/32/4047/2224/1595/6319/3422/57678",8,"Up_BD_vs_BM1"
"R-HSA-71291","Metabolism of amino acids and derivatives","22/230","339/10173",0.0648967551622419,2.87041169680646,5.32697098053881,8.2930911114887e-06,0.000428689017455416,0.000386115578065263,"635/1644/27232/10841/130013/5053/125061/389434/26227/3176/23743/8424/1428/2628/5693/1491/6470/443/2326/5694/27165/1036",22,"Up_BD_vs_BM1"
"R-HSA-9749641","Aspirin ADME","7/230","39/10173",0.179487179487179,7.93879598662207,6.60289431709338,2.28798467698317e-05,0.00109823264495192,0.000989166307718289,"1559/1558/1576/1571/590/1557/10864",7,"Up_BD_vs_BM1"
"R-HSA-194068","Bile acid and bile salt metabolism","7/230","41/10173",0.170731707317073,7.55153764581124,6.39287117232081,3.21813652201337e-05,0.00144172516186199,0.00129854631590013,"570/80270/6718/1109/9420/51302/6554",7,"Up_BD_vs_BM1"
"R-HSA-192105","Synthesis of bile acids and bile salts","6/230","31/10173",0.193548387096774,8.56072931276297,6.41196447788166,5.73625635540296e-05,0.00240922766926924,0.00216996539760309,"570/80270/6718/1109/9420/51302",6,"Up_BD_vs_BM1"
"R-HSA-9748784","Drug ADME","10/230","99/10173",0.101010101010101,4.46772068511199,5.27313763584051,7.69257960131541e-05,0.00304083146593174,0.00273884413049929,"1559/1558/1576/2944/1571/6580/590/1557/10864/866",10,"Up_BD_vs_BM1"
"R-HSA-193368","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","5/230","21/10173",0.238095238095238,10.5310559006211,6.64941185887776,8.56010428100514e-05,0.00319577226490859,0.00287839763834968,"570/80270/6718/1109/9420",5,"Up_BD_vs_BM1"
"R-HSA-3656237","Defective EXT2 causes exostoses 2","4/230","12/10173",0.333333333333333,14.7434782608696,7.24481718859406,0.000109247259737872,0.0036707079271925,0.00330616707101455,"2817/6382/10082/6383",4,"Up_BD_vs_BM1"
"R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","4/230","12/10173",0.333333333333333,14.7434782608696,7.24481718859406,0.000109247259737872,0.0036707079271925,0.00330616707101455,"2817/6382/10082/6383",4,"Up_BD_vs_BM1"
"R-HSA-193775","Synthesis of bile acids and bile salts via 24-hydroxycholesterol","4/230","13/10173",0.307692307692308,13.609364548495,6.91873022606373,0.000155011310956203,0.00473489095284403,0.00426466525357976,"80270/6718/1109/51302",4,"Up_BD_vs_BM1"
"R-HSA-193807","Synthesis of bile acids and bile salts via 27-hydroxycholesterol","4/230","13/10173",0.307692307692308,13.609364548495,6.91873022606373,0.000155011310956203,0.00473489095284403,0.00426466525357976,"80270/6718/1109/9420",4,"Up_BD_vs_BM1"
"R-HSA-71387","Metabolism of carbohydrates and carbohydrate derivatives","17/230","284/10173",0.0598591549295775,2.64759644825475,4.28294209390571,0.000242018502094229,0.00707114927857921,0.00636890794984813,"230/229/5313/2998/5257/4123/5207/2817/26007/5256/5211/2645/5261/6382/10082/5507/6383",17,"Up_BD_vs_BM1"
"R-HSA-211935","Fatty acids","4/230","15/10173",0.266666666666667,11.7947826086957,6.36302749762853,0.000285568622145967,0.00799592142008707,0.0072018402514882,"1579/1555/1549/284541",4,"Up_BD_vs_BM1"
"R-HSA-8982491","Glycogen metabolism","5/230","27/10173",0.185185185185185,8.19082125603865,5.69011862768597,0.000304018293369693,0.00817201172577736,0.00736044289210836,"2998/5257/5256/5261/5507",5,"Up_BD_vs_BM1"
"R-HSA-6806667","Metabolism of fat-soluble vitamins","6/230","42/10173",0.142857142857143,6.31863354037267,5.25299430014756,0.000332087681214974,0.0085831892990947,0.00773078610115829,"1109/7274/2817/6382/10082/6383",6,"Up_BD_vs_BM1"
