"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-909733","Interferon alpha/beta signaling","32/648","67/10173",0.477611940298507,7.49806522940851,13.9184222419965,4.16351048321564e-21,5.10862736290559e-18,4.71134080995454e-18,"4599/3434/3437/3433/6772/9636/4939/4940/3669/25939/3105/5610/10379/6773/684/8638/3134/3107/3106/24138/54739/10410/2634/3716/3133/2537/91543/10581/11274/3665/4600/3455",32,"Up_C_vs_BD"
"R-HSA-913531","Interferon Signaling","58/648","229/10173",0.253275109170306,3.97618469998383,11.8810616550293,1.64339562389844e-20,1.00822321526169e-17,9.29815945100431e-18,"4599/3434/3437/3433/6772/9636/64135/4939/4940/3669/10964/25939/9246/6737/3105/7318/5610/10379/115361/6773/2633/684/8638/3134/3107/3106/24138/10346/54739/10475/10410/2634/3716/3459/9830/3133/2537/3383/7706/2635/91543/10581/11274/51191/7726/10561/4904/960/5580/9451/3665/3838/4600/10437/10381/4684/3717/3455",58,"Up_C_vs_BD"
"R-HSA-877300","Interferon gamma signaling","29/648","81/10173",0.358024691358025,5.62065614997714,10.8896952560469,3.95435248285985e-15,1.61733016548968e-12,1.49155400669275e-12,"4939/4940/6737/3105/10379/115361/2633/8638/3134/3107/3106/10346/10475/2634/3716/3459/9830/3133/3383/7706/2635/7726/4904/960/5580/3665/10437/4684/3717",29,"Up_C_vs_BD"
"R-HSA-1474244","Extracellular matrix organization","48/648","280/10173",0.171428571428571,2.69126984126984,7.48490172000696,2.04512970790274e-10,6.27343537899166e-08,5.78556430525118e-08,"2244/2266/5054/3655/3911/3673/3678/3915/634/4148/2331/23385/3371/102/3383/1311/1520/4811/960/8754/5118/4237/4318/1088/1292/977/1303/4317/6868/4324/8751/1291/22795/7040/4684/3912/3908/59277/1293/1511/5802/633/6650/1306/2247/3684/3918/1515",48,"Up_C_vs_BD"
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","10/648","17/10173",0.588235294117647,9.23474945533769,8.86281514730297,1.32842917387459e-08,3.25996519268825e-06,3.00644497245303e-06,"9636/64135/10964/9246/7318/2537/7706/51191/10561/9451",10,"Up_C_vs_BD"
"R-HSA-6798695","Neutrophil degranulation","57/648","430/10173",0.132558139534884,2.08104005167959,5.97431128839826,7.96267009819047e-08,1.62836603507995e-05,1.5017316413254e-05,"2040/290/684/8826/3107/2512/3106/2495/4311/8876/634/23406/10312/140885/23385/4353/3958/102/6282/1604/4057/1520/6793/12/2683/8673/6283/22875/960/967/4758/5580/9522/968/4318/5768/1088/81619/8560/965/566/4317/527/3934/64114/683/10159/1727/84418/10562/23218/1675/1511/7097/3684/54918/94103",57,"Up_C_vs_BD"
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","23/648","108/10173",0.212962962962963,3.34332133058985,6.38550163520464,2.24793246446496e-07,3.94030447699787e-05,3.6338757884208e-05,"2266/11098/338/4240/3915/4148/3491/3371/102/3698/2153/2719/174/5768/3487/3483/3481/3912/720/57104/1511/8720/1435",23,"Up_C_vs_BD"
"R-HSA-3000178","ECM proteoglycans","17/648","64/10173",0.265625,4.17006655092593,6.63532890125394,3.11090159196437e-07,4.77134531667535e-05,4.40028843600223e-05,"5054/3911/3673/3915/4148/2331/3371/1311/1292/1291/7040/4684/3912/3908/1293/5802/633",17,"Up_C_vs_BD"
"R-HSA-8957275","Post-translational protein phosphorylation","20/648","91/10173",0.21978021978022,3.45034595034595,6.1239683904584,8.12361276675938e-07,0.000110751920720153,0.000102138990927092,"2266/11098/338/4240/3915/4148/3491/3371/102/3698/2153/2719/174/5768/3487/3912/720/57104/8720/1435",20,"Up_C_vs_BD"
"R-HSA-9640148","Infection with Enterobacteria","11/648","31/10173",0.354838709677419,5.57063918757467,6.64743606794696,1.6834652459079e-06,0.000206561185672899,0.000190497383089578,"115361/2633/3911/3915/2634/837/2635/3912/3908/3040/3918",11,"Up_C_vs_BD"
"R-HSA-1474228","Degradation of the extracellular matrix","23/648","128/10173",0.1796875,2.82092737268519,5.40730448285838,5.07896452061029e-06,0.000566535406071711,0.000522477211450341,"3911/3915/23385/102/1520/4811/960/8754/4318/1292/1303/4317/6868/4324/8751/1291/3912/1293/1511/6650/1306/3918/1515",23,"Up_C_vs_BD"
"R-HSA-3000157","Laminin interactions","9/648","24/10173",0.375,5.88715277777778,6.25184348450164,8.9727347902078e-06,0.000917462132298748,0.000846113149076613,"3655/3911/3673/3915/4811/22795/3912/3908/3918",9,"Up_C_vs_BD"
"R-HSA-1236975","Antigen processing-Cross presentation","17/648","85/10173",0.2,3.13981481481482,5.16703380119609,2.04422123500282e-05,0.00192943035026804,0.00177938285637897,"6890/2244/6891/3105/2266/3134/3107/5698/3106/6892/5699/3133/1520/9902/8673/7097/1515",17,"Up_C_vs_BD"
"R-HSA-114608","Platelet degranulation","19/648","104/10173",0.182692307692308,2.86810007122507,4.99438275930384,2.61790077404864e-05,0.0022944030355412,0.00211597243015209,"2244/3959/2266/5054/2153/10447/23052/710/12/2162/967/7078/54676/5768/10916/7040/3481/10184/1675",19,"Up_C_vs_BD"
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","19/648","109/10173",0.174311926605505,2.73653584777438,4.75411709645031,5.15440372383324e-05,0.00421630224609559,0.0038884098267514,"2244/3959/2266/5054/2153/10447/23052/710/12/2162/967/7078/54676/5768/10916/7040/3481/10184/1675",19,"Up_C_vs_BD"
"R-HSA-6790901","rRNA modification in the nucleus and cytosol","13/648","59/10173",0.220338983050847,3.45911801632141,4.9408547783639,6.67424634706939e-05,0.00490172608987393,0.00452052978734138,"4839/57050/9136/84916/56902/27292/84135/6194/51096/9790/10171/51077/8602",13,"Up_C_vs_BD"
"R-HSA-8868773","rRNA processing in the nucleus and cytosol","27/648","190/10173",0.142105263157895,2.23092105263158,4.4671923304926,6.79130754098263e-05,0.00490172608987393,0.00452052978734138,"4839/57050/9136/84916/10969/26168/56902/6143/27292/117246/9188/6124/54881/10557/84135/6194/6129/6137/51096/6193/55720/23481/6167/9790/10171/51077/8602",27,"Up_C_vs_BD"
"R-HSA-9824439","Bacterial Infection Pathways","16/648","85/10173",0.188235294117647,2.95511982570806,4.7210488285625,7.72128951187666e-05,0.00526334568392926,0.00485402703232012,"115361/2633/3911/3915/2634/837/4057/2635/11151/3912/3908/3040/79872/1511/7097/3918",16,"Up_C_vs_BD"
"R-HSA-1630316","Glycosaminoglycan metabolism","21/648","132/10173",0.159090909090909,2.49757996632997,4.51696463473364,8.49722671860686e-05,0.00548741957038454,0.00506067519252209,"2331/11041/80146/2683/9061/2719/6448/9653/4969/960/2131/3373/4958/57214/2132/8702/126792/11285/11046/633/166012",21,"Up_C_vs_BD"
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","12/648","53/10173",0.226415094339623,3.55450733752621,4.86309797857273,9.57570088956779e-05,0.00587469249574984,0.00541783076646599,"3655/1520/5118/4318/1292/977/1303/1291/1293/1306/3918/1515",12,"Up_C_vs_BD"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","16/648","87/10173",0.183908045977011,2.88718603661132,4.61076561185999,0.000103185933475965,0.0059300183394666,0.00546885404274576,"7431/301/3929/3911/3716/3383/2162/6624/4318/3934/7040/3717/1901/2247/3684/1026",16,"Up_C_vs_BD"
