"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-1474244","Extracellular matrix organization","19/94","280/10173",0.0678571428571429,7.34373100303951,10.3948481663795,6.93601350988521e-12,1.952507563732e-09,1.42241637610975e-09,"FGG/FGB/LAMB1/SDC1/MATN3/COL6A1/LAMA5/COMP/LAMC1/NID1/PCOLCE/ITGB2/FMOD/COL6A2/LAMA3/LAMC2/PTPRS/ITGAM/COL6A3",19,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-3000178","ECM proteoglycans","11/94","64/10173",0.171875,18.600897606383,13.6404621586144,1.14516572652903e-11,1.952507563732e-09,1.42241637610975e-09,"LAMB1/MATN3/COL6A1/LAMA5/COMP/LAMC1/FMOD/COL6A2/LAMA3/PTPRS/COL6A3",11,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","12/94","108/10173",0.111111111111111,12.0248226950355,11.1233340983873,2.54541702638917e-10,2.89329068666235e-08,2.10778392360647e-08,"FGG/APOA5/LAMB1/FSTL1/ITIH2/GPC3/MATN3/LAMC1/SPP2/IGFALS/QSOX1/AHSG",12,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-8957275","Post-translational protein phosphorylation","11/94","91/10173",0.120879120879121,13.0819499649287,11.1800246838603,5.94692641109931e-10,5.06975476546216e-08,3.69335429741957e-08,"FGG/APOA5/LAMB1/FSTL1/ITIH2/GPC3/MATN3/LAMC1/SPP2/QSOX1/AHSG",11,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-9824439","Bacterial Infection Pathways","10/94","85/10173",0.117647058823529,12.7321652065081,10.4892267996824,4.93123898667106e-09,3.36310498890966e-07,2.45004715969341e-07,"LTF/LAMB1/HBB/LAMA5/LAMC1/HBA2/CORO1A/MAP2K6/LAMA3/LAMC2",10,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-9640148","Infection with Enterobacteria","7/94","31/10173",0.225806451612903,24.4375428963624,12.6208761127574,1.00665606141437e-08,5.72116194903834e-07,4.16790930690862e-07,"LAMB1/HBB/LAMA5/LAMC1/HBA2/LAMA3/LAMC2",7,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-3656237","Defective EXT2 causes exostoses 2","5/94","12/10173",0.416666666666667,45.093085106383,14.7588073524666,4.55346577037284e-08,1.7367888782273e-06,1.26526369890923e-06,"SDC1/GPC3/GPC6/EXT1/GPC1",5,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","5/94","12/10173",0.416666666666667,45.093085106383,14.7588073524666,4.55346577037284e-08,1.7367888782273e-06,1.26526369890923e-06,"SDC1/GPC3/GPC6/EXT1/GPC1",5,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-975634","Retinoid metabolism and transport","7/94","38/10173",0.184210526315789,19.9358902575588,11.2933822932967,4.58390026511605e-08,1.7367888782273e-06,1.26526369890923e-06,"SDC1/GPC3/GPC6/GPC1/RBP1/APOM/LPL",7,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","7/94","39/10173",0.179487179487179,19.4247135842881,11.1327121214092,5.54484058755996e-08,1.89079064035795e-06,1.37745513543595e-06,"SDC1/GPC3/OGN/GPC6/EXT1/GPC1/FMOD",7,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-3000157","Laminin interactions","6/94","24/10173",0.25,27.0558510638298,12.3412070240086,6.23553642627134e-08,1.93301629214411e-06,1.40821683885171e-06,"LAMB1/LAMA5/LAMC1/NID1/LAMA3/LAMC2",6,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-6806667","Metabolism of fat-soluble vitamins","7/94","42/10173",0.166666666666667,18.0372340425532,10.6845431389507,9.50911048772343e-08,2.70217223026141e-06,1.96855269745854e-06,"SDC1/GPC3/GPC6/GPC1/RBP1/APOM/LPL",7,"Up_D_vs_res_DEq_MS_BM1"
"R-HSA-216083","Integrin cell surface interactions","8/94","69/10173",0.115942028985507,12.5476410730805,9.29457493403717,2.07029755144696e-07,5.43054973110317e-06,3.95619613070026e-06,"FGG/FGB/COL6A1/COMP/ITGB2/COL6A2/ITGAM/COL6A3",8,"Up_D_vs_res_DEq_MS_BM1"
