"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-211859","Biological oxidations","42/347","209/10173",0.200956937799043,5.89145512458117,13.4268423718538,3.11087344425533e-21,2.3051572221932e-18,2.04007805870639e-18,"ADH1B/ADH1C/OPLAH/AS3MT/AKR1A1/ACSS2/SULT1B1/ADH4/ADH6/GSTM1/CMBL/ACSM2B/AKR7A3/CYP2C9/CYP7B1/CES3/ADH1A/GSTA1/CYP2A6/FMO1/UGT2B15/CYP3A4/CYP2E1/CYP51A1/CYP8B1/GSTA4/GSTM4/CYP2C8/CYP39A1/CYP2C19/CYP4A11/CYP4V2/CYP27A1/UGT2B17/CYP2U1/CYP1A2/CYP4F2/CYP2A7/CYP2B6/ACSM1/TBXAS1/CYP4A22",42,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-211945","Phase I - Functionalization of compounds","29/347","104/10173",0.278846153846154,8.17493349589891,13.8204095326347,4.1242512061391e-19,1.52803507187454e-16,1.35232026390772e-16,"ADH1B/ADH1C/ACSS2/ADH4/ADH6/CMBL/CYP2C9/CYP7B1/CES3/ADH1A/CYP2A6/FMO1/CYP3A4/CYP2E1/CYP51A1/CYP8B1/CYP2C8/CYP39A1/CYP2C19/CYP4A11/CYP4V2/CYP27A1/CYP2U1/CYP1A2/CYP4F2/CYP2A7/CYP2B6/TBXAS1/CYP4A22",29,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-211897","Cytochrome P450 - arranged by substrate type","20/347","65/10173",0.307692307692308,9.02061627133673,12.1902141170306,1.84770927151317e-14,4.4298201685169e-12,3.92041759355924e-12,"CYP2C9/CYP7B1/CYP2A6/CYP3A4/CYP2E1/CYP51A1/CYP8B1/CYP2C8/CYP39A1/CYP2C19/CYP4A11/CYP4V2/CYP27A1/CYP2U1/CYP1A2/CYP4F2/CYP2A7/CYP2B6/TBXAS1/CYP4A22",20,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-8957322","Metabolism of steroids","28/347","141/10173",0.198581560283688,5.82181617511803,10.834427738073,2.39126594791735e-14,4.4298201685169e-12,3.92041759355924e-12,"FASN/BAAT/AKR1C4/GC/SCD/LSS/HSD3B7/SLCO1B1/ACACB/FDPS/HSD11B1/AKR1D1/CYP7B1/IDI1/CYP51A1/SRD5A2/CYP8B1/CYP39A1/TM7SF2/SERPINA6/HSD17B14/ABCB11/CYP27A1/HSD17B7/GPAM/SLC10A1/SLCO1B3/SLC27A5",28,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-9748784","Drug ADME","20/347","99/10173",0.202020202020202,5.92262684481705,9.24896365885297,9.68359941928747e-11,1.4351094339384e-08,1.27008051330865e-08,"SLCO2B1/SLCO1B1/GSTM1/SLC22A1/ACSM2B/XDH/HSD11B1/CYP2C9/SLC22A7/ADH1A/GSTA1/UGT2B15/CYP3A4/CYP2E1/CYP2C8/SERPINA6/CYP2C19/BCHE/UGT2B17/SLCO1B3",20,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-2142753","Arachidonate metabolism","15/347","56/10173",0.267857142857143,7.85276862906546,9.66303918517598,3.32386902323603e-10,4.1049782436965e-08,3.63293052890534e-08,"HPGD/PTGR2/CYP2C9/CYP8B1/EPHX2/CYP2C8/GPX2/CYP2C19/CYP4A11/CYP2U1/CYP1A2/CYP4F2/ALOX12B/TBXAS1/CYP4A22",15,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-194068","Bile acid and bile salt metabolism","13/347","41/10173",0.317073170731707,9.295635060097,10.0016927609974,5.02775220925586e-10,5.32223483865513e-08,4.71020996446075e-08,"BAAT/AKR1C4/HSD3B7/SLCO1B1/AKR1D1/CYP7B1/CYP8B1/CYP39A1/ABCB11/CYP27A1/SLC10A1/SLCO1B3/SLC27A5",13,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-8978868","Fatty acid metabolism","24/347","161/10173",0.149068322981366,4.37023645443643,8.10013808869883,9.63608123722862e-10,8.92542024598301e-08,7.89905080367556e-08,"HPGD/FASN/ACOT12/ACAD10/FADS1/SCD/ACACB/PTGR2/CYP2C9/PHYH/CYP8B1/EPHX2/CYP2C8/GPX2/CYP2C19/THRSP/CYP4A11/CYP2U1/CYP1A2/CYP4F2/NDUFAB1/ALOX12B/TBXAS1/CYP4A22",24,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-71387","Metabolism of carbohydrates and carbohydrate derivatives","32/347","284/10173",0.112676056338028,3.30332426837683,7.3980557251826,2.27563369989047e-09,1.87360507957649e-07,1.65815180705469e-07,"ALDOC/PKLR/CRYL1/ALDOB/TKFC/SORD/AKR1A1/XYLB/AGL/GCK/MAN2C1/PFKFB1/PFKL/PHKA2/PYGL/PHKG2/GPI/RBKS/PGM1/DCXR/GPC1/TPI1/FBP1/SDC1/ENO2/PPP1R3C/GYS2/PHKB/GCKR/SDC2/GPC6/PGK2",32,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-193368","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","9/347","21/10173",0.428571428571429,12.5644298065047,9.96867874518216,1.15376922172681e-08,8.54942993299567e-07,7.56629710669267e-07,"BAAT/AKR1C4/HSD3B7/AKR1D1/CYP7B1/CYP8B1/ABCB11/CYP27A1/SLC27A5",9,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-211999","CYP2E1 reactions","7/347","11/10173",0.636363636363636,18.6562745611737,11.0099501896502,1.4844312705541e-08,9.9996688316417e-07,8.8497672876096e-07,"CYP2C9/CYP2A6/CYP2E1/CYP2C8/CYP2C19/CYP2A7/CYP2B6",7,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-196854","Metabolism of vitamins and cofactors","24/347","186/10173",0.129032258064516,3.78283908152831,7.19791268796739,1.81974170833143e-08,1.12369050489466e-06,9.94472880956561e-07,"ACO1/FASN/ALDH1L1/AKR1C4/AOX1/SHMT1/PDSS2/ACACB/NADSYN1/MTHFD1/NMRK1/MOCS2/GPC1/TTPA/GCHFR/DHFR/COQ8A/SDC1/SLC25A16/APOC2/SDC2/APOC3/GPC6/AMN",24,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-9018677","Biosynthesis of DHA-derived SPMs","8/347","17/10173",0.470588235294118,13.7962366502797,9.9225868998459,3.14229130569403e-08,1.7911060442456e-06,1.58513966271043e-06,"HPGD/CYP2C9/CYP3A4/CYP2E1/EPHX2/GSTM4/CYP2C8/CYP1A2",8,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-192105","Synthesis of bile acids and bile salts","10/347","31/10173",0.32258064516129,9.45709770382077,8.86175879659626,4.38676100532142e-08,2.18244767444413e-06,1.93147936810668e-06,"BAAT/AKR1C4/HSD3B7/AKR1D1/CYP7B1/CYP8B1/CYP39A1/ABCB11/CYP27A1/SLC27A5",10,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-9749641","Aspirin ADME","11/347","39/10173",0.282051282051282,8.26889824872534,8.5465330488935,4.41791027215411e-08,2.18244767444413e-06,1.93147936810668e-06,"SLCO2B1/ACSM2B/CYP2C9/SLC22A7/UGT2B15/CYP3A4/CYP2E1/CYP2C8/CYP2C19/BCHE/UGT2B17",11,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-71291","Metabolism of amino acids and derivatives","33/347","339/10173",0.0973451327433628,2.85386753717069,6.52368495952107,4.88388340523669e-08,2.26184850205024e-06,2.00174957990951e-06,"DDC/IYD/GNMT/HNMT/ACMSD/AFMID/BBOX1/SHMT1/BHMT/FTCD/GLUL/DAO/PHGDH/ASPA/PAH/ARG1/HAAO/TAT/CBS/RIDA/CTH/KYAT1/FMO1/SEPSECS/GATM/CRYM/BHMT2/CDO1/ADI1/PSMB6/PSMB5/GLS2/NAGS",33,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-211981","Xenobiotics","9/347","25/10173",0.36,10.554121037464,8.98773061833259,7.10428089887831e-08,2.99473161613646e-06,2.65035556055546e-06,"CYP2C9/CYP2A6/CYP3A4/CYP2E1/CYP2C8/CYP2C19/CYP1A2/CYP2A7/CYP2B6",9,"Up_res_DEq_MS_BD_vs_CM"
"R-HSA-193775","Synthesis of bile acids and bile salts via 24-hydroxycholesterol","7/347","13/10173",0.538461538461538,15.7860784748393,10.0243763275329,7.27465169911692e-08,2.99473161613646e-06,2.65035556055546e-06,"AKR1C4/HSD3B7/AKR1D1/CYP8B1/CYP39A1/CYP27A1/SLC27A5",7,"Up_res_DEq_MS_BD_vs_CM"
