"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
5.004875,14.0127625,193.492060381417,7.60719246125497e-15,6.23637637973682e-11,20.7918980897746,"MX1_HUMAN",43,253.15339625895,1.49486170423321e-16,1.22548762513039e-12,5.004875,"Up in D",11.9116910698584,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
4.26575,12.7789,155.451703983667,3.77500717083543e-14,1.54737543932544e-10,20.3428708079358,"IFIT1_HUMAN",34,189.494496650113,1.43085490980041e-15,5.8650742752719e-12,4.26575,"Up in D",11.2317264836104,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
3.753025,12.7192875,129.074851447406,1.47163581792888e-13,4.02149014512698e-10,19.8345689384309,"IFIT2_HUMAN",29,149.841075929595,8.92750832755482e-15,2.43959044230981e-11,3.753025,"Up in D",10.6126830767655,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
2.530175,14.6497625,102.751962714944,7.80630723442138e-13,1.27992213415573e-09,19.0279596363917,"STAT1_HUMAN",41,137.481246895283,1.74683911181371e-14,3.58014675966219e-11,2.530175,"Up in D",10.4460991701145,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
3.845225,12.9463875,107.805096278016,5.49453082809147e-13,1.12610409321735e-09,19.2153457081394,"IFIT3_HUMAN",30,120.409110685755,4.91154903479042e-14,8.05297579744238e-11,3.845225,"Up in D",10.094043606142,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
2.339875,13.0715875,67.9135719627562,1.61237796205678e-11,1.6500438922554e-08,17.0220802854484,"RIGI_HUMAN",56,80.4402119133015,1.13934728776227e-12,1.55672817751251e-09,2.339875,"Up in D",8.80778721357979,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
1.7264,11.01265,61.4048062156537,3.36684453468527e-11,2.30011595794582e-08,16.4354061025269,"SLFN5_HUMAN",37,75.1843697074194,1.92879994137097e-12,2.02013629212732e-09,1.7264,"Up in D",8.69461932910681,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
3.89385,14.543875,74.4339094902709,8.24942976357333e-12,1.12714708669624e-08,17.524342850943,"ISG15_HUMAN",15,74.9740961142291,1.97134549121964e-12,2.02013629212732e-09,3.89385,"Up in D",8.69461932910681,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
2.2846,11.500575,62.3382681705168,3.01539954070582e-11,2.30011595794582e-08,16.5254715243168,"DDX60_HUMAN",75,73.4206605097028,2.32058584759296e-12,2.11379586428523e-09,2.2846,"Up in D",8.67493695614647,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
3.182025,11.8259875,66.8403310247265,1.81146560506204e-11,1.6500438922554e-08,16.9316751378732,"OAS1_HUMAN",20,69.6680498868215,3.49200355929419e-12,2.86274451790937e-09,3.182025,"Up in D",8.54321740832246,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
2.5118475,10.27480125,59.7220556958065,4.12472153039692e-11,2.60111285432261e-08,16.2675706555629,"IFIH1_HUMAN",45,66.728697367374,4.88516037125855e-12,3.58506174765243e-09,2.5118475,"Up in D",8.44550335981939,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
2.9752325,10.15533375,61.9606356495985,3.15229890100182e-11,2.30011595794582e-08,16.4892901336721,"CMPK2_HUMAN",26,66.085505752432,5.26789303901024e-12,3.58506174765243e-09,2.9752325,"Up in D",8.44550335981939,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
3.091,10.827675,71.2231349049436,1.13872143242763e-11,1.3336054718631e-08,17.2866577750756,"ISG20_HUMAN",11,65.441972637458,5.68502106849007e-12,3.58506174765243e-09,3.091,"Up in D",8.44550335981939,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
1.203675,11.2302625,48.7775462773628,1.80898734687797e-10,9.88671884647038e-08,14.9741963938526,"TAP1_HUMAN",24,56.1376525623021,1.87601583317517e-11,1.0513103842284e-08,1.203675,"Up in D",7.97826904585844,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
2.140435,10.1763575,49.1655265217277,1.70733791555269e-10,9.88671884647038e-08,15.026966917375,"HELZ2_HUMAN",117,55.9572740553651,1.92359792186217e-11,1.0513103842284e-08,2.140435,"Up in D",7.97826904585844,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
1.009025,11.0446625,36.4114441430957,1.52554182788844e-09,5.21099662709558e-07,12.9276010589109,"PAR14_HUMAN",91,49.4321927204748,5.04725328874933e-11,2.58608640382294e-08,1.009025,"Up in D",7.58735696898515,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
2.328055,9.7851975,47.8094770121348,2.0940188323597e-10,1.00980978751087e-07,14.8399591203141,"IRF9_HUMAN",16,48.4571251516416,5.89312669679684e-11,2.72421247469236e-08,2.328055,"Up in D",7.5647590226815,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN"
1.4091,11.053025,48.130540975459,1.99418256462102e-10,1.00980978751087e-07,14.8848911918895,"T23O_HUMAN",17,48.3645322869031,5.98143749017596e-11,2.72421247469236e-08,1.4091,"Up in D",7.5647590226815,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
4.1294025,12.07042375,45.7881669902107,2.87005832394368e-10,1.30715211887168e-07,14.5473117821301,"OAS2_HUMAN",31,47.8390332120966,6.51181073772132e-11,2.80967496988628e-08,4.1294025,"Up in D",7.55134391744343,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-0.813675,13.1173375,-30.6672379477831,5.32107865919698e-09,1.24634865280277e-06,11.6549856826905,"FAT1_HUMAN",153,-44.3208408108647,1.17926005558491e-10,4.83378696784253e-08,-0.813675,"Up in B2",7.31571249350825,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
-1.78745,13.59825,-43.130578033665,4.43951802423947e-10,1.81975843813576e-07,14.1350415707288,"FGL1_HUMAN",17,-43.9212121367196,1.26526727385787e-10,4.93936243385088e-08,-1.78745,"Up in B2",7.3063291055966,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
0.985375000000001,12.0008375,34.6314208147103,2.19750717599094e-09,6.21212545819783e-07,12.5605019716904,"PML_HUMAN",44,43.2264221652241,1.43218461805344e-10,5.33684068127368e-08,0.985375000000001,"Up in D",7.27271576183506,"PML","Protein PML","PML_HUMAN"
1.152975,10.0559625,35.4474802951678,1.85474903422929e-09,5.90465808394671e-07,12.7315813028665,"TDRD7_HUMAN",52,42.5958464849747,1.60542608563625e-10,5.72229697828087e-08,1.152975,"Up in D",7.24242960674017,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN"
2.107425,12.9329875,41.8821870077669,5.50004346775036e-10,2.14711220707702e-07,13.9296517110439,"UB2L6_HUMAN",12,40.384561918889,2.42908438038994e-10,8.29734739601529e-08,2.107425,"Up in D",7.08106072634665,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
1.6659,10.217575,36.7697095076144,1.42053073080172e-09,5.06326562222282e-07,12.998839895866,"GBP4_HUMAN",27,39.5001717906662,2.88484620848244e-10,9.45998768685563e-08,1.6659,"Up in D",7.02410942887666,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
1.004765,10.5091425,32.4554310379766,3.52388905473621e-09,8.96619401598801e-07,12.0796091572353,"PAR10_HUMAN",43,39.0396397743904,3.15987527334473e-10,9.96332980418465e-08,1.004765,"Up in D",7.00159549351344,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
1.2104775,10.46548625,35.1688518553549,1.96444372494118e-09,5.90465808394671e-07,12.6737104318533,"IFIT5_HUMAN",24,38.2787874386601,3.68154863514379e-10,1.11782724855218e-07,1.2104775,"Up in D",6.95162530807526,"IFIT5","Interferon-induced protein with tetratricopeptide repeats 5","IFIT5_HUMAN"
1.403075,11.6895125,35.2727634732265,1.92269452348303e-09,5.90465808394671e-07,12.6953576294438,"E2AK2_HUMAN",23,37.6623078164624,4.17603795646483e-10,1.22268425596781e-07,1.403075,"Up in D",6.91268567999964,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
1.25115,11.819825,35.0422290297719,2.01671659368758e-09,5.90465808394671e-07,12.6472269455191,"TAP2_HUMAN",22,37.454995270726,4.3588318862242e-10,1.23219668287124e-07,1.25115,"Up in D",6.90931996468127,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
1.6166,11.84835,32.7881980986463,3.27185066364051e-09,8.93664944628522e-07,12.1555949408005,"SAMH1_HUMAN",38,35.5975151219187,6.46803365082296e-10,1.76749799564822e-07,1.6166,"Up in D",6.75264107002295,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
2.1911375,11.10098125,43.8733697314894,3.91961485887703e-10,1.691210663846e-07,14.2535930295207,"PLS1_HUMAN",7,35.4018095879343,6.75062575117723e-10,1.78521386800487e-07,2.1911375,"Up in D",6.7483097481061,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
-2.204825,11.7690625,-32.6428719157499,3.37931364765604e-09,8.93664944628522e-07,12.1225230331994,"TSP1_HUMAN",50,-34.7514078108567,7.79475512237852e-10,1.99691882791435e-07,-2.204825,"Up in B2",6.69963958826168,"THBS1","Thrombospondin-1","TSP1_HUMAN"
4.4325425,8.85402875,32.3488455865191,3.60922667147602e-09,8.96619401598801e-07,12.0550761474031,"OASL_HUMAN",28,33.5438050883988,1.02540578370628e-09,2.54735654994669e-07,4.4325425,"Up in D",6.59391026318835,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN"
1.106175,16.3856375,31.3669542696305,4.5161594858036e-09,1.08892574895935e-06,11.824504279754,"HLAA_HUMAN",17,31.7795916498816,1.55854941425577e-09,3.7579376759026e-07,1.106175,"Up in D",6.42505042679963,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN"
